D' L B R' F'
D L R' F' R B
D2 L D B R' F'
D L D2 B R' F'
D' L F B R' F'
U2 L F B D' R2
D' L F' B R' F'
D' L F2 B R' F'
D' L B R' D F'
D' L B R' D' F'
D' L B R' D2 F'
D' L B R' F' D
D' L B R' F' D'
D' L B R' F' D2
D L B R' F' R
D' L B D R' F'
D' L B D' R' F'
D' L B D2 R' F'
D' L B F R' F'
D' L B F' R' F'
D' L B F2 R' F'
U2 L B D' R2 F
U2 L B D' F R2
U2 L B F D' R2
D' L' B L2 R' F'
D' L' B R' L2 F'
D' L' B R' F' L2
D' L2 B L' R' F'
D' L2 B R' L' F'
D R' L F' R B
L U' B' R' U B2
D R' F' L R B
D R' F' R L B
R' D L F' R B
R' D F' L R B
R' D F' R L B
U2 D' L F B R'
U2 D' L B R' F
U2 D' L B F R'
D' U2 L F B R'
D' U2 L B R' F
D' U2 L B F R'
D' F L B R' F'
D' F' L B R' F'
F' D' L B R' F'
F2 D' L B R' F'
F D' L B R' F'
D' F2 L B R' F'
L B R D' R2 F'
L B R' D' F' R2
L B R' F' D' R2
L B D' R' F' R'
D' L R' D2 F' R B
D' L R' F' R B R'
D L R' F' R D B
D L R' F' R D' B
D L R' F' R D2 B
D L R' F' R B D
D L R' F' R B D'
D L R' F' R B D2
D L R' F' D R B
D L R' F' D' R B
D L R' F' D2 R B
D L R' F' B R B
D L R' F' B' R B
D L R' F' B2 R B
D L R' B F' R B
D L R' B' F' R B
D L R' B2 F' R B
F' L U' B' R' U B2
F2 L U' B' R' U B2
U2 L U' B' U F B2
U2 L U' B' U B2 F
B L U' B' R' U L
F L U' B' R' U B2
D2 L D F B R' F'
D2 L D F' B R' F'
U2 L D F B D' R2
D2 L D F2 B R' F'
D2 L D B R' D F'
D2 L D B R' D' F'
D2 L D B R' D2 F'
D2 L D B R' F' D
D2 L D B R' F' D'
D2 L D B R' F' D2
D2 L D B D R' F'
D2 L D B D' R' F'
D2 L D B D2 R' F'
D2 L D B F R' F'
D2 L D B F' R' F'
D2 L D B F2 R' F'
U2 L D B D' R2 F
U2 L D B D' F R2
U2 L D B F D' R2
D2 L D' R' F' R B
R' L F' R B D' R2
U2 L D' F B D' R2
D2 L D' B R' F' R
U2 L D' B D' R2 F
U2 L D' B D' F R2
U2 L D' B F D' R2
D' L D2 R' F' R B
U2 L D2 F B D' R2
D L D2 F B R' F'
D' L D2 B R' F' R
D L D2 F' B R' F'
D L D2 F2 B R' F'
D L D2 B R' D F'
D L D2 B R' D' F'
D L D2 B R' D2 F'
D L D2 B R' F' D
D L D2 B R' F' D'
D L D2 B R' F' D2
U2 L D2 B D' R2 F
U2 L D2 B D' F R2
U2 L D2 B F D' R2
D L D2 B D R' F'
D L D2 B D' R' F'
D L D2 B D2 R' F'
D L D2 B F R' F'
D L D2 B F' R' F'
D L D2 B F2 R' F'
U2 L F U' B' U B2
D2 L F D B R' F'
U2 L F D B D' R2
U2 L F D' B D' R2
D' L F B R' D F'
D' L F B R' D' F'
D' L F B R' D2 F'
D' L F B R' F' D
D' L F B R' F' D'
D' L F B R' F' D2
D' L F B D R' F'
D' L F B D' R' F'
D' L F B D2 R' F'
U2 L F D2 B D' R2
U2 L F B R D' R2
U2 L F B R' D' R2
U2 L F B R2 D' R2
U2 L F B U' B2 U
U2 L F B D' R2 D
U2 L F B D' R2 D'
U2 L F B D' R2 D2
D2 L F' D B R' F'
D' L F' B R' D F'
D' L F' B R' D' F'
D' L F' B R' D2 F'
D' L F' B R' F' D
D' L F' B R' F' D'
D' L F' B R' F' D2
D' L F' B D R' F'
D' L F' B D' R' F'
D' L F' B D2 R' F'
D L F' B R' F' R2
D2 L F2 D B R' F'
D' L F2 B R' D F'
D' L F2 B R' D' F'
D' L F2 B R' D2 F'
D' L F2 B R' F' D
D' L F2 B R' F' D'
D' L F2 B R' F' D2
D' L F2 B D R' F'
D' L F2 B D' R' F'
D' L F2 B D2 R' F'
U2 L F2 B D' F' R2
D' L B L' R' F' L
D' L B L2 R' F' L2
D' L B R F R2 F'
D' L B R F' R2 F'
D' L B R F2 R2 F'
F' L B R D' R2 F'
D' L B R' L' F' L
D' L B R' L2 F' L2
D' L B R' D F' D
D' L B R' D F' D'
D' L B R' D F' D2
D' L B R' D' F' D
D' L B R' D' F' D'
D' L B R' D' F' D2
D' L B R' D2 F' D
D' L B R' D2 F' D'
D' L B R' D2 F' D2
D' L B R' F2 D F
D' L B R' F2 D' F
D' L B R' F2 D2 F
F' L B R' D' F' R2
F' L B R' F' D' R2
F2 L B R D' R2 F'
U2 L B R D' R2 F
U2 L B R D' F R2
U2 L B R F D' R2
F2 L B R' D' F' R2
F2 L B R' F' D' R2
F L B R D' R2 F'
U2 L B R' D' R2 F
U2 L B R' D' F R2
U2 L B R' F D' R2
D L B R' F' R D
D L B R' F' R D'
D L B R' F' R D2
D L B R' F' D R
D L B R' F' D' R
D L B R' F' D2 R
U2 L B R2 D' R2 F
U2 L B R2 D' F R2
F L B R' D' F' R2
U2 L B R2 F D' R2
F L B R' F' D' R2
D L B R2 F' R F'
D' L B D R' D F'
D' L B D R' D' F'
D' L B D R' D2 F'
D' L B D R' F' D
D' L B D R' F' D'
D' L B D R' F' D2
U' L B U' B2 R' U
D' L B D F R' F'
D' L B D F' R' F'
D' L B D F2 R' F'
U2 L B U' B2 U F
D2 L B D' R' F' R
D' L B D' R' D F'
D' L B D' R' D' F'
D' L B D' R' D2 F'
D' L B D' R' F' D
D' L B D' R' F' D'
D' L B D' R' F' D2
F' L B D' R' F' R'
D' L B D' F R' F'
D' L B D' F' R' F'
D' L B D' F2 R' F'
D' L B D2 R' D F'
D' L B D2 R' D' F'
D' L B D2 R' D2 F'
D' L B D2 R' F' D
D' L B D2 R' F' D'
D' L B D2 R' F' D2
D' L B D2 F R' F'
U2 L B D F D2 R2
D' L B D2 F' R' F'
D' L B D2 F2 R' F'
F2 L B D' R' F' R'
D' L B F R' D F'
D' L B F R' D' F'
D' L B F R' D2 F'
D' L B F R' F' D
D' L B F R' F' D'
D' L B F R' F' D2
U2 L B D' R' F R'
U2 L B D' R2 D F
U2 L B D' R2 D' F
U2 L B D' R2 D2 F
U2 L B D' R2 F D
U2 L B D' R2 F D'
U2 L B D' R2 F D2
D' L B F D R' F'
U2 L B D' F R2 D
U2 L B D' F R2 D'
U2 L B D' F R2 D2
D' L B F D' R' F'
U2 L B D' F' R2 F2
D' L B F D2 R' F'
D' L B F' R' D F'
D' L B F' R' D' F'
D' L B F' R' D2 F'
D' L B F' R' F' D
D' L B F' R' F' D'
D' L B F' R' F' D2
F L B D' R' F' R'
D' L B F' D R' F'
D' L B F' D' R' F'
D' L B F' D2 R' F'
D' L B F2 R' D F'
D' L B F2 R' D' F'
D' L B F2 R' D2 F'
D' L B F2 R' F' D
D' L B F2 R' F' D'
D' L B F2 R' F' D2
U2 L B F R D' R2
U2 L B F R' D' R2
D' L B F2 D R' F'
U2 L B F R2 D' R2
D' L B F2 D' R' F'
D' L B F2 D2 R' F'
U2 L B F U' B2 U
U2 L B F D' R2 D
U2 L B F D' R2 D'
U2 L B F D' R2 D2
D L B F' R' F' R2
U2 L B F2 D' F' R2
D' L B' R' F' B2 R'
D' L B' R' B2 F' R'
D L B' R' F' R B2
D L B' R' F' B2 R
D L B' R' B2 F' R
D' L B2 R' F' B' R'
D' L B2 R' B' F' R'
D L B2 R' F' R B'
D L B2 R' F' B' R
D L B2 R' B' F' R
D' L B2 D B' R' F'
D' L B2 D' B' R' F'
D' L B2 D2 B' R' F'
D L' R' F' L2 R B
D L' R' F' R L2 B
D L' R' F' R B L2
L R' F' R B D' R2
D' L' F L2 B R' F'
U2 L' F U' L2 F B
U2 L' F U' L2 B F
D' L' F B L2 R' F'
D' L' F B R' L2 F'
D' L' F B R' F' L2
D' L' F' L2 B R' F'
D' L' F' B L2 R' F'
D' L' F' B R' L2 F'
D' L' F' B R' F' L2
D' L' F2 L2 B R' F'
D' L' F2 B L2 R' F'
D' L' F2 B R' L2 F'
D' L' F2 B R' F' L2
D' L' B L R' F' L
D' L' B L2 R' D F'
D' L' B L2 R' D' F'
D' L' B L2 R' D2 F'
D' L' B L2 R' F' D
D' L' B L2 R' F' D'
D' L' B L2 R' F' D2
D' L' B L2 D R' F'
D' L' B L2 D' R' F'
D' L' B L2 D2 R' F'
D' L' B L2 F R' F'
D' L' B L2 F' R' F'
D' L' B L2 F2 R' F'
D' L' B R' L F' L
D' L' B R' L2 D F'
D' L' B R' L2 D' F'
D' L' B R' L2 D2 F'
D' L' B R' L2 F' D
D' L' B R' L2 F' D'
D' L' B R' L2 F' D2
D' L' B R' F L2 F2
D' L' B R' F' L2 D
D' L' B R' F' L2 D'
D' L' B R' F' L2 D2
D L' B L2 R' F' R
D L' B R' L2 F' R
D L' B R' F' L2 R
D L' B R' F' R L2
D' L' B F L2 R' F'
D' L' B F R' L2 F'
D' L' B F R' F' L2
D' L' B F' L2 R' F'
D' L' B F' R' L2 F'
D' L' B F' R' F' L2
D' L' B F2 L2 R' F'
D' L' B F2 R' L2 F'
D' L' B F2 R' F' L2
U2 L2 U' L' F B R
U2 L2 U' L' B F R
U2 L2 U' B L' F R
D2 L2 D L' B R' F'
D2 L2 D B L' R' F'
D2 L2 D B R' L' F'
D L2 D2 L' B R' F'
D L2 D2 B L' R' F'
D L2 D2 B R' L' F'
D' L2 F B R' F' L'
D' L2 B L R' F' L2
D' L2 B L' R' D F'
D' L2 B L' R' D' F'
D' L2 B L' R' D2 F'
D' L2 B L' R' F' D
D' L2 B L' R' F' D'
D' L2 B L' R' F' D2
D' L2 B L' D R' F'
D' L2 B L' D' R' F'
D' L2 B L' D2 R' F'
D' L2 B L' F R' F'
D' L2 B L' F' R' F'
D' L2 B L' F2 R' F'
D' L2 B L2 R' F' L
D' L2 B R' L F' L2
D' L2 B R' L' D F'
D' L2 B R' L' D' F'
D' L2 B R' L' D2 F'
D' L2 B R' L' F' D
D' L2 B R' L' F' D'
D' L2 B R' L' F' D2
D' L2 B R' L2 F' L
D' L2 B R' D L' F'
D' L2 B R' D' L' F'
D' L2 B R' D2 L' F'
D L2 B L' R' F' R
D' L2 B D L' R' F'
D' L2 B D R' L' F'
D L2 B R' L' F' R
D' L2 B D' L' R' F'
D' L2 B D' R' L' F'
D' L2 B D2 L' R' F'
D' L2 B D2 R' L' F'
D' L2 B F R' F' L'
L U' R B' R' U B
L U' D B' R' U B2
D' R' L D2 F' R B
D' R' L F' R B R'
L U' D' B' R' U B2
D R' L F' R D B
D R' L F' R D' B
D R' L F' R D2 B
D R' L F' R B D
D R' L F' R B D'
D R' L F' R B D2
D R' L F' D R B
D R' L F' D' R B
D R' L F' D2 R B
D R' L F' B R B
D R' L F' B' R B
D R' L F' B2 R B
D R' L B F' R B
D R' L B' F' R B
D R' L B2 F' R B
L U' D2 B' R' U B2
D R' L' F' L2 R B
D R' L' F' R L2 B
D R' L' F' R B L2
B2 R' U2 D F' R B'
B2 R' U2 D F' B' R
B2 R' U2 D B' F' R
F' R' D L F' R B
B2 R' U2 B' D F' R
L U' B' L R' U B2
F2 R' D L F' R B
L U' B' L' R' U B2
L U' B' L2 R' U B2
L U' B' R' L U B2
L U' B' R' L' U B2
L U' B' R' L2 U B2
L U' B' R' U B2 D
L U' B' R' U B2 D'
L U' B' R' U B2 D2
L U' B' R' D L2 U
F' R' D F' L R B
F' R' D F' R L B
B2 R' D U2 F' R B'
B2 R' D U2 F' B' R
B2 R' D U2 B' F' R
F R' D L F' R B
L U' B' D L2 R' U
L U' B' D R' L2 U
F2 R' D F' L R B
F2 R' D F' R L B
F R' D F' L R B
F R' D F' R L B
D' R' D2 L F' R B
D' R' D2 F' L R B
D' R' D2 F' R L B
D' R' F' L R B R'
D' R' F' R L B R'
D R' F' L R D B
D R' F' L R D' B
D R' F' L R D2 B
D R' F' L R B D
D R' F' L R B D'
D R' F' L R B D2
D R' F' L D R B
D R' F' L D' R B
D R' F' L D2 R B
D R' F' L B R B
D R' F' L B' R B
D R' F' L B2 R B
D R' F' L' R B L2
D R' F' L2 R B L'
D R' F' R L D B
D R' F' R L D' B
D R' F' R L D2 B
D R' F' R L B D
D R' F' R L B D'
D R' F' R L B D2
D R' F' R L' B L2
D R' F' R L2 B L'
D R' F' R D L B
D R' F' R D' L B
D R' F' R D2 L B
D R' F' D L R B
D R' F' D R L B
D R' F' D' L R B
D R' F' D' R L B
D R' F' D2 L R B
D R' F' D2 R L B
D R' F' B' R B L
D R' B' F' R B L
R' D L F' R D B
R' D L F' R D' B
R' D L F' R D2 B
R' D L F' R B D
R' D L F' R B D'
R' D L F' R B D2
R' D L F' D R B
R' D L F' D' R B
R' D L F' D2 R B
R' D L F' B R B
R' D L F' B' R B
R' D L F' B2 R B
R' D L B F' R B
R' D L B' F' R B
R' D L B2 F' R B
R' D L' F' L2 R B
R' D L' F' R L2 B
R' D L' F' R B L2
D R2 F' U2 L R F'
D R2 F' U2 R L F'
D R2 F' U2 R F' L
U2 D L D2 F B R'
U2 D L D2 B R' F
U2 D L D2 B F R'
U2 D L F' B R F2
L D U' B' R' U B2
U2 D L B F' R F2
R' D F' L R D B
R' D F' L R D' B
R' D F' L R D2 B
R' D F' L R B D
R' D F' L R B D'
R' D F' L R B D2
R' D F' L D R B
R' D F' L D' R B
R' D F' L D2 R B
R' D F' L B R B
R' D F' L B' R B
R' D F' L B2 R B
R' D F' L' R B L2
R' D F' L2 R B L'
R' D F' R L D B
R' D F' R L D' B
R' D F' R L D2 B
R' D F' R L B D
R' D F' R L B D'
R' D F' R L B D2
R' D F' R L' B L2
R' D F' R L2 B L'
R' D F' R D L B
R' D F' R D' L B
R' D F' R D2 L B
R' D F' D L R B
R' D F' D R L B
R' D F' D' L R B
R' D F' D' R L B
R' D F' D2 L R B
R' D F' D2 R L B
R' D F' B' R B L
L D B R D' R2 F'
L D B R' D' F' R2
L D B R' F' D' R2
R' D B' F' R B L
L D B D' R' F' R'
R' D' L R B R' F'
R' D' L D2 F' R B
R' D' L F' R B R'
U2 D F' L B R F
U2 D F2 L F B R
U2 D F2 L B F R
R' D' R L B R' F'
U2 D' L F B R' D
U2 D' L F B R' D'
U2 D' L F B R' D2
U2 D' L F B D R'
U2 D' L F B D' R'
U2 D' L F B D2 R'
U2 D' L F' B R' F2
U2 D' L B R F R2
U2 D' L B R' D F
U2 D' L B R' D' F
U2 D' L B R' D2 F
U2 D' L B R' F D
U2 D' L B R' F D'
U2 D' L B R' F D2
U2 D' L B D R' F
U2 D' L B D F R'
U2 D' L B D' R' F
U2 D' L B D' F R'
U2 D' L B D2 R' F
U2 D' L B D2 F R'
U2 D' L B F R' D
U2 D' L B F R' D'
U2 D' L B F R' D2
U2 D' L B F D R'
U2 D' L B F D' R'
U2 D' L B F D2 R'
U2 D' L B F' R' F2
U2 D' L2 B L' R' F
U2 D' L2 B L' F R'
U2 D' L2 B R' L' F
L D' U' B' R' U B2
R' D' F' L R B R'
R' D' F' R L B R'
U2 D' F L F B R'
U2 D' F L B R' F
U2 D' F L B F R'
U2 D' F' L F B R'
U2 D' F' L B R' F
U2 D' F' L B F R'
L D' B R D' R2 F'
L D' B R' D' F' R2
L D' B R' F' D' R2
U2 D' F2 L F B R'
U2 D' F2 L B R' F
U2 D' F2 L B F R'
L D' B D' R' F' R'
R' D2 L D' F' R B
D' U2 L F B R' D
D' U2 L F B R' D'
D' U2 L F B R' D2
D' U2 L F B D R'
D' U2 L F B D' R'
D' U2 L F B D2 R'
D2 U2 L D F B R'
D2 U2 L D B R' F
D2 U2 L D B F R'
D' U2 L F' B R' F2
D' U2 L B R F R2
D' U2 L B R' D F
D' U2 L B R' D' F
D' U2 L B R' D2 F
D' U2 L B R' F D
D' U2 L B R' F D'
D' U2 L B R' F D2
D' U2 L B D R' F
D' U2 L B D F R'
D' U2 L B D' R' F
D' U2 L B D' F R'
D' U2 L B D2 R' F
D' U2 L B D2 F R'
D' U2 L B F R' D
D' U2 L B F R' D'
D' U2 L B F R' D2
D' U2 L B F D R'
D' U2 L B F D' R'
D' U2 L B F D2 R'
D' U2 L B F' R' F2
D2 U2 L F D B R'
U2 D2 L D F B R'
U2 D2 L D B R' F
U2 D2 L D B F R'
U2 D2 L F D B R'
D U2 L D2 F B R'
D U2 L D2 B R' F
D U2 L D2 B F R'
D U2 L F' B R F2
D U2 L B F' R F2
D' U2 L2 B L' R' F
D' U2 L2 B L' F R'
D' U2 L2 B R' L' F
F' U2 L F B D' R2
D' U2 F L F B R'
D' U2 F L B R' F
D' U2 F L B F R'
F' U2 L B D' R2 F
F' U2 L B D' F R2
F' U2 L B F D' R2
F2 U2 L F B D' R2
F2 U2 L B D' R2 F
F2 U2 L B D' F R2
F2 U2 L B F D' R2
L D2 U' B' R' U B2
D' U2 F' L F B R'
D' U2 F' L B R' F
D' U2 F' L B F R'
F U2 L F B D' R2
F U2 L B D' R2 F
F U2 L B D' F R2
F U2 L B F D' R2
D' U2 F2 L F B R'
D' U2 F2 L B R' F
D' U2 F2 L B F R'
D U2 F' L B R F
D U2 F2 L F B R
D U2 F2 L B F R
L D2 B R D' R2 F'
L D2 B R' D' F' R2
L D2 B R' F' D' R2
L D2 B D' R' F' R'
F' U2 D' L F B R'
F' U2 D' L B R' F
F' U2 D' L B F R'
F2 U2 D' L F B R'
F2 U2 D' L B R' F
F2 U2 D' L B F R'
D2 F L D B R' F'
D' F L F B R' F'
D' F L F' B R' F'
D' F L F2 B R' F'
D' F L B R' D F'
D' F L B R' D' F'
D' F L B R' D2 F'
D' F L B R' F' D
D' F L B R' F' D'
D' F L B R' F' D2
D' F L B D R' F'
D' F L B D' R' F'
D' F L B D2 R' F'
D' F L B F R' F'
D' F L B F' R' F'
D' F L B F2 R' F'
U2 F L F B D' R2
F U2 D' L F B R'
U2 F L B D' R2 F
U2 F L B D' F R2
F U2 D' L B R' F
F U2 D' L B F R'
U2 F L B F D' R2
D' F L' B L2 R' F'
D' F L' B R' L2 F'
D' F L' B R' F' L2
D' F L2 B L' R' F'
D' F L2 B R' L' F'
F' D L R' F' R B
D' F U2 L F B R'
D' F U2 L B R' F
D' F U2 L B F R'
F2 D L R' F' R B
F' D L D2 B R' F'
F' D L B R' F' R
F2 D L D2 B R' F'
F2 D L B R' F' R
D2 F D L B R' F'
F D L R' F' R B
L F U' B' R' U B2
F D L D2 B R' F'
F D L B R' F' R
U2 F D' L F B R'
U2 F D' L B R' F
U2 F D' L B F R'
F' D R' L F' R B
F2 D R' L F' R B
B2 D R' U2 F' R B'
B2 D R' U2 F' B' R
B2 D R' U2 B' F' R
F' D R' F' L R B
F' D R' F' R L B
F2 D R' F' L R B
F2 D R' F' R L B
F D R' L F' R B
F D R' F' L R B
F D R' F' R L B
L F B R D' R2 F'
L F B R' D' F' R2
L F B R' F' D' R2
R' F' L R B D' R2
L F B D' R' F' R'
D2 F' L D B R' F'
D' F' L F B R' F'
D' F' L F' B R' F'
D' F' L F2 B R' F'
D' F' L B R' D F'
D' F' L B R' D' F'
D' F' L B R' D2 F'
D' F' L B R' F' D
D' F' L B R' F' D'
D' F' L B R' F' D2
D' F' L B D R' F'
D' F' L B D' R' F'
D' F' L B D2 R' F'
D' F' L B F R' F'
D' F' L B F' R' F'
D' F' L B F2 R' F'
U2 F' L F B D' R2
U2 F' L B D' R2 F
U2 F' L B D' F R2
U2 F' L B F D' R2
D' F' L' B L2 R' F'
D' F' L' B R' L2 F'
D' F' L' B R' F' L2
D F' L B R' F' R2
D' F' L2 B L' R' F'
D' F' L2 B R' L' F'
R' F' R L B D' R2
R' F' R D' L B R'
U F' L' F U' L2 B
U F' L' F U' B L2
D' F' U2 L F B R'
D' F' U2 L B R' F
D' F' U2 L B F R'
F' D' L F B R' F'
F' D' L F' B R' F'
F' D' L F2 B R' F'
F' D' L B R' D F'
F' D' L B R' D' F'
F' D' L B R' D2 F'
F' D' L B R' F' D
F' D' L B R' F' D'
F' D' L B R' F' D2
F' D' L B D R' F'
F' D' L B D' R' F'
F' D' L B D2 R' F'
F' D' L B F R' F'
F' D' L B F' R' F'
F' D' L B F2 R' F'
F2 D' L F B R' F'
F2 D' L F' B R' F'
F2 D' L F2 B R' F'
F2 D' L B R' D F'
F2 D' L B R' D' F'
F2 D' L B R' D2 F'
F2 D' L B R' F' D
F2 D' L B R' F' D'
F2 D' L B R' F' D2
F2 D' L B D R' F'
F2 D' L B D' R' F'
F2 D' L B D2 R' F'
F2 D' L B F R' F'
F2 D' L B F' R' F'
F2 D' L B F2 R' F'
D2 F' D L B R' F'
D F' U2 L B R F
F' D' L' B L2 R' F'
F' D' L' B R' L2 F'
F' D' L' B R' F' L2
L F' U' B' R' U B2
F2 D' L' B L2 R' F'
F2 D' L' B R' L2 F'
F2 D' L' B R' F' L2
R' F' D' L R B R'
F D' L F B R' F'
F D' L F' B R' F'
F D' L F2 B R' F'
R' F' D' R L B R'
F D' L B R' D F'
F D' L B R' D' F'
F D' L B R' D2 F'
F D' L B R' F' D
F D' L B R' F' D'
F D' L B R' F' D2
F D' L B D R' F'
F D' L B D' R' F'
F D' L B D2 R' F'
F D' L B F R' F'
F D' L B F' R' F'
F D' L B F2 R' F'
F' D' L2 B L' R' F'
F' D' L2 B R' L' F'
U2 F' D' L F B R'
U2 F' D' L B R' F
U2 F' D' L B F R'
F2 D' L2 B L' R' F'
F2 D' L2 B R' L' F'
F D' L' B L2 R' F'
F D' L' B R' L2 F'
F D' L' B R' F' L2
F D' L2 B L' R' F'
F D' L2 B R' L' F'
L F' B R D' R2 F'
L F' B R' D' F' R2
L F' B R' F' D' R2
L F' B D' R' F' R'
D2 F2 L D B R' F'
D' F2 L F B R' F'
D' F2 L F' B R' F'
D' F2 L F2 B R' F'
D' F2 L B R' D F'
D' F2 L B R' D' F'
D' F2 L B R' D2 F'
D' F2 L B R' F' D
D' F2 L B R' F' D'
D' F2 L B R' F' D2
D' F2 L B D R' F'
D' F2 L B D' R' F'
D' F2 L B D2 R' F'
D' F2 L B F R' F'
D' F2 L B F' R' F'
D' F2 L B F2 R' F'
F' D' U2 L F B R'
F' D' U2 L B R' F
F' D' U2 L B F R'
F2 D' U2 L F B R'
F2 D' U2 L B R' F
F2 D' U2 L B F R'
U2 F2 L F B D' R2
U2 F2 L B D' R2 F
U2 F2 L B D' F R2
U2 F2 L B F D' R2
F' D' F L B R' F'
D' F2 L' B L2 R' F'
D' F2 L' B R' L2 F'
D' F2 L' B R' F' L2
F2 D' F L B R' F'
F D' U2 L F B R'
F D' U2 L B R' F
