R D F2 L' B' R'
B L R2 F U' L U'
R2 L F U' L F U'
B L F R2 U' L U'
D2 L' D' B' L' R' F2
D2 L' D' B' L' F2 R'
D2 L' D' B' R' L' F2
D L' F2 D B' L2 R'
D L' F2 D B' R' L2
D2 L' B' L' D' R' F2
D2 L' B' L' D' F2 R'
D' L' B' R' D' L2 F
D2 L' B' D' L' R' F2
D2 L' B' D' L' F2 R'
D' L' B' D' L2 R' F
D' L' B' D' L2 F R'
D2 L' B' D' R' L' F2
D' L' B' D' R' L2 F
D L' B2 U' F2 B R'
D L' B2 U' B R' F2
D L' B2 U' B F2 R'
L R2 F U' L F U'
B L2 U L' R2 F U2
B L2 U L' F R2 U2
B L2 U R2 L' F U2
B' L2 U' R' B2 L B'
B' L2 U' D2 L2 R' B
B' L2 U' D2 R' L2 B
B' L2 U' D2 R' B L2
B' L2 D2 U' L2 R' B
B' L2 D2 U' R' L2 B
B' L2 D2 U' R' B L2
F' R D F2 L' B' R'
F2 R D F2 L' B' R'
F R D F2 L' B' R'
R2 U' L F L R U'
R2 U' L F R L U'
R2 U2 D F R F B
R2 U2 D F R B F
B R2 L F U' L U'
R2 U2 F R D F2 B
R2 U2 F R D B F2
R2 U2 F R B D F2
R2 U2 F D R F2 B
R2 U2 F D R B F2
R2 U2 F' D F2 R B
B' R2 U' L2 U' R B
B' R2 U2 R D F2 B
B' R2 U2 R D B F2
B' R2 U2 R B D F2
B' R2 U2 D R F2 B
B' R2 U2 D R B F2
B' R2 D U2 R F2 B
B' R2 D U2 R B F2
B R2 D L F U2 F
B R2 D' L F B2 U2
B R2 D' L B2 F U2
B' R2 D' B2 U2 R B
R2 D L F U2 F R
R2 D L' B' R' F2 L'
R D L' F2 B' L' R'
R D L' F2 B' R' L'
R D L' B' F2 L' R'
R D L' B' F2 R' L'
R2 D R' F2 L' B' R'
R' D R2 F2 L' B' R'
R2 D U2 F R F B
R2 D U2 F R B F
R2 D F U2 F R B
R D F2 L' R B' R'
R D F2 L' R' B' R'
R D F2 L' R2 B' R'
R D F2 L' D B' R'
R D F2 L' D' B' R'
R D F2 L' D2 B' R'
R D F2 L' B' R' D
R D F2 L' B' R' D'
R D F2 L' B' R' D2
R D F2 L' B' D R'
R D F2 L' B' D' R'
R D F2 L' B' D2 R'
R D F2 R L' B' R'
R D F2 R' L' B' R'
R2 D B L F U2 F
R D F2 R2 L' B' R'
R D F2 D L' B' R'
R D F2 D' L' B' R'
R D F2 D2 L' B' R'
R D F2 B' L' R' B'
R D F2 B' R' L' B'
R2 D B' R' F2 L' B'
L' D B2 L' U' B R'
R D B' F2 L' R' B'
R D B' F2 R' L' B'
R2 D' L' B2 U2 B R'
R2 D' B L F B U2
R2 D' B L B F U2
R2 D' B2 U2 R B R'
L2 D2 B' U' L2 R' B
L2 D2 B' U' R' L2 B
L2 D2 B' U' R' B L2
U2 F R D F2 L' B
U2 F R D F2 B L'
U2 F R D B F2 L'
U2 F R B D F2 L'
L F R2 U' L F U'
D F2 L D L2 B' R'
D F2 L' D B' L2 R'
D F2 L' D B' R' L2
D F2 D L' B' L' R'
D F2 D L' B' R' L'
R F2 D L' F2 B' R'
R F2 D L' B' R' F2
R F2 D L' B' F2 R'
R2 B L F U' L U'
L2 B U L R2 U2 B'
L2 B U R2 L U2 B'
R2 B D L F U2 F
R2 B D' L F B2 U2
R2 B D' L B2 F U2
R2 B' R' D F2 L' B'
L2 B' U' R' B2 L B'
L2 B' U' D2 L2 R' B
L2 B' U' D2 R' L2 B
L2 B' U' D2 R' B L2
R2 B' D R' F2 L' B'
L2 B' D2 U' L2 R' B
R2 B' D' B2 L F U2
L2 B' D2 U' R' L2 B
L2 B' D2 U' R' B L2
R B' D F2 L' R' B'
R B' D F2 R' L' B'
