B' L D R' F2 B2
B' L D R' B2 F2
B' L D F2 R' B2
B' L' R2 U' L2 R
B' L' R2 U' R L2
R2 L' B' U' L R'
R2 L' B' U' R' L
R2 L' B' U' R' L
L' R2 B' U' L R'
L' R2 B' U' R' L
B' R2 L' U' L2 R
B' R2 L' U' R L2
R2 B' L' U' L2 R'
R2 B' L' U' R' L2
L' B' R2 U' L R
L' B' R2 U' R L
B' L R' U L2 R' U'
B' L R' U R' L2 U'
B L R' U' L2 R' U'
B L R' U' R' L2 U'
B' L U L2 R2 U' R
B' L U R2 L2 U' R
B L U2 D F2 B2 L
B L U2 D B2 L F2
B L U2 D B2 F2 L
B' L D R F2 R2 B2
B' L D R F2 B2 R2
B' L D R B2 R2 F2
B' L D R B2 F2 R2
B' L D R' F2 B2 D
B' L D R' F2 B2 D'
B' L D R' F2 B2 D2
B' L D R' B2 F2 D
B' L D R' B2 F2 D'
B' L D R' B2 F2 D2
B' L D R2 B2 R F2
B L D R' U2 F2 B2
B L D R' U2 B2 F2
B' L D F R' F B2
B' L D F R' B2 F
B' L D F2 R B2 R2
B' L D F2 R' B2 D
B' L D F2 R' B2 D'
B' L D F2 R' B2 D2
B' L D F2 R2 B2 R
B L D U2 F2 B2 L
B L D U2 B2 L F2
B L D U2 B2 F2 L
B L D B2 L F2 R
B' L D' R' D2 F2 B2
B' L D' R' D2 B2 F2
B L D' R' F2 B2 U2
B L D' R' B2 F2 U2
B L D' F2 R' B2 U2
B L D' F2 B2 U2 L
B L D' B2 F2 U2 L
B' L F D R' F2 B2
B' L F D R' B2 F2
B' L F D F2 R' B2
L' R B' R U' L R2
L' R B' R U' R2 L
B' L F' D R' F2 B2
B' L F' D R' B2 F2
R2 L B' L2 U' L' R'
R2 L B' L2 U' R' L'
B' L F' D F2 R' B2
B' L F2 D R' F2 B2
B' L F2 D R' B2 F2
B' L F2 D F2 R' B2
B' L B2 D F2 B2 R'
B' L B2 D B2 R' F2
B' L B2 D B2 F2 R'
B' L' R2 U' L2 R D
B' L' R2 U' L2 R D'
B' L' R2 U' L2 R D2
B' L' R2 U' L2 D R
B' L' R2 U' L2 D' R
B' L' R2 U' L2 D2 R
B' L' R2 U' R L2 D
B' L' R2 U' R L2 D'
B' L' R2 U' R L2 D2
U' L' R2 U2 B' U L
B L' R2 U L2 R U2
B L' R2 U R L2 U2
B' L' R2 D' B2 U' R
B L' R2 D F2 U' L'
B' L' R2 B U' L2 R
B' L' R2 B U' R L2
B' L' R2 B' U' L2 R
B' L' R2 B' U' R L2
B2 L' R2 B U' L R'
B2 L' R2 B U' R' L
B' L' R2 B2 U' L2 R
B' L' R2 B2 U' R L2
B' L' U' L2 D R' B2
R2 L' F B' U' L R'
R2 L' F B' U' R' L
D L' U2 F U R B2
D L' U2 F U B2 R
R2 L' F' B' U' L R'
R2 L' F' B' U' R' L
R2 L' F2 B' U' L R'
R2 L' F2 B' U' R' L
B L' D F2 U' B2 L
R2 L' B U L R' U2
R2 L' B U R' L U2
R L' B' R U' L R2
R L' B' R U' R2 L
R2 L' B' U' L R' D
R2 L' B' U' L R' D'
R2 L' B' U' L R' D2
R2 L' B' U' L D R'
R2 L' B' U' L D' R'
R2 L' B' U' L D2 R'
R2 L' B' U' R' L D
R2 L' B' U' R' L D'
R2 L' B' U' R' L D2
R2 L' B' U' R' D L
R2 L' B' U' R' D' L
R2 L' B' U' R' D2 L
R2 L' B' U' D L R'
R2 L' B' U' D R' L
R2 L' B' U' D' L R'
R2 L' B' U' D' R' L
R2 L' B' U' D2 L R'
R2 L' B' U' D2 R' L
R2 L' B' D U' L R'
R2 L' B' D U' R' L
R2 L' B' D' U' L R'
R2 L' B' D' U' R' L
R2 L' B' D2 U' L R'
R2 L' B' D2 U' R' L
R2 L' B' F U' L R'
R2 L' B' F U' R' L
R2 L' B' F' U' L R'
R2 L' B' F' U' R' L
R2 L' B' F2 U' L R'
