D L B2 L U' B'
R' U R' F U2 F'
D L2 B2 L U' B
R' U' F R' U2 R
U2 R' U' R' F U2
U2 R' U' F R' U2
F R2 U B R U
L2 D B2 L U' B
D2 U2 R' U L2 B'
U2 D2 R' U L2 B'
U F R2 U R U
B2 D2 L U' L B'
D2 B2 L U' L B'
U2 L R' U B2 L B'
B2 L R' U' B2 L B'
L2 R U' D' F2 B' L'
L2 R U' D' B' F2 L'
B2 L R' B2 U' L B'
F L R2 U B R U
L2 R U' B' D' F2 L'
B2 L U' L D2 B' L2
B2 L U' L B' D2 L2
B2 L U' L' D2 L2 B'
L2 R D' U' F2 B' L'
L2 R D' U' B' F2 L'
D2 L U2 R' U L B'
U2 L D2 R' U L2 B
U2 L D2 R' U B L2
B2 L D2 R' U' L2 B
B2 L D2 R' U' B L2
L2 R' U' R' U2 R B'
L2 R' U' R' U2 B' R
D L B2 L R U' B'
D L B2 L R' U' B'
D L B2 L R2 U' B'
D L B2 L U' D B'
D L B2 L U' D' B'
D L B2 L U' D2 B'
D L B2 L U' B' D
D L B2 L U' B' D'
D L B2 L U' B' D2
D L B2 L D U' B'
D L B2 L D' U' B'
D L B2 L D2 U' B'
D L B2 R L U' B'
D L B2 R' L U' B'
D L B2 R2 L U' B'
F L' R2 U B R U
R' L2 U' R' U2 R B'
R' L2 U' R' U2 B' R
R L2 U' D' F2 B' L'
R L2 U' D' B' F2 L'
R L2 U' B' D' F2 L'
D2 L' B2 L U' L2 B'
D L' B2 L U F U2
R L2 D' U' F2 B' L'
R L2 D' U' B' F2 L'
U2 L2 R' U B2 L B
U2 L2 R' U' R' U2 B'
F L2 R2 U B R U
D2 L2 U' R' U R B'
D2 L2 U' R' U B' R
D' L2 U2 R' F2 U B'
D' L2 U2 F2 R' U B'
B2 L2 D B2 L' U' B
U2 L2 D' R' F2 U B'
U2 L2 D' F2 R' U B'
U2 L2 D2 R' U B' L2
D' L2 D2 B2 L U' B
R' U R F R2 B U2
R' U R' D F U2 F'
R' U R' D' F U2 F'
R' U R' D2 F U2 F'
R' U R' F U2 D F'
R' U R' F U2 D' F'
R' U R' F U2 D2 F'
R' U R' F U2 F' D
R' U R' F U2 F' D'
R' U R' F U2 F' D2
R' U R' F D U2 F'
R' U R' F D' U2 F'
R' U R' F D2 U2 F'
R' U R' F B U2 F'
R' U R' F B' U2 F'
R' U R' F B2 U2 F'
R' U R' B F U2 F'
R' U R' B' F U2 F'
R' U R' B2 F U2 F'
L' U R2 U R U B
L2 U R2 U R U B'
R' U D R' F U2 F'
D2 L2 B2 L U' L' B
D2 L2 B2 L U' B L'
D L2 B2 L U' D B
D L2 B2 L U' D' B
D L2 B2 L U' D2 B
D L2 B2 L U' B D
D L2 B2 L U' B D'
D L2 B2 L U' B D2
D L2 B2 L D U' B
D L2 B2 L D' U' B
D L2 B2 L D2 U' B
R U D R F B2 U2
R U D R B2 F U2
R' U D' R' F U2 F'
R U D B2 R F U2
D L2 B2 D L U' B
D L2 B2 D' L U' B
D L2 B2 D2 L U' B
R U D' R F U2 F
R' U D2 R' F U2 F'
R U D' F U2 F L'
R' U F R2 B R U2
R' U F B U2 F' L'
R' U F B2 U2 L F'
R' U F B2 U2 F' L
R2 U F U F' R U
R' U F' R' F2 U2 F'
B R U R F B U2
B R U R B F U2
D2 R U' L2 D' F2 B'
D2 R U' L2 D' B' F2
D2 R U' L2 B' D' F2
D' R U' D' L2 F2 B'
D' R U' D' L2 B' F2
D2 R U2 R2 U L2 B'
R' U B F U2 F' L'
D' R U2 F2 R2 U B
U R D R F B2 U2
U R D R B2 F U2
R' U B2 F U2 L F'
R' U B2 F U2 F' L
D' R D' U' L2 F2 B'
D' R D' U' L2 B' F2
U R D B2 R F U2
U R D' R F U2 F
D' R D2 L2 B2 U' B
U R D' F U2 F L'
R' U' L' R' U2 R B
D' R D2 B2 L2 U' B'
R' U' L2 R' U2 R B'
R' U' L2 R' U2 B' R
R U' L' D' F2 L' B'
R U' L2 D' F2 B' L'
R U' L2 D' B' F2 L'
R' U' R F R2 U2 R
R U' L2 B' D' F2 L'
R' U' R' L' U2 R B
R' U' R' L2 U2 R B'
R' U' R' L2 U2 B' R
U2 R F2 R2 U L' B
U2 R F2 R2 U B L'
R' U' R' F2 L' F' U2
R' U' D F R' U2 R
R' U' D' F R' U2 R
D R B2 D2 L2 U' B'
R U' D' L' F2 L' B'
B2 R' L U' B2 L B'
R U' D' L2 F2 B' L'
R U' D' L2 B' F2 L'
R' U' D2 F R' U2 R
U2 R' L U B2 L B'
R' U' F L R' U2 R
R' U' F L' R' U2 R
R' U' F L2 R' U2 R
B2 R' L B2 U' L B'
R' U' F R' L U2 R
R' U' F R' L' U2 R
R' U' F R' L2 U2 R
R' U' F R' U2 R D
R' U' F R' U2 R D'
R' U' F R' U2 R D2
R' U' F R' U2 D R
R' U' F R' U2 D' R
R' U' F R' U2 D2 R
R' U' F R' D U2 R
R' U' F R' D' U2 R
R' U' F R' D2 U2 R
R' U' F D R' U2 R
R' U' F D' R' U2 R
R' U' F D2 R' U2 R
U2 R' L2 U B2 L B
U2 R' L2 U' R' U2 B'
R' U' F' R' F2 L' U2
D2 R' U L2 D2 R2 B'
D2 R' U L2 D2 B' R2
D2 R' U L2 B' D2 R2
U' R' U R D2 L2 B'
U2 R' U L B2 L B'
D2 R' U F U2 L2 F'
D2 R' U F U2 F' L2
U2 R' U L2 B2 L B
B R' U R' F U2 F2
B R' U F R' U2 F'
U2 R' U B' L2 B' L
U2 R' U B2 L2 B' L'
U' R' U' R' F U2 R2
U2 R' U' R F R2 U2
U2 R' U' R' D F U2
U2 R' U' R' D' F U2
U2 R' U' R' D2 F U2
U2 R' U' R' F U2 D
U2 R' U' R' F U2 D'
U2 R' U' R' F U2 D2
U2 R' U' R' F D U2
U2 R' U' R' F D' U2
U2 R' U' R' F D2 U2
D2 R' U' B L2 F B'
D2 R' U' B L2 B' F
U2 R' U' D R' F U2
U2 R' U' D F R' U2
U2 R' U' D' R' F U2
U2 R' U' D' F R' U2
U2 R' U' D2 R' F U2
U2 R' U' D2 F R' U2
U2 R' U' F R' U2 D
U2 R' U' F R' U2 D'
U2 R' U' F R' U2 D2
U2 R' U' F R' D U2
U2 R' U' F R' D' U2
U2 R' U' F R' D2 U2
U2 R' U' F D R' U2
U2 R' U' F D' R' U2
U2 R' U' F D2 R' U2
U2 R' U' F' R' F2 U2
U2 R' D U' R' F U2
U2 R' D U' F R' U2
U2 R' D' U' R' F U2
U2 R' D' U' F R' U2
U2 R' D2 U' R' F U2
U2 R' D2 U' F R' U2
F2 R' D2 B2 U L B'
R2 U2 L2 R U B' L2
U R' F R' U R U
U2 R' F' U D2 B2 L
U2 R' F' U' R' F2 U2
U2 R' F' U' F2 R' U2
U2 R' F' D2 U B2 L
R2 U2 R L2 U B' L2
D' R' F2 U D R2 B
D' R' F2 D U R2 B
L' U2 R' U' F' R' U2
U2 R' F2 U' F' R' U2
L2 U2 R' U B2 L B
L2 U2 R' U' R' U2 B'
L U2 R' U B2 L B'
R U2 R2 U' R' F U2
R U2 R2 U' F R' U2
L2 U2 D' R' F2 U B'
D R' B2 U F U2 F'
L2 U2 D' F2 R' U B'
L2 U2 D2 R' U B' L2
F R2 L U B R U
L U2 D2 R' U L2 B
L U2 D2 R' U B L2
F R2 L' U B R U
F R2 L2 U B R U
U R2 U L2 R U B'
U R2 U R L2 U B'
U R2 U R U' F U2
F R2 U D B R U
F R2 U D' B R U
F R2 U D2 B R U
F R2 U B R U D
F R2 U B R U D'
F R2 U B R U D2
F R2 U B R D U
F R2 U B R D' U
F R2 U B R D2 U
F R2 U B D R U
F R2 U B D' R U
F R2 U B D2 R U
F R2 U B' R B2 U
F R2 U B2 R B' U
R U2 F2 R2 U L' B
R U2 F2 R2 U B L'
F2 R2 U' F2 L' U' B
D2 R2 U2 R U L2 B'
F R2 D U B R U
F R2 D' U B R U
L' D L' B2 L U' B
F R2 D2 U B R U
B2 R2 F U' L F' U'
B2 R2 F U' F' L U'
L2 D L' B2 L U' B'
L' D L2 B2 L U' B'
F' R2 F2 U' L' F' U'
F R2 B U R U R'
R' D U R' F U2 F'
F R2 B' U R B2 U
R' D U' F R' U2 R
F R2 B' U B2 R U
R D U R F B2 U2
R D U R B2 F U2
F R2 B2 U R B' U
F R2 B2 U B' R U
R D U B2 R F U2
B U R B R F U2
U2 D R' U D L2 B'
U2 D R' D U L2 B'
B U R' F R' U2 F2
B2 U R2 F U' L U'
L' D B2 L U F U2
D' U F U R' F U
D' U F U F R' U
D2 U F U R' U L2
L2 D B2 L U' D B
L2 D B2 L U' D' B
L2 D B2 L U' D2 B
L2 D B2 L U' B D
L2 D B2 L U' B D'
L2 D B2 L U' B D2
L2 D B2 L D U' B
L2 D B2 L D' U' B
L2 D B2 L D2 U' B
L2 D B2 D L U' B
L2 D B2 D' L U' B
L2 D B2 D2 L U' B
D U F U' B2 L U'
U D F U' B2 L U'
L D B2 D' L U' B'
B2 U F R2 U' L U'
B U F R B R U2
R D' L2 U' F2 B' L'
R D' L2 U' B' F2 L'
R' D' U R' F U2 F'
R' D' U' F R' U2 R
D2 U' L2 U' R' U B'
U2 D' L2 R' F2 U B'
R D' U R F U2 F
R D' U F U2 F L'
U2 D' L2 F2 R' U B'
R D' U' L' F2 L' B'
L2 D' U2 R' F2 U B'
R D' U' L2 F2 B' L'
R D' U' L2 B' F2 L'
L2 D' U2 F2 R' U B'
D2 U' R' U L2 R B'
D2 U' R' U L2 B' R
D2 U' R' U R L2 B'
U2 D' R F2 R2 U B
U2 D' R' L2 F2 U B'
U2 D' R' U D' L2 B'
U2 D' R' D' U L2 B'
U2 D' R' F2 U' F' U2
R D' F2 L' D R2 B
R D' F2 D L' R2 B
R D' F2 D R2 L' B
R D' F2 D R2 B L'
U D' F U R' F U
U D' F U F R' U
F U' D F' B2 L U'
F U' D B2 L F' U'
F U' D B2 F' L U'
B U' D2 L F L B'
D2 U2 L R' U L B'
U2 D2 L R' U L B'
R D2 L2 U R U2 B'
D' U2 L2 R' F2 U B'
U' D2 L2 U' R' U B'
F U' F' D B2 L U'
D' U2 L2 F2 R' U B'
L D2 R' U' B L2 F
D' U2 R F2 R2 U B
R' D2 U R' F U2 F'
D' U2 R' L2 F2 U B'
U' D2 R' U L2 R B'
U' D2 R' U L2 B' R
U' D2 R' U R L2 B'
D2 U2 R' L U L B'
D' U2 R' U D' L2 B'
D2 U2 R' U L2 D B'
D2 U2 R' U L2 D' B'
D2 U2 R' U L2 D2 B'
D2 U2 R' U L2 B' D
D2 U2 R' U L2 B' D'
D2 U2 R' U L2 B' D2
D2 U2 R' U B L2 B'
D2 U2 R' U B' L2 B'
D2 U2 R' U B2 L2 B'
D' U2 R' D' U L2 B'
D2 U2 R' U' F U2 L2
D' U2 R' F2 U' F' U2
U2 D2 R' L U L B'
R' D2 U' F R' U2 R
U2 D2 R' U L2 D B'
U2 D2 R' U L2 D' B'
U2 D2 R' U L2 D2 B'
U2 D2 R' U L2 B' D
U2 D2 R' U L2 B' D'
U2 D2 R' U L2 B' D2
U2 D2 R' U B L2 B'
U2 D2 R' U B' L2 B'
U2 D2 R' U B2 L2 B'
U2 D2 R' U' F U2 L2
D U2 R' U D L2 B'
D U2 R' D U L2 B'
L2 D2 U2 R' U B' L2
L D2 U2 R' U L2 B
L D2 U2 R' U B L2
U D2 F U R' U L2
L2 D2 B2 L U' L B
U' F R2 U R U R
U F R U2 D' F2 L'
U F R D R B2 U2
U F R D B2 R U2
U F R D' R U2 F2
U F R D' U2 F2 L'
U2 F R2 U R U R'
U F R2 U R U D
U F R2 U R U D'
U F R2 U R U D2
U F R2 U R D U
U F R2 U R D' U
U F R2 U R D2 U
U F R2 U D R U
U F R2 U D' R U
U F R2 U D2 R U
U F R2 D U R U
U F R2 D' U R U
U F R2 D2 U R U
U F R2 B U R U
U F R2 B' U R U
U F R2 B2 U R U
U F U R' U' R' U2
U F U D' R' F2 U
U F U D' F2 R' U
U F U D2 R' U L2
R2 F U' F L' F2 U'
R2 F U' F' U2 R U
D F U' F' B2 L U'
U F U' D B2 L U'
D F U' B2 L F' U'
D F U' B2 F' L U'
B2 D L2 B2 L' U' B
U F D U' B2 L U'
U F D' U R' F2 U
U F D' U F2 R' U
U F D2 U R' U L2
U F B2 R2 U' L U'
F D U' F' B2 L U'
F D U' B2 L F' U'
F D U' B2 F' L U'
F' D F B2 L R2 U'
F' D F B2 R2 L U'
U2 F' R' U D2 B2 L
U2 F' R' U' R' F2 U2
U2 F' R' U' F2 R' U2
U2 F' R' D2 U B2 L
F2 D B2 L U' R2 B
F' D B2 R2 F L U'
F' D B2 F L R2 U'
F' D B2 F R2 L U'
U F' R2 F2 U' L' U'
F' D' L2 R' F2 B' U
F' D' L2 R' B' F2 U
F' D' L2 F2 R' B' U
U2 F' D' L2 R' F2 U
U2 F' D' L2 F2 R' U
U2 F' D' R' L2 F2 U
U2 F' D' R' F2 L2 U
U2 F' D' F2 L2 R' U
U2 F' D' F2 R' L2 U
F' D' R' L2 F2 B' U
F' D' R' L2 B' F2 U
U2 F' D2 R' U L2 B2
U2 F' D2 R' U B2 L2
U2 F2 R' U' R' U2 B
B2 D2 L R U' L B'
B2 D2 L R' U' L B'
B2 D2 L R2 U' L B'
B2 D2 L U' L D B'
B2 D2 L U' L D' B'
B2 D2 L U' L D2 B'
B2 D2 L U' L B' D
B2 D2 L U' L B' D'
B2 D2 L U' L B' D2
B D2 L U' L F B'
B D2 L U' L B' F
D' F2 D R' U R' B
B2 D2 R L U' L B'
B2 D2 R' L U' L B'
B2 D2 R2 L U' L B'
D2 B L U' L F B'
D2 B L U' L B' F
B D2 U' L F L B'
D B L B L U' B'
D B L2 B L U' B2
L2 B R' U' B2 L F
B D2 B L U' L B'
D2 B U' L F L B'
B' F R2 U B R' U
F B' R2 U B R' U
D2 B2 L R U' L B'
D2 B2 L R' U' L B'
D2 B2 L R2 U' L B'
D2 B2 L U' L D B'
D2 B2 L U' L D' B'
D2 B2 L U' L D2 B'
D2 B2 L U' L B' D
D2 B2 L U' L B' D'
D2 B2 L U' L B' D2
L' B2 L U R2 F U2
L' B2 L U F R2 U2
L' B2 L U' D2 L2 B'
L' B2 L D2 U' L2 B'
L2 B2 L U R2 F' U2
L2 B2 L U' D2 L2 B
L2 B2 L U' D2 B L2
L2 B2 L U' B D2 L2
L2 B2 L D B2 U' B'
L2 B2 L D2 U' L2 B
L2 B2 L D2 U' B L2
D B2 L U' L B' L'
D B2 L U2 L U B'
D B2 L D2 R' U' B
L B2 L U R2 U2 B'
L B2 L U' D2 B' L2
L B2 L U' B' D2 L2
L B2 L D B2 U' B
L B2 L D2 U' B' L2
D2 B2 R L U' L B'
D2 B2 R' L U' L B'
D2 B2 R2 L U' L B'
R' B2 U F U2 L F'
R' B2 U F U2 F' L
U B2 R2 F U' L U'
D B2 U F U' L U'
