F L2 B' R' B U B'
B' R' D' F L2 B U
B' R' D' F B L2 U
B' R' D' B F L2 U
B' R' D2 F B U B
B' R' D2 B F U B
B' R' F L2 B U B2
B' R' F B L2 U B'
B' R' F B U' F U2
B' R' B D' F L2 U
B' R' B D2 F U B2
B' R' B F L2 U B'
B' R' B F U' F U2
F2 U F' R' B U F'
F U' D' F L' B' U2
D2 F L B' R' U B'
D' F L2 U' L U2 F
F D' U' F L' B' U2
D F2 R2 B L U' R'
F D2 L2 U B' R' F'
B' F L2 R' B U B2
B' F R' L2 B U B2
B' F R' B L2 U B'
B' F R' B U' F U2
F B' L2 R' B U B2
F B' R' L2 B U B2
F B' R' B L2 U B'
F B' R' B U' F U2
F2 B' U F' R' B U
B' F2 U F' R' B U
