L2 R' U2 L F' B
L2 R' U2 L B F'
L2 R' U2 F' L B
L' R' F' D2 B R'
R' L' F' D2 B R'
L' R' F2 B R F
R' L' F2 B R F
R2 L' F2 R F' B
R2 L' F2 R B F'
L' R' B F2 R F
R' L' B F2 R F
R' L2 U2 L F' B
R' L2 U2 L B F'
R' L2 U2 F' L B
F2 L2 R F' B U2
F2 L2 R B F' U2
L' R2 F2 R F' B
L' R2 F2 R B F'
F2 R L2 F' B U2
F2 R L2 B F' U2
F2 R F' L2 B U2
F2 R F' B L2 U2
F2 R B L2 F' U2
F2 R B F' L2 U2
L2 U2 D2 L F B'
L2 U2 D2 L F B'
L2 U2 D2 L B' F
R' D2 L' F' B R2
R' D2 L' B F' R2
R D2 L' R2 F' B
R D2 L' R2 B F'
R D2 R2 L' F' B
R D2 R2 L' B F'
R D2 R2 B L' F'
L2 D2 U2 L F B'
L2 D2 U2 L B' F
R' D2 B L' F' R2
L' F' R' F' B R
L' F' R' B F' R
L' F2 R' F' B R2
L' F2 R' B F' R2
R' B L' F2 R F
R B L2 F' U2 L
R' B D2 L' F' R2
L B2 L2 R' F' B
L B2 L2 R' B F'
L2 B2 R' U2 F' B
L2 B2 R' U2 B F'
L B2 R' L2 F' B
L B2 R' L2 B F'
L B2 R' F' L2 B
L B2 R' F' B L2
L B2 R' B L2 F'
L B2 R' B F' L2
F2 L R F' L B U2
D2 L R' F' R' B' L2
L' R U2 L' F' B U2
L' R U2 L' B F' U2
L' R U2 B L' F' U2
R' L F L2 F2 B R
R' L F L2 B F2 R
L2 R F' R' U2 L F
L2 R F' R2 U2 L F'
L2 R F' R2 U2 F' L
R' L F' B2 R' B' L2
L2 R F' B2 R' B' U2
L' R B L' F' U2 L
R' L B L2 D2 F' R
U2 L F B2 L2 R' B
U2 L F B2 R' L2 B
U2 L F B2 R' B L2
L2 R B D2 F' R U2
R' L B2 F' R' B' L2
L2 R B2 F' R' B' U2
D2 L B' L2 R' F' R'
D2 L B' R' L2 F' R'
D2 L B' R' F' L2 R'
D2 L B' R' F' R' L2
B' L B2 L2 R' F' B
B' L B2 L2 R' B F'
B2 L B2 L2 R' F' B
B2 L B2 L2 R' B F'
B' L B2 R' L2 F' B
B' L B2 R' L2 B F'
B' L B2 R' F' L2 B
B' L B2 R' F' B L2
B' L B2 R' B L2 F'
B' L B2 R' B F' L2
B L B2 L2 R' F' B
B L B2 L2 R' B F'
U2 L B2 R' F L2 B
R' L' U2 L' U2 F' B
R' L' U2 L' U2 B F'
U2 L B2 R' F B L2
L' R' U2 L' U2 F' B
L' R' U2 L' U2 B F'
U2 L B2 R' B F L2
B2 L B2 R' L2 F' B
B2 L B2 R' L2 B F'
B2 L B2 R' F' L2 B
B2 L B2 R' F' B L2
B2 L B2 R' B L2 F'
B2 L B2 R' B F' L2
F L B2 R' F' L' B
F L B2 R' F' B L'
B L B2 R' L2 F' B
B L B2 R' L2 B F'
F L B2 R' B F' L'
B L B2 R' F' L2 B
B L B2 R' F' B L2
B L B2 R' B L2 F'
B L B2 R' B F' L2
L2 R' U2 L D F' B
L2 R' U2 L D B F'
L2 R' U2 L D' F' B
L2 R' U2 L D' B F'
L2 R' U2 L D2 F' B
L2 R' U2 L D2 B F'
L2 R' U2 L F' D B
L2 R' U2 L F' D' B
L2 R' U2 L F' D2 B
L2 R' U2 L F' B D
L2 R' U2 L F' B D'
L2 R' U2 L F' B D2
L2 R' U2 L B D F'
L2 R' U2 L B D' F'
L2 R' U2 L B D2 F'
L2 R' U2 L B F' D
L2 R' U2 L B F' D'
L2 R' U2 L B F' D2
L2 R' U2 L' F' L2 B
L2 R' U2 L' F' B L2
L2 R' U2 L' B L2 F'
L2 R' U2 L' B F' L2
L2 R' U2 L2 B L' F'
R L' U2 L' F' B U2
R L' U2 L' B F' U2
U2 L B2 F L2 R' B
U2 L B2 F R' L2 B
U2 L B2 F R' B L2
L2 R' U2 D L F' B
L2 R' U2 D L B F'
L2 R' U2 D F' L B
L2 R' U2 D' L F' B
L2 R' U2 D' L B F'
L2 R' U2 D' F' L B
L2 R' U2 D2 L F' B
L2 R' U2 D2 L B F'
L2 R' U2 D2 F' L B
L2 R' U2 F L F2 B
L2 R' U2 F L B F2
L2 R' U2 F' L D B
L2 R' U2 F' L D' B
L2 R' U2 F' L D2 B
L2 R' U2 F' L B D
L2 R' U2 F' L B D'
L2 R' U2 F' L B D2
L2 R' U2 F' L' B L2
L2 R' U2 F' L2 B L'
L2 R' U2 F' D L B
L2 R' U2 F' D' L B
L2 R' U2 F' D2 L B
R L' U2 B L' F' U2
F2 L' R B L' F' U2
R' L' D F' D2 B R'
L' R' D F' D2 B R'
R' L' D F2 B R F
L2 R' D U2 L F' B
L2 R' D U2 L B F'
L' R' D F2 B R F
L2 R' D U2 F' L B
R' L' D B F2 R F
L' R' D B F2 R F
D2 L' R' F' R' D2 B2
D2 L' R' F' D2 R' B2
B' L' R' F' D2 B R'
B' L' R' F2 B R F
B2 L' R' F' D2 B R'
B' L' R' B F2 R F
B2 L' R' F2 B R F
U2 L' R' B D2 F2 R
B L' R' F' D2 B R'
B2 L' R' B F2 R F
B L' R' F2 B R F
B L' R' B F2 R F
R' L' D' F' D2 B R'
L' R' D' F' D2 B R'
R' L' D' F2 B R F
L2 R' D' U2 L F' B
L2 R' D' U2 L B F'
L' R' D' F2 B R F
