F2 L' U B' U' R' B
D' L' B' L' F' R U'
R U F' L' U2 F' L'
R' U F2 D B L R'
R' U F2 D B R' L
F2 R' F U' F' L' B
F2 R' F U' F' B L'
F2 R' F U' B F' L'
F R' F2 U' F' L' B
F R' F2 U' F' B L'
F R' F2 U' B F' L'
U R' F2 D B L R'
U R' F2 D B R' L
D R2 B' L F B2 U
D R2 B' L B2 F U
L D' L2 F' R B' U'
L D' L2 F' B' R U'
L D' L2 B' F' R U'
U' D' L2 F' R U' L'
D' U' L2 F' R U' L'
U2 D' L2 F' R B U'
L' D' F' R B' L2 U'
L' D' F' B' L2 R U'
L' D' F' B' R L2 U'
U' D' F' L2 R U' L
D' U' F' L2 R U' L
U' D' F' R L2 U' L
D' U' F' R L2 U' L
F' U' R' B R F' L'
U2 D' F' L2 R B U'
L' D' B' L2 F' R U'
U2 D' F' R L2 B U'
U2 D' F' R B L2 U'
L' D' B' F' L2 R U'
L' D' B' F' R L2 U'
F' U' D2 L F' B' L'
F' U' D2 L B' F' L'
F' U' D2 L2 F' L' B'
F' U' D2 F' L B' L2
F' U' F' L' R' B R
F' U' F' L2 D2 L B'
F' U' F' R' L' B R
F' U' F' R' B L' R
F' U' F' R' B R L'
F' U' F' D2 L B' L2
D' U2 L2 F' R B U'
D' U2 F' L2 R B U'
D' U2 F' R L2 B U'
D' U2 F' R B L2 U'
D' F' L' R B' L' U'
D' F' L' B' L' R U'
D' F' L' B' R L' U'
D' F' R L' B' L' U'
F' D B2 U' F' L' B'
F' D2 U' L F' B' L'
F' D2 U' L B' F' L'
F' D2 U' L2 F' L' B'
F' D2 U' F' L B' L2
R2 B R U F2 B L
R2 B R U B L F2
R2 B R U B F2 L
D B' L R2 F B U
D B' L R2 B F U
D B' R2 L F B U
D B' R2 L B F U
L' B' D' L2 F' R U'
L' B' D' F' L2 R U'
L' B' D' F' R L2 U'
D B2 R2 B L F U
