R B R' U B L
L R F B R' U B
R L F B R' U B
L R B R' F U B
R L B R' F U B
L R B F R' U B
R L B F R' U B
R U B R' U L B
F' R B R' U B L
F2 R B R' U B L
F R B R' U B L
L' U' B' L U' R' B2
L' U2 B' L F U' B2
R U2 B R' F' U B
D U L' F B L R
D U L' F B R L
D U L' B F L R
D U L' B F R L
U D L' F B L R
U D L' F B R L
U D L' B F L R
U D L' B F R L
D U L2 B L F R
U D L2 B L F R
D' U F B L R F'
D' U F B R L F'
D' U F B R F' L
D' U B L F R F'
D' U B F L R F'
D' U B F R L F'
D' U B F R F' L
D U B L' F L2 R
D U B L' F R L2
U D B L' F L2 R
U D B L' F R L2
U D' F B L R F'
U D' F B R L F'
U D' F B R F' L
U D' B L F R F'
U D' B F L R F'
U D' B F R L F'
U D' B F R F' L
L F R B R' U B
U F D' B L R F'
U F D' B R L F'
U F D' B R F' L
U F B L R D' F2
U F B R L D' F2
U F B R D' L F2
U F B R D' F2 L
R F B R' U B L
R F' B R' U B L
D2 F2 U B L F R
R F2 B R' U B L
R B L R' F U B
U B L F R D' F2
R B L F R' U B
R B R' L F U B
R B R' U L B L
R B R' U L' B L
R B R' U L2 B L
R B R' U D B L
R B R' U D' B L
R B R' U D2 B L
R B R' U B L D
R B R' U B L D'
R B R' U B L D2
R B R' U B D L
R B R' U B D' L
R B R' U B D2 L
R B R' D U B L
R B R' D' U B L
R B R' D2 U B L
R B R' F U B L
R B R' F' U B L
R B R' F2 U B L
U B F L R D' F2
U B F R L D' F2
U B F R D' L F2
U B F R D' F2 L
L' B' L R' F' U' B2
R B F R' U B L
L' B' L U' B' R' B'
R B F' R' U B L
L2 B' L B' U' B' R'
R B F2 R' U B L
L' B' R' L F' U' B2
L' B' R' F' L U' B2
U2 B2 U B' R' F' L'
