D' L U' R2 F2 B'
D' L U' R2 B' F2
D' L U' F2 R2 B'
D' L U' F2 B' R2
D' L U' B' R2 F2
D' L U' B' F2 R2
D' L' U' F2 R2 B
F' R U2 R B2 U
F' R U2 B2 R U
F' R D2 F2 L' U'
F U2 L' R2 B2 U
F U2 L' B2 R2 U
F' U2 R2 B2 L U
F U2 R2 L' B2 U
F U2 R2 B2 L' U
F U2 B2 L' R2 U
F U2 B2 R2 L' U
F' D' R U' R F2
F' D2 L2 R F2 U'
F' D2 R L2 F2 U'
F' D2 R F2 L2 U'
F D2 F2 L2 R U'
F D2 F2 R L2 U'
D' L R U' R F2 B'
D' L R U' R B' F2
F' L R U2 R B2 U
D' L R U' B' R F2
F' L R U2 B2 R U
F' L R D2 F2 L' U'
D' L R' U' R' F2 B'
D' L R' U' R' B' F2
D' L R' U' F2 R' B'
D L U B2 U2 R' B
D' L U' R B' R F2
D' L U' R' F2 R' B'
D' L U' R2 F2 D B'
D' L U' R2 F2 D' B'
D' L U' R2 F2 D2 B'
D' L U' R2 F2 B' D
D' L U' R2 F2 B' D'
D' L U' R2 F2 B' D2
D' L U' R2 B' F2 D
D' L U' R2 B' F2 D'
D' L U' R2 B' F2 D2
D' L U' F R2 F B'
D' L U' F R2 B' F
D' L U' F B' R2 F
F L U' D' R2 F2 B2
F L U' D' R2 B2 F2
F L U' D' F2 R2 B2
F L U' D' F2 B2 R2
F L U' D' B2 R2 F2
F L U' D' B2 F2 R2
D' L U' F2 R B' R
D' L U' F2 R2 D B'
D' L U' F2 R2 D' B'
D' L U' F2 R2 D2 B'
D' L U' F2 R2 B' D
D' L U' F2 R2 B' D'
D' L U' F2 R2 B' D2
D' L U' F2 B R2 B2
D' L U' F2 B' R2 D
D' L U' F2 B' R2 D'
D' L U' F2 B' R2 D2
D' L U' B R2 F2 B2
D' L U' B R2 B2 F2
D' L U' B F2 R2 B2
D' L U' B' R' F2 R'
D' L U' B' R2 F2 D
D' L U' B' R2 F2 D'
D' L U' B' R2 F2 D2
D' L U' B' F R2 F
D' L U' B' F2 R2 D
D' L U' B' F2 R2 D'
D' L U' B' F2 R2 D2
F L U2 L2 R2 B2 U
F L U2 L2 B2 R2 U
F' L U2 R2 B2 L U
F L U2 R2 L2 B2 U
F L U2 R2 B2 L2 U
D2 L D L U' R2 B'
D2 L D L U' B' R2
F L U2 B2 L2 R2 U
F L U2 B2 R2 L2 U
U' L D' L' F2 R2 B
F' L D' R U' R F2
F L D' U' R2 F2 B2
F L D' U' R2 B2 F2
F L D' U' F2 R2 B2
F L D' U' F2 B2 R2
F L D' U' B2 R2 F2
F L D' U' B2 F2 R2
F' L D2 L2 R F2 U'
F' L D2 R L2 F2 U'
F' L D2 R F2 L2 U'
F L D2 L2 R2 F2 U'
F L D2 L2 F2 R2 U'
F L D2 R2 L2 F2 U'
F L D2 R2 F2 L2 U'
F L D2 F2 L2 R2 U'
F L D2 F2 R2 L2 U'
D' L F U' R2 F B'
D' L F U' R2 B' F
D' L F U' F R2 B'
D' L F U' F B' R2
D' L F U' B' R2 F
D' L F U' B' F R2
D' L F' U' F' R2 B'
D' L F' U' F' B' R2
D' L F' U' B' F' R2
D2 L F2 D L U' B'
F' L' R U2 R B2 U
F' L' R U2 B2 R U
F' L' R D2 F2 L' U'
F L' R2 B2 U D L2
F L' R2 B2 U2 B2 U'
F L' R2 B2 D U L2
F L' R2 B2 D2 F2 U
D' L' U F U2 R2 F
D' L' U F U2 F R2
D' L' U' F2 R2 D B
D' L' U' F2 R2 D' B
D' L' U' F2 R2 D2 B
D' L' U' F2 R2 B D
D' L' U' F2 R2 B D'
D' L' U' F2 R2 B D2
D' L' U' F2 B R2 B
D' L' U' F2 B' R2 B
D' L' U' F2 B2 R2 B
D' L' U' B F2 R2 B
D' L' U' B' F2 R2 B
D' L' U' B2 F2 R2 B
F' L' U2 R2 B2 L U
U' L' D' L R2 F2 B'
U' L' D' L R2 B' F2
U' L' D' L F2 R2 B'
U' L' D' L F2 B' R2
U' L' D' L B' R2 F2
U' L' D' L B' F2 R2
D' L' D' L2 F2 U' B'
F' L' D' R U' R F2
U' L' D' R2 L F2 B'
U' L' D' R2 L B' F2
U' L' D' R2 F2 L B'
U' L' D' F2 L R2 B'
U' L' D' F2 L B' R2
U' L' D' F2 R2 L B'
F' L' D2 L2 R F2 U'
F' L' D2 R L2 F2 U'
F' L' D2 R L2 F2 U'
F' L' D2 R F2 L2 U'
D' L' F' U' F' R2 B
F L' B' R2 F' B' U
F L' B' R2 B' F' U
F L' B2 R2 U D L2
F L' B2 R2 U2 B2 U'
F L' B2 R2 D U L2
F L' B2 R2 D2 F2 U
F' L2 R U2 R B2 U
F' L2 R U2 B2 R U
F' L2 R D2 F2 L' U'
F' L2 U2 R2 B2 L U
F L2 U2 L R2 B2 U
F L2 U2 L B2 R2 U
F L2 U2 R2 L B2 U
F' L2 D' R U' R F2
F' L2 D2 L2 R F2 U'
F' L2 D2 R L2 F2 U'
F' L2 D2 R F2 L2 U'
F L2 D2 L2 F2 R U'
B L2 F L' B R2 U
B L2 F B L' R2 U
B L2 F B R2 L' U
D2 L2 F' D2 F' R U'
D2 L2 F2 D' R' U' B
D2 L2 F2 B R' B' U'
D2 L2 B R' F2 B' U'
D2 L2 B R' B' F2 U'
B L2 B R2 F L' U
D2 L2 B F2 R' B' U'
B L2 B F L' R2 U
B L2 B F R2 L' U
D' R L U' R F2 B'
D' R L U' R B' F2
D' R L U' B' R F2
F' R L U2 R B2 U
F' R L U2 B2 R U
F' R L D2 F2 L' U'
F' R L' U2 R B2 U
F' R L' U2 B2 R U
F' R L' D2 F2 L' U'
F' R L2 U2 R B2 U
F' R L2 U2 B2 R U
F' R L2 D2 F2 L' U'
D R U L2 F' B2 U2
D R U L2 B2 F' U2
D R U F' L2 B2 U2
D R U F' B2 L2 U2
F' R U' R' D' R2 F2
F' R U' R' D' F2 R2
D R U B2 L2 F' U2
D R U B2 F' L2 U2
D R U' D2 R2 F2 B
D R U' D2 R2 B F2
F' R U2 R U D' R2
F' R U2 R D' U R2
F' R U2 R B2 U D
F' R U2 R B2 U D'
F' R U2 R B2 U D2
F' R U2 R B2 D U
F' R U2 R B2 D' U
F' R U2 R B2 D2 U
F' R U2 R' B2 R2 U
F' R U2 D' R U R
F R U2 L' R B2 U
F R U2 L' B2 R U
F R U2 R L' B2 U
F' R U2 B' R B' U
F R U2 R B2 L' U
F' R U2 B2 R U D
F' R U2 B2 R U D'
F' R U2 B2 R U D2
F' R U2 B2 R D U
F' R U2 B2 R D' U
F' R U2 B2 R D2 U
F' R U2 B2 D R U
F' R U2 B2 D' R U
F' R U2 B2 D2 R U
F R U2 B2 L' R U
F R U2 B2 R L' U
D R D F2 L2 U' B'
F' R D' U2 R U R
F' R D' F2 L' U' R2
F' R D2 L F2 L' U'
F' R D2 L' F2 L' U'
F' R D2 L2 F2 L' U'
F' R D2 F2 L' U' D
F' R D2 F2 L' U' D'
F' R D2 F2 L' U' D2
F' R D2 F2 L' D U'
F' R D2 F2 L' D' U'
F' R D2 F2 L' D2 U'
F' R D2 F2 D L' U'
F' R D2 F2 D' L' U'
F' R D2 F2 D2 L' U'
D R D2 U' R2 F2 B
D R D2 U' R2 B F2
F R D2 F2 L' R U'
F R D2 F2 R L' U'
F' R F2 L' U' D' R2
F' R F2 L' U2 B2 U
F' R F2 L' D' U' R2
F' R F2 L' D2 F2 U'
F' R F2 D' L' U' R2
F' R F2 D2 L' F2 U'
D' R' L U' R' F2 B'
D' R' L U' R' B' F2
D' R' L U' F2 R' B'
D R' U L2 B2 U2 B'
D R' U B2 L2 F U2
D' R' U' F2 D2 R' B
D R' U' D2 F2 B R2
D R' U' D2 B R2 F2
D R' U' D2 B F2 R2
D R' U' B D2 R2 F'
F' R' U2 R' B2 L U
F R' U2 L' R' B2 U
F R' U2 R' L' B2 U
F R' U2 R' B2 L' U
B2 R' D R' U L2 B
B2 R' D R' U B L2
D R' D L2 F2 U' B
D R' D F2 L2 U' B
D R' D2 U' F2 B R2
D R' D2 U' B R2 F2
D R' D2 U' B F2 R2
F R2 L' B2 U D L2
F R2 L' B2 U2 B2 U'
F R2 L' B2 D U L2
F R2 L' B2 D2 F2 U
F R2 U2 L' B2 R' U
B R2 U2 F' R B' U'
B R2 U2 F' B' R U'
B R2 U2 B' F' R U'
U2 R2 D' L U R2 B'
U2 R2 D' L U B' R2
F' R2 D2 R' F2 L' U'
B' R2 D2 F' B' L U
B' R2 D2 B' L F' U
B' R2 D2 B' F' L U
B2 R2 F L' U D L2
B2 R2 F L' U2 B2 U'
B2 R2 F L' D U L2
B2 R2 F L' D2 F2 U
U2 R2 F L' F' B2 U
U2 R2 F L' B2 F' U
B2 R2 F D L' U L'
B' R2 F B' L' F2 U
U' R2 F B2 L' U L
B2 R2 F D2 L' F2 U
U2 R2 F B2 L' F' U
B2 R2 F' U2 R B2 U'
B2 R2 F' U2 B2 R U'
B' R2 F' B' U2 R U'
B2 R2 F' D2 F2 L' U
B' R2 B' F L' F2 U
B' R2 B' F' U2 R U'
F' R2 B2 L U D L2
F' R2 B2 L U2 B2 U'
F' R2 B2 L D U L2
F' R2 B2 L D2 F2 U
U2 R2 B' D2 B' L U
F' R2 B2 U2 B2 R' U'
F' R2 B2 D L U L
F' R2 B2 D2 L F2 U
F' R2 B2 D2 F2 L U
U' R2 B2 F L' U L
U2 R2 B2 D' L U B'
F R2 B2 L' U D L2
F R2 B2 L' U2 B2 U'
F R2 B2 L' D U L2
F R2 B2 L' D2 F2 U
D' U L U2 R2 F2 B'
D' U L U2 R2 B' F2
D' U L U2 F2 R2 B'
D' U L U2 F2 B' R2
D' U L U2 B' R2 F2
D' U L U2 B' F2 R2
U2 R2 B2 F L' F' U
F R2 B2 D L' U L'
F R2 B2 D2 L' F2 U
D' U L' U2 F2 R2 B
D' U L' F U2 R2 F
D' U L' F U2 F R2
D U L B2 U2 R' B
U D L B2 U2 R' B
U' D R D2 R2 F2 B
U' D R D2 R2 B F2
U' D R' D2 F2 B R2
U' D R' D2 B R2 F2
U' D R' D2 B F2 R2
U' D R' B D2 R2 F'
L' D' L U' R2 F2 B'
L' D' L U' R2 B' F2
L' D' L U' F2 R2 B'
L' D' L U' F2 B' R2
L' D' L U' B' R2 F2
L' D' L U' B' F2 R2
L2 D' L U' R2 F2 B'
L2 D' L U' R2 B' F2
L2 D' L U' F2 R2 B'
L2 D' L U' F2 B' R2
L2 D' L U' B' R2 F2
L2 D' L U' B' F2 R2
R2 D' L U' B' R2 F'
L' D' L' U' F2 R2 B
L D' L U' R2 F2 B'
L D' L U' R2 B' F2
L D' L U' F2 R2 B'
L D' L U' F2 B' R2
L D' L U' B' R2 F2
L D' L U' B' F2 R2
L2 D' L' U' F2 R2 B
L D' L' U' F2 R2 B
D' U' L R2 B' L' F2
U' D' L R2 B' L' F2
U2 D' L U R2 F2 B'
U2 D' L U R2 B' F2
D' U' L B' L' R2 F2
