U L R' U' R
U R' L U' R
U L R' U' R D
U L R' U' R D'
U L R' U' R D2
U L R' U' D R
U L R' U' D' R
U L R' U' D2 R
U L R' D U' R
U2 L R' U R U2
U L R' D' U' R
U L R' D2 U' R
B2 L R' B2 U L'
U L D R' U' R
U L D' R' U' R
U L D2 R' U' R
U L F R' U' R
U L F' R' U' R
U L F2 R' U' R
R2 U L R U' R'
R U L R2 U' R2
R2 U R L U' R'
R U R2 L U' R2
U2 R' L U R U2
U R' L U' R D
U R' L U' R D'
U R' L U' R D2
U R' L U' D R
U R' L U' D' R
U R' L U' D2 R
U R' L D U' R
U R' L D' U' R
U R' L D2 U' R
B2 R' L B2 U L'
U R' D L U' R
U R' D' L U' R
L' U2 L2 R' U' L'
U R' D2 L U' R
L2 U2 L' R' U' L'
L' U2 R' L2 U' L'
L2 U2 R' L' U' L'
F' U L R' U' R
F2 U L R' U' R
D2 U L R' U' R
D' U L R' U' R
U D L R' U' R
D U L R' U' R
F U L R' U' R
F' U R' L U' R
D2 U R' L U' R
F2 U R' L U' R
D' U R' L U' R
U D R' L U' R
D U R' L U' R
F U R' L U' R
U D' L R' U' R
B2 U' L R' B2 U
U D' R' L U' R
B2 U' R' L B2 U
U D2 L R' U' R
U D2 R' L U' R
U F L R' U' R
U F R' L U' R
U F' L R' U' R
U F' R' L U' R
U F2 L R' U' R
U F2 R' L U' R
U2 L R U' D B2 L
R' L U R U2 L' R'
R' L U R U2 R' L'
R' L U R' U2 L' R
R' L U R' U2 R L'
L' R U D L F2 B2
L' R U D L B2 F2
U2 L R D U' B2 L
L' R U D F2 L B2
R' L U R2 U2 L' R2
R' L U R2 U2 R2 L'
U L R U' D R' B2
U L R D U' R' B2
U L R F R2 U' R
U L R F' R2 U' R
U L R F2 R2 U' R
U2 L R B2 R2 U' L
U' L R' U L' U2 L
B2 L R B2 R2 U L'
U2 L R' U R U2 D
U2 L R' U R U2 D'
U2 L R' U R U2 D2
U2 L R' U R D U2
U2 L R' U R D' U2
U2 L R' U R D2 U2
U2 L R' U D R U2
U2 L R' U D' R U2
U2 L R' U D2 R U2
B2 L R' U L' D' R2
B2 L R' U D' L' R2
B2 L R' U D' R2 L'
U2 L R' U' F2 L' F2
R' L U' L' U2 L U2
U2 L R' U2 F2 U L'
U L R' U L U2 R
U L R' U L' U2 R
U L R' U L2 U2 R
R' L U' L' B2 R' B2
U2 L R' D U R U2
R' L U' L2 D2 L R2
R' L U' L2 D2 R2 L
U L R' U' R2 D R'
U L R' U' R2 D' R'
U L R' U' R2 D2 R'
U L R' U' D R D
U L R' U' D R D'
U L R' U' D R D2
U L R' U' D' R D
U L R' U' D' R D'
U L R' U' D' R D2
U L R' U' D2 R D
U L R' U' D2 R D'
U L R' U' D2 R D2
U2 L R' D' U R U2
U L R' U' B R B'
L R U' L' D B2 R'
U L R' U' B2 R B2
B2 L R' D' U L' R2
B2 L R' D' U R2 L'
U2 L R' D2 U R U2
U L R' U2 B U R
U L R' U2 B' U R
U L R' U2 B2 U R
U L R' D U' R D
U L R' D U' R D'
U L R' D U' R D2
U L R' D' U' R D
U L R' D' U' R D'
U L R' D' U' R D2
R L U' L' D B2 R'
U L R' D2 U' R D
U L R' D2 U' R D'
U L R' D2 U' R D2
L R U' D L' B2 R'
U2 L R' B U R U2
U2 L R' B' U R U2
U L R' F2 U L' U2
U2 L R' B2 U R U2
B2 L R' B2 U L' D
B2 L R' B2 U L' D'
B2 L R' B2 U L' D2
B2 L R' B2 U D L'
B2 L R' B2 U D' L'
B2 L R' B2 U D2 L'
B2 L R' B2 D U L'
B2 L R' B2 D' U L'
B2 L R' B2 D2 U L'
R L U' D L' B2 R'
R' L U' B2 L' B2 R'
U2 L R2 D R B2 U'
U2 L R2 D B2 R U'
L' R U2 L2 R2 U' L'
U2 L R2 D2 R U' L2
L2 R U2 L' R2 U' L'
U L R2 D' R F2 U'
L' R U2 R2 L2 U' L'
L2 R U2 R2 L' U' L'
B2 L R2 B2 R U L'
L' R D U L F2 B2
L' R D U L B2 F2
L' R D U F2 L B2
L R D U' L' B2 R'
R L D U' L' B2 R'
L2 R D F2 R U B2
L' R D2 L2 R2 U L'
L' R D2 R2 L2 U L'
U2 L D R' U R U2
U L D R' U' R D
U L D R' U' R D'
U L D R' U' R D2
U L D R' U' D R
U L D R' U' D' R
U L D R' U' D2 R
U L D R' D U' R
U L D R' D' U' R
U L D R' D2 U' R
U L D F R' U' R
U L D F' R' U' R
U L D F2 R' U' R
U2 L D' R' U R U2
B2 L D' R' U L' R'
B2 L D' R' U R' L'
U L D' R' U' R D
U L D' R' U' R D'
U L D' R' U' R D2
U L D' R' U' D R
U L D' R' U' D' R
U L D' R' U' D2 R
U L D' R' D U' R
U L D' R' D' U' R
U L D' R' D2 U' R
U L D' F R' U' R
U L D' F' R' U' R
U L D' F2 R' U' R
U2 L D2 R' U R U2
U L D2 R' U' R D
U L D2 R' U' R D'
U L D2 R' U' R D2
U L D2 R' U' D R
U L D2 R' U' D' R
U L D2 R' U' D2 R
U L D2 R' D U' R
U L D2 R' D' U' R
U L D2 R' D2 U' R
R' L F2 U R U2 R'
U L D2 F R' U' R
U L D2 F' R' U' R
U L D2 F2 R' U' R
U L F R' U' R D
U L F R' U' R D'
U L F R' U' R D2
U L F R' U' D R
U L F R' U' D' R
U L F R' U' D2 R
U L F R' D U' R
U L F R' D' U' R
U L F R' D2 U' R
U L F D R' U' R
R' L B U2 B' U L'
U L F D' R' U' R
U L F D2 R' U' R
U L F' R' U' R D
U L F' R' U' R D'
U L F' R' U' R D2
U L F' R' U' D R
U L F' R' U' D' R
U L F' R' U' D2 R
U L F' R' D U' R
U L F' R' D' U' R
U L F' R' D2 U' R
U L F' D R' U' R
R' L B' U2 B U L'
U L F' D' R' U' R
U L F' D2 R' U' R
U2 L F2 R' F2 U' L'
U L F2 R' U' R D
U L F2 R' U' R D'
U L F2 R' U' R D2
U L F2 R' U' D R
U L F2 R' U' D' R
U L F2 R' U' D2 R
U L F2 R' D U' R
U L F2 R' D' U' R
U L F2 R' D2 U' R
R' L B2 U' L' D' R2
R' L B2 U' D' L' R2
R' L B2 U' D' R2 L'
U L F2 D R' U' R
R' L B2 U2 B2 U L'
U L F2 D' R' U' R
R' L B2 D' U' L' R2
R' L B2 D' U' R2 L'
R' L B2 D' U' R2 L'
U L F2 D2 R' U' R
L R' U R U2 L' R'
L R' U R U2 R' L'
L R' U R' U2 L' R
L R' U R' U2 R L'
L R' U R2 U2 L' R2
L R' U R2 U2 R2 L'
R L' U D L F2 B2
R L' U D L B2 F2
R L' U D F2 L B2
L R' U' L' U2 L U2
L R' U' L' B2 R' B2
L R' U' L2 D2 L R2
L R' U' L2 D2 R2 L
R' L' U' D L F2 R
L' R' U' D L F2 R
L R' U' B2 L' B2 R'
B2 L B2 U L' D F2
U2 L B2 U2 L U L'
R2 L' U2 L2 R U' L'
B2 L B2 U2 L U' L2
R2 L' U2 R L2 U' L'
R L' U2 L2 R2 U' L'
R L' U2 R2 L2 U' L'
R' L' D U' L F2 R
L' R' D U' L F2 R
U2 L' R' U' D F2 L'
R L' D U L F2 B2
R L' D U L B2 F2
R L' D U F2 L B2
U2 L' R' D U' F2 L'
U L' R' U' R D F2
U L' R' U' D R F2
U L' R' D U' R F2
R L' D2 L2 R2 U L'
R L' D2 R2 L2 U L'
U2 L' U' L2 R' U' R
U2 L' U' R' L2 U' R
D2 L' U2 L2 R' U' L'
D' L' U2 L2 R' U' L'
F' L' U2 L2 R' U' L'
D2 L' U2 R' L2 U' L'
F2 L' U2 L2 R' U' L'
D' L' U2 R' L2 U' L'
F' L' U2 R' L2 U' L'
D L' U2 L2 R' U' L'
F2 L' U2 R' L2 U' L'
F L' U2 L2 R' U' L'
D L' U2 R' L2 U' L'
F L' U2 R' L2 U' L'
U2 L' D R' U' F2 L'
L R' F2 U R U2 R'
U L' D R' U' R F2
L R' B U2 B' U L'
L R' B' U2 B U L'
U L' F L2 R' U' R
L R' B2 U' L' D' R2
L R' B2 U' D' L' R2
L R' B2 U' D' R2 L'
U L' F R' L2 U' R
L R' B2 U2 B2 U L'
L R' B2 D' U' L' R2
L R' B2 D' U' R2 L'
U L' F' L2 R' U' R
U L' F' R' L2 U' R
U L' F2 L2 R' U' R
U L' F2 R' L2 U' R
L' R2 U2 L2 R U' L'
L' R2 U2 R L2 U' L'
L2 R2 U2 L' R U' L'
R2 L2 U2 L' R U' L'
L2 R2 U2 R L' U' L'
R2 L2 U2 R L' U' L'
R L2 U2 L' R2 U' L'
R L2 U2 R2 L' U' L'
L2 R2 D F2 L' R U
L2 R2 D F2 R L' U
R2 L2 D F2 L' R U
R2 L2 D F2 R L' U
R L2 D F2 R U B2
U L2 R' D L' U' R
U L2 R' D' L' U' R
U L2 R' D2 L' U' R
B2 L2 R' B2 L' U L'
L2 R2 F2 L' R U L'
R2 L2 F2 L' R U L'
L2 R2 F2 R L' U L'
R2 L2 F2 R L' U L'
U2 L2 U' L' R' U' R
U2 L2 U' R' L' U' R
D2 L2 U2 L' R' U' L'
D' L2 U2 L' R' U' L'
F' L2 U2 L' R' U' L'
D2 L2 U2 R' L' U' L'
F2 L2 U2 L' R' U' L'
D' L2 U2 R' L' U' L'
F' L2 U2 R' L' U' L'
D L2 U2 L' R' U' L'
F2 L2 U2 R' L' U' L'
F L2 U2 L' R' U' L'
D L2 U2 R' L' U' L'
F L2 U2 R' L' U' L'
U L2 D L' R' U' R
U L2 D R' L' U' R
L' U L U L R' U'
L' U L U R' L U'
U L2 D' L' R' U' R
R2 U L R U' R' D
R2 U L R U' R' D'
R2 U L R U' R' D2
R2 U L R U' D R'
R2 U L R U' D' R'
R2 U L R U' D2 R'
R2 U L R D U' R'
R2 U L R D' U' R'
R2 U L R D2 U' R'
R2 U L R F U' R'
R2 U L R F' U' R'
R2 U L R F2 U' R'
U L2 D' R' L' U' R
R U L R2 U' R2 D
R U L R2 U' R2 D'
R U L R2 U' R2 D2
R U L R2 D' F2 U'
R U L R2 F U' R2
R U L R2 F' U' R2
R U L R2 F2 U' R2
R2 U L D R U' R'
R2 U L D' R U' R'
R2 U L D2 R U' R'
R U L F R2 U' R2
U L2 D2 L' R' U' R
R U L F' R2 U' R2
R U L F2 R2 U' R2
L2 U L' R' U' L' R
L2 U L' R' U' R L'
U L2 D2 R' L' U' R
L' U L2 R' U' L' R
L' U L2 R' U' R L'
L2 U L2 U L R' U'
L2 U L2 U R' L U'
R2 U R L U' R' D
R2 U R L U' R' D'
R2 U R L U' R' D2
R2 U R L U' D R'
R2 U R L U' D' R'
R2 U R L U' D2 R'
R2 U R L D U' R'
R2 U R L D' U' R'
R2 U R L D2 U' R'
R2 U R L F U' R'
R2 U R L F' U' R'
R2 U R L F2 U' R'
R2 U R D L U' R'
R2 U R D' L U' R'
R2 U R D2 L U' R'
R2 U R F L U' R'
L' U R' L2 U' L' R
L' U R' L2 U' R L'
R2 U R F' L U' R'
R2 U R F2 L U' R'
L2 U R' L' U' L' R
L2 U R' L' U' R L'
R U R2 L U' R2 D
R U R2 L U' R2 D'
R U R2 L U' R2 D2
R U R2 L D' F2 U'
R U R2 L F U' R2
R U R2 L F' U' R2
R U R2 L F2 U' R2
R U R2 D' L F2 U'
R U R2 D' F2 L U'
R U R2 F L U' R2
R U R2 F' L U' R2
R U R2 F2 L U' R2
R2 U D L R U' R'
R2 U D R L U' R'
R2 U D' L R U' R'
R2 U D' R L U' R'
U2 R L U' D B2 L
U2 R L D U' B2 L
R2 U D2 L R U' R'
R2 U D2 R L U' R'
U R L U' D R' B2
U R L D U' R' B2
B2 R L B2 R2 U L'
U2 R L B2 R2 U' L
U R L F R2 U' R
