F2 R F B2 U B
F2 R B2 F U B
B2 L D F' U F' B
B2 L D F' U B F'
B2 L F' U D F2 B
B2 L F' U D B F2
B2 L F' U B D F2
B2 L F' U2 L2 U' B
B2 L F' D U F2 B
B2 L F' D U B F2
R2 L' D' B R' U' R'
B L' R2 F' B U' B
B L' R2 B F' U' B
B L' U2 F' B U B
B L' U2 B F' U B
B L' D' R2 F' B U'
B L' D' R2 B F' U'
L' R2 D' B R' U' R'
B2 L2 F' U2 L U' B
F2 R D' F U R2 B'
F2 R D' F U B' R2
F2 R F U D' R2 B'
F2 R F U D' B' R2
F2 R F D' U R2 B'
F2 R F D' U B' R2
F2 R F B2 L U B
F2 R F B2 L' U B
F2 R F B2 L2 U B
F2 R F B2 U D B
F2 R F B2 U D' B
F2 R F B2 U D2 B
F2 R F B2 U B D
F2 R F B2 U B D'
F2 R F B2 U B D2
F2 R F B2 D U B
F2 R F B2 D' U B
F2 R F B2 D2 U B
F2 R B2 L' U B L
F2 R B2 D F U B
F2 R B2 D' F U B
F2 R B2 D2 F U B
F2 R B2 F L U B
F2 R B2 F L' U B
F2 R B2 F L2 U B
F2 R B2 F U D B
F2 R B2 F U D' B
F2 R B2 F U D2 B
F2 R B2 F U B D
F2 R B2 F U B D'
F2 R B2 F U B D2
F2 R B2 F D U B
F2 R B2 F D' U B
F2 R B2 F D2 U B
L' U2 L F' B2 U B
L' U2 L B2 F' U B
F2 R' F R2 B2 U B
B2 R' F2 R F' U B
B R2 L' F' B U' B
L' U2 F' L B2 U B
B R2 L' B F' U' B
L' U2 F' B2 L U B'
D' R2 U B L' U' B2
L' U2 B2 L F' U B'
L' U2 B2 F' L U B'
F2 R2 F R' B2 U B
D2 R2 B L' F2 U' B2
B R2 B L' F' U' B
D' R2 B' L D L2 F2
D' R2 B' L D F2 L2
D' R2 B' U L' B2 U'
D' R2 B' U B2 L' U'
F2 U R F B2 U B
F2 U R B2 F U B
L' D' R2 B R' U' R
F2 U' R F B2 U B
F2 U' R B2 F U B
R2 D' B L' U' R2 B2
R2 D' B L' U' B2 R2
B' U' F2 R F B' U
B' U' F2 R B' F U
B' U' F2 B' R F U
B' U' B' F2 R F U
B2 U2 L' U2 F' U B
F2 U2 R F B2 U B
F2 U2 R B2 F U B
R2 D2 B L' F2 U' B2
L2 F U F2 B2 R' U
L2 F U B2 R' F2 U
L2 F U B2 F2 R' U
B D' L' R2 F' B U'
B D' L' R2 B F' U'
B D' R2 L' F' B U'
B D' R2 L' B F' U'
B D' R2 B L' F' U'
L2 F' B2 R' U D2 B2
L2 F' B2 R' U' F2 U2
L2 F' B2 R' D' L2 U
L2 F' B2 R' D2 U B2
L2 F' B2 D' L2 R' U
L2 F' B2 D' R' L2 U
L2 F' B2 D2 R' U B2
U' F2 R F B2 U B
R' F2 R F' B2 U B
U' F2 R B2 F U B
R' F2 R B2 F' U B
U2 F2 R F B2 U B
U2 F2 R B2 F U B
U F2 R F B2 U B
U F2 R B2 F U B
D2 F2 U2 R F U B'
R2 B L' R2 F' U' B2
R2 B L' U2 B U B
R2 B L' D' R2 F' U'
R2 B R2 L' F' U' B2
R2 B D' L' R2 F' U'
R2 B D' R2 L' F' U'
D' B' R2 U L' B U'
D' B' R2 U B L' U'
F2 B' R F B' U B
F2 B' R B' F U B
F2 B' U' R F B' U
F2 B' U' R B' F U
F2 B' U' B' R F U
B2 F' D' L' U F B
B2 F' D' L' U B F
L2 B2 L2 F' R' U B'
B' F2 R F B' U B
B' F2 R B' F U B
B2 F2 R D' F L' U
F2 B2 R D' F L' U
B' F2 U' R F B' U
B' F2 U' R B' F U
B' F2 U' B' R F U
R2 B2 U2 B' L' U' B2
R B2 U2 L' B' U' B2
F' B2 D' L' U F B
F' B2 D' L' U B F
L2 B2 F' R' U D2 B2
L2 B2 F' R' U' F2 U2
L2 B2 F' R' D' L2 U
L2 B2 F' R' D2 U B2
L2 B2 F' D' L2 R' U
L2 B2 F' D' R' L2 U
L2 B2 F' D2 R' U B2
