B' L2 R' U' R
B' R' L2 U' R
B' L2 R' U' R D
B' L2 R' U' R D'
B' L2 R' U' R D2
B' L2 R' U' D R
B' L2 R' U' D' R
B' L2 R' U' D2 R
B' L2 R' D U' R
B' L2 R' D' U' R
B' L2 R' D2 U' R
B' L2 D R' U' R
B' L2 D' R' U' R
B' L2 D2 R' U' R
B' L2 F R' U' R
B' L2 F' R' U' R
B' L2 F2 R' U' R
B2 L2 B R' U' R
U R B' L2 U' B2
B' R' L2 U' R D
B' R' L2 U' R D'
B' R' L2 U' R D2
B' R' L2 U' D R
B' R' L2 U' D' R
B' R' L2 U' D2 R
B' R' L2 D U' R
B' R' L2 D' U' R
B' R' L2 D2 U' R
B' R' U' R D F2
B' R' U' D R F2
B' R' D U' R F2
B2 U L2 B R' U'
B2 U B L2 R' U'
B2 U B R' L2 U'
B U B2 L2 R' U'
B U B2 R' L2 U'
B' D R' U' R F2
B' F L2 R' U' R
B' F R' L2 U' R
R' B' L2 R' U' R2
R2 B' L2 R' U' R'
R' B' R' L2 U' R2
R2 B' R' L2 U' R'
U B' L2 R U' B
U B' R L2 U' B
D B' R' U' R F2
F' B' L2 R' U' R
B' F' L2 R' U' R
F2 B' L2 R' U' R
F' B' R' L2 U' R
B' F' R' L2 U' R
F B' L2 R' U' R
F2 B' R' L2 U' R
F B' R' L2 U' R
B' F2 L2 R' U' R
B' F2 R' L2 U' R
B' L R' D L U' R
B' L R' D' L U' R
B' L R' D2 L U' R
B' L R' D2 L U' R
B2 L U L B R' U'
B L U L B2 U' B2
B' L D L R' U' R
B' L D R' L U' R
B' L D' L R' U' R
B' L D' R' L U' R
B' L D2 L R' U' R
B' L D2 R' L U' R
B' L F L R' U' R
B' L F R' L U' R
B' L F' L R' U' R
B' L F' R' L U' R
B' L F2 L R' U' R
B' L F2 R' L U' R
B' L' R' D L' U' R
B' L' R' D' L' U' R
B' L' R' D2 L' U' R
B2 L' U L' B R' U'
B2 L' U B L' R' U'
B2 L' U B R' L' U'
B' L' D L' R' U' R
B' L' D R' L' U' R
B' L' D' L' R' U' R
B' L' D' R' L' U' R
B' L' D2 L' R' U' R
B' L' D2 R' L' U' R
B2 L' B L' R' U' R
B2 L' B R' L' U' R
B' L2 R U' D R' B2
B' L2 R D U' R' B2
B' L2 R F R2 U' R
B' L2 R F' R2 U' R
B' L2 R F2 R2 U' R
U L2 R U2 F U B
B' L2 R' U L U2 R
B' L2 R' U L' U2 R
B' L2 R' U L2 U2 R
B' L2 R' U' R2 D R'
B' L2 R' U' R2 D' R'
B' L2 R' U' R2 D2 R'
B' L2 R' U' D R D
B' L2 R' U' D R D'
B' L2 R' U' D R D2
B' L2 R' U' D' R D
B' L2 R' U' D' R D'
B' L2 R' U' D' R D2
B' L2 R' U' D2 R D
B' L2 R' U' D2 R D'
B' L2 R' U' D2 R D2
B' L2 R' U' B R B'
B' L2 R' U' B2 R B2
B' L2 R' U2 B U R
B' L2 R' U2 B' U R
B' L2 R' U2 B2 U R
B' L2 R' D U' R D
B' L2 R' D U' R D'
B' L2 R' D U' R D2
B' L2 R' D' U' R D
B' L2 R' D' U' R D'
B' L2 R' D' U' R D2
B' L2 R' D2 U' R D
B' L2 R' D2 U' R D'
B' L2 R' D2 U' R D2
B' L2 R' F2 U L' U2
B' L2 R2 D' R F2 U'
U L2 U2 F L' U B'
B' L2 D R' U' R D
B' L2 D R' U' R D'
B' L2 D R' U' R D2
B' L2 D R' U' D R
B' L2 D R' U' D' R
B' L2 D R' U' D2 R
B' L2 D R' D U' R
B' L2 D R' D' U' R
B' L2 D R' D2 U' R
B' L2 D F R' U' R
B' L2 D F' R' U' R
B' L2 D F2 R' U' R
B' L2 D' R' U' R D
B' L2 D' R' U' R D'
B' L2 D' R' U' R D2
B' L2 D' R' U' D R
