D' L2 F' R U' B L
R U F B R F L'
R U F2 L' D2 B R'
U' R U' F2 L' B' R'
R U F2 D2 L' B R'
R U F2 D2 B L' R'
R U F2 D2 B R' L'
R2 U B R' U F2 B
R2 U B R' U B F2
R U B F R F L'
F R F2 U' L' F' B
F R F2 U' L' B F'
F R F2 U' B L' F'
F' R' U F' R' B U2
R U' F2 L' B' R' B2
R U' F2 B L' D2 R2
R U' F2 B' L' R' B2
R U' F2 B' R' L' B2
R U' F2 B' R' B2 L'
R U' B L2 F2 L' R
R U' B L2 F2 R L'
R U' B F2 L' D2 R2
R U' B' F2 L' R' B2
R U' B' F2 R' L' B2
R U' B' F2 R' B2 L'
U2 R2 U B L U F2
R U2 F2 L' B D' R2
F2 U D F R B2 U'
F2 U D F B2 R U'
F2 U D B2 F R U'
F2 U D2 F R U' L2
F2 U F R U R U2
F2 U F D R B2 U'
F2 U F D B2 R U'
F2 U F D2 R U' L2
F2 U2 R2 U' F R U'
U F R F2 U' L' F'
R F U F L' B R
R F U F B L' R
R F U F B R L'
R F U B F L' R
R F U B F R L'
F2 D U F R B2 U'
F2 D U F B2 R U'
F2 D U B2 F R U'
D' F' L2 R U' B L
D' F' R L2 U' B L
F2 D2 L2 R B D' R2
F2 D2 R L2 B D' R2
F2 D2 U F R U' L2
R2 B R' U F2 L' B
R2 B R' U F2 B L'
R2 B R' U B F2 L'
R B2 U' F2 B' L' R'
R B2 U' F2 B' R' L'
R B2 U' B' F2 L' R'
R B2 U' B' F2 R' L'
