B L U' B' R'
B L R' F' U' B'
B L U' R B' R'
B L U' R' B' R'
B L U' R2 B' R'
B L U' D B' R'
B L U' D' B' R'
B L U' D2 B' R'
B L U' B' R' D
B L U' B' R' D'
B L U' B' R' D2
B L U' B' R' D2
B L U' B' D R'
B L U' B' D' R'
B L U' B' D2 R'
B L D U' B' R'
B L D' U' B' R'
B L D2 U' B' R'
B L F U' B' R'
B L F' U' B' R'
B L F2 U' B' R'
B R' L F' U' B'
B R' F' L U' B'
D' B L R' F' U'
D' B R' L F' U'
D' B R' F' L U'
D' B R' F' L U'
F' B L U' B' R'
F2 B L U' B' R'
B F L U' B' R'
F B L U' B' R'
B F' L U' B' R'
B F2 L U' B' R'
B L R U' B' D' R2
B L R U2 B U B2
B L R' D F' U' B'
B L R' D' F' U' B'
B L R' D2 F' U' B'
B L R' F' R U' B'
B L R' F' R' U' B'
B L R' F' R2 U' B'
B L R' F' U' D B'
B L R' F' U' D' B'
B L R' F' U' D2 B'
B L R' F' U' B' D
B L R' F' U' B' D'
B L R' F' U' B' D2
B L R' F' D U' B'
B L R' F' D' U' B'
B L R' F' D2 U' B'
B L U L2 F U2 R
B L U F U2 R B'
B L U F U2 B' R
B L U' R D B' R'
B L U' R D' B' R'
B L U' R D2 B' R'
B L U' R B' R' D
B L U' R B' R' D'
B L U' R B' R' D2
B L U' R B' D R'
B L U' R B' D' R'
B L U' R B' D2 R'
B L U' R' D B' R'
B L U' R' D' B' R'
B L U' R' D2 B' R'
B L U' R' B' R' D
B L U' R' B' R' D'
B L U' R' B' R' D2
B L U' R' B' D R'
B L U' R' B' D' R'
B L U' R' B' D2 R'
B L U' R2 D B' R'
B L U' R2 D' B' R'
B L U' R2 D2 B' R'
B L U' R2 B' R' D
B L U' R2 B' R' D'
B L U' R2 B' R' D2
B L U' R2 B' D R'
B L U' R2 B' D' R'
B L U' R2 B' D2 R'
B L U' D R B' R'
B L U' D R' B' R'
B L U' D R2 B' R'
B L U' D B' R' D
B L U' D B' R' D'
B L U' D B' R' D2
B L U' D B' D R'
B L U' D B' D' R'
B L U' D B' D2 R'
B L U' D' R B' R'
B L U' D' R' B' R'
B L U' D' R2 B' R'
B L U' D' B' R' D
B L U' D' B' R' D'
B L U' D' B' R' D2
B L U' D' B' D R'
B L U' D' B' D' R'
B L U' D' B' D2 R'
B L U' D2 R B' R'
B L U' D2 R' B' R'
B L U' D2 R2 B' R'
B L U' D2 B' R' D
B L U' D2 B' R' D'
B L U' D2 B' R' D2
B L U' D2 B' D R'
B L U' D2 B' D' R'
B L U' D2 B' D2 R'
B L U' F' B' R' F
B L U' F2 B' R' F2
B L U' B R B2 R'
B L U' B R' B2 R'
B L U' B R2 B2 R'
B L U' B' R2 D R
B L U' B' R2 D' R
B L U' B' R2 D2 R
B L U' B' D R' D
B L U' B' D R' D'
B L U' B' D R' D2
B L U' B' D' R' D
B L U' B' D' R' D'
B L U' B' D' R' D2
B L U' B' D2 R' D
B L U' B' D2 R' D'
B L U' B' D2 R' D2
B L U' B' F' R' F
B L U' B' F2 R' F2
B L D R' F' U' B'
B L D U' R B' R'
B L D U' R' B' R'
B L D U' R2 B' R'
B L D U' B' R' D
B L D U' B' R' D'
B L D U' B' R' D2
B L D U' B' D R'
B L D U' B' D' R'
B L D U' B' D2 R'
B L D F U' B' R'
B L D F' U' B' R'
B L D F2 U' B' R'
B L D' R' F' U' B'
B L D' U' R B' R'
B L D' U' R' B' R'
B L D' U' R2 B' R'
B L D' U' B' R' D
B L D' U' B' R' D'
B L D' U' B' R' D2
B L D' U' B' D R'
B L D' U' B' D' R'
B L D' U' B' D2 R'
B L D' F U' B' R'
B L D' F' U' B' R'
B L D' F2 U' B' R'
B L D2 R' F' U' B'
B L D2 U' R B' R'
B L D2 U' R' B' R'
B L D2 U' R2 B' R'
B L D2 U' B' R' D
B L D2 U' B' R' D'
B L D2 U' B' R' D2
B L D2 U' B' D R'
B L D2 U' B' D' R'
B L D2 U' B' D2 R'
B L D2 F U' B' R'
B L D2 F' U' B' R'
B L D2 F2 U' B' R'
B L F R' F' U' B'
B L F U' R B' R'
B L F U' R' B' R'
B L F U' R2 B' R'
B L F U' D B' R'
B L F U' D' B' R'
B L F U' D2 B' R'
B L F U' B' R' D
B L F U' B' R' D'
B L F U' B' R' D2
B L F U' B' D R'
B L F U' B' D' R'
B L F U' B' D2 R'
B L F D U' B' R'
B L F D' U' B' R'
U' L F B' R' D L2
B L F D2 U' B' R'
U' L F B' D L2 R'
U' L F B' D R' L2
B L F' R' F' U' B'
B L F' U' R B' R'
B L F' U' R' B' R'
B L F' U' R2 B' R'
B L F' U' D B' R'
B L F' U' D' B' R'
B L F' U' D2 B' R'
B L F' U' B' R' D
B L F' U' B' R' D'
B L F' U' B' R' D2
B L F' U' B' D R'
B L F' U' B' D' R'
B L F' U' B' D2 R'
B L F' D U' B' R'
B L F' D' U' B' R'
B L F' D2 U' B' R'
B L F2 R' F' U' B'
B L F2 U' R B' R'
B L F2 U' R' B' R'
B L F2 U' R2 B' R'
B L F2 U' D B' R'
B L F2 U' D' B' R'
B L F2 U' D2 B' R'
B L F2 U' B' R' D
B L F2 U' B' R' D'
B L F2 U' B' R' D2
B L F2 U' B' D R'
B L F2 U' B' D' R'
B L F2 U' B' D2 R'
B L F2 D U' B' R'
B L F2 D' U' B' R'
D' L B L R' F' U'
B L F2 D2 U' B' R'
D' L B R' L F' U'
D' L B R' F' L U'
U' L B U' F B2 R'
U' L B U' B2 R' F
U' L B U' B2 F R'
U' L B' R' D F L2
U' L B' R' F D L2
U' L B' D R' F L2
U' L B' D F L2 R'
U' L B' D F R' L2
U' L B' F R' D L2
U' L B' F D L2 R'
U' L B' F D R' L2
D' L' B L R' F' U'
D' L' B R' L F' U'
D' L' B R' F' L U'
B L2 D L' U' B' R'
B L2 D' L' U' B' R'
B L2 D2 L' U' B' R'
D' L2 B L R' F' U'
D' L2 B R' L F' U'
D' L2 B R' F' L U'
B R L U' B' D' R2
B R L U2 B U B2
B R' L D F' U' B'
B R' L D' F' U' B'
B R' L D2 F' U' B'
B R' L F' R U' B'
B R' L F' R' U' B'
B R' L F' R2 U' B'
B R' L F' U' D B'
B R' L F' U' D' B'
B R' L F' U' D2 B'
B R' L F' U' B' D
B R' L F' U' B' D'
B R' L F' U' B' D2
B R' L F' D U' B'
B R' L F' D' U' B'
B R' L F' D2 U' B'
B R' D L F' R U'
B R' D F' L R U'
B R' D F' R L U'
B R' F L F2 U' B'
D2 R' F' U' B L F
B R' F' L R U' B'
B R' F' L R' U' B'
B R' F' L R2 U' B'
B R' F' L U' D B'
B R' F' L U' D' B'
B R' F' L U' D2 B'
B R' F' L U' B' D
B R' F' L U' B' D'
B R' F' L U' B' D2
B R' F' L D U' B'
B R' F' L D' U' B'
B R' F' L D2 U' B'
B R' F' R L U' B'
D R' F' R B L U'
B R' F' R' L U' B'
B R' F' R2 L U' B'
B2 R' F' B' L U' B'
B2 R' B' L F' U' B'
B2 R' B' F' L U' B'
R' D F' R B L U'
B2 U' B' L U' R' B'
B2 U2 B' L F U' B'
B' U2 B2 L F U' B'
B D L R' F' R U'
D' F B L R' F' U'
D' F B R' L F' U'
D' F B R' F' L U'
B D R' L F' R U'
B D R' F' L R U'
B D R' F' R L U'
R' F' R B L U' B'
R' F' U' B L F B'
R' F' U' B L B' F
D' F' B L R' F' U'
D' F' B R' L F' U'
D' F' B R' F' L U'
F' D' B L R' F' U'
F' D' B R' L F' U'
F' D' B R' F' L U'
F2 D' B L R' F' U'
F2 D' B R' L F' U'
F2 D' B R' F' L U'
F D' B L R' F' U'
F D' B R' L F' U'
F D' B R' F' L U'
B D2 L R' F' U' B
B D2 L U' B' R' B
D' F2 B L R' F' U'
D' F2 B R' L F' U'
D' F2 B R' F' L U'
B D2 R' L F' U' B
B D2 R' F' L U' B
D2 B L R' F' U' B
D' B L R' D F' U'
D' B L R' D' F' U'
D' B L R' D2 F' U'
D' B L R' F' U' D
D' B L R' F' U' D'
D' B L R' F' U' D2
D' B L R' F' D U'
D' B L R' F' D' U'
D' B L R' F' D2 U'
D2 B L U' B' R' B
D' B L D R' F' U'
D' B L D' R' F' U'
D' B L D2 R' F' U'
D' B L F R' F' U'
D' B L F' R' F' U'
D' B L F2 R' F' U'
L2 B L U F U2 R
D' B L' R' F' L2 U'
D B L R' F' R U'
L B L R' F' U' B2
L B L U' B' R' B'
D2 B R' L F' U' B
D' B R' L D F' U'
D' B R' L D' F' U'
D' B R' L D2 F' U'
D' B R' L F' U' D
D' B R' L F' U' D'
D' B R' L F' U' D2
D' B R' L F' D U'
D' B R' L F' D' U'
D' B R' L F' D2 U'
D' B R' L' F' L2 U'
D' B R' D L F' U'
D' B R' D F' L U'
D' B R' D' L F' U'
D' B R' D' F' L U'
D' B R' D2 L F' U'
D' B R' D2 F' L U'
D2 B R' F' L U' B
D' B R' F L F2 U'
D' B R' F' L U' D
D' B R' F' L U' D'
D' B R' F' L U' D2
D' B R' F' L D U'
D' B R' F' L D' U'
D' B R' F' L D2 U'
D' B R' F' D L U'
D' B R' F' D' L U'
D' B R' F' D2 L U'
D B R' L F' R U'
L B R' L F' U' B2
D B R' F' L R U'
D B R' F' R L U'
L B R' F' L U' B2
F' B L R' F' U' B'
F' B L U' R B' R'
F' B L U' R' B' R'
F' B L U' R2 B' R'
F' B L U' D B' R'
F' B L U' D' B' R'
F' B L U' D2 B' R'
F' B L U' B' R' D
F' B L U' B' R' D'
F' B L U' B' R' D2
F' B L U' B' D R'
F' B L U' B' D' R'
F' B L U' B' D2 R'
F' B L D U' B' R'
F2 B L R' F' U' B'
F' B L D' U' B' R'
F' B L D2 U' B' R'
F2 B L U' R B' R'
F' B L F U' B' R'
F2 B L U' R' B' R'
F2 B L U' R2 B' R'
F2 B L U' D B' R'
F2 B L U' D' B' R'
F2 B L U' D2 B' R'
F2 B L U' B' R' D
F2 B L U' B' R' D'
F2 B L U' B' R' D2
F2 B L U' B' D R'
F2 B L U' B' D' R'
F2 B L U' B' D2 R'
F' B L F' U' B' R'
F' B L F2 U' B' R'
F2 B L D U' B' R'
F2 B L D' U' B' R'
F2 B L D2 U' B' R'
F2 B L F U' B' R'
F2 B L F' U' B' R'
F2 B L F2 U' B' R'
B F L R' F' U' B'
D' B D L R' F' U'
B F L U' R B' R'
B F L U' R' B' R'
B F L U' R2 B' R'
B F L U' D B' R'
B F L U' D' B' R'
B F L U' D2 B' R'
B F L U' B' R' D
B F L U' B' R' D'
B F L U' B' R' D2
B F L U' B' D R'
B F L U' B' D' R'
B F L U' B' D2 R'
B F L D U' B' R'
D' B D R' L F' U'
D' B D R' F' L U'
B F L D' U' B' R'
B F L D2 U' B' R'
F B L R' F' U' B'
B F L F U' B' R'
B F L F' U' B' R'
B F L F2 U' B' R'
F B L U' R B' R'
F B L U' R' B' R'
F B L U' R2 B' R'
F B L U' D B' R'
F B L U' D' B' R'
F B L U' D2 B' R'
F B L U' B' R' D
F B L U' B' R' D'
F B L U' B' R' D2
F B L U' B' D R'
F B L U' B' D' R'
F B L U' B' D2 R'
F B L D U' B' R'
F B L D' U' B' R'
F B L D2 U' B' R'
F B L F U' B' R'
D' B D' L R' F' U'
F B L F' U' B' R'
F B L F2 U' B' R'
D' B D' R' L F' U'
D' B D' R' F' L U'
D2 B D2 L U' B' R'
D' B D2 L R' F' U'
D' B D2 R' L F' U'
D' B D2 R' F' L U'
D B D' L U' B' R'
F' B R' L F' U' B'
D' B F L R' F' U'
F2 B R' L F' U' B'
D' B F R' L F' U'
D' B F R' F' L U'
F' B R' F' L U' B'
F2 B R' F' L U' B'
D' B F' L R' F' U'
B F R' L F' U' B'
D' B F' R' L F' U'
D' B F' R' F' L U'
F B R' L F' U' B'
B F R' F' L U' B'
D' B F2 L R' F' U'
D' B F2 R' L F' U'
D' B F2 R' F' L U'
F B R' F' L U' B'
B F' L R' F' U' B'
B F' L U' R B' R'
B F' L U' R' B' R'
B F' L U' R2 B' R'
B F' L U' D B' R'
B F' L U' D' B' R'
B F' L U' D2 B' R'
B F' L U' B' R' D
B F' L U' B' R' D'
B F' L U' B' R' D2
B F' L U' B' D R'
B F' L U' B' D' R'
B F' L U' B' D2 R'
B F' L D U' B' R'
B F' L D' U' B' R'
B F' L D2 U' B' R'
B F' L F U' B' R'
B F' L F' U' B' R'
B F' L F2 U' B' R'
B F' R' L F' U' B'
B F' R' F' L U' B'
B F2 L R' F' U' B'
B F2 L U' R B' R'
B F2 L U' R' B' R'
B F2 L U' R2 B' R'
B F2 L U' D B' R'
B F2 L U' D' B' R'
B F2 L U' D2 B' R'
B F2 L U' B' R' D
B F2 L U' B' R' D'
B F2 L U' B' R' D2
B F2 L U' B' D R'
B F2 L U' B' D' R'
B F2 L U' B' D2 R'
B F2 L D U' B' R'
B F2 L D' U' B' R'
B F2 L D2 U' B' R'
B F2 L F U' B' R'
B F2 L F' U' B' R'
B F2 L F2 U' B' R'
B F2 R' L F' U' B'
B F2 R' F' L U' B'
