U' R' F U B' R'
U2 R' F U R B'
U2 R' F U B' R
F R' B U B2 R'
F R' B2 U B R'
U' F R' U B' R'
U2 F R' U R2 B'
U2 F R' U B' R2
R' F B U B2 R'
R' F B2 U B R'
R' B F U B2 R'
B F U B2 R' F'
F B U B2 R' F'
R' B2 F U B R'
B' L R' D L' F L'
B' L R' D F L' F
B' L D L' R' F L'
B' L D L' F L' R'
B' L D L' F R' L'
B' L D R' L' F L'
B' L D R' F L' F
B' L D F L' R' F
B' L D F L' F R'
B' L D F R' L' F
B' L2 R' U B' L U'
R2 U R F B U B2
R2 U R B F U B2
B' L2 B' L U' B R'
F' R D' F2 B' L2 R'
F' R D' F2 B' R' L2
F' R D' B' L2 R' F2
F' R D' B' L2 F2 R'
F' R D' B' R' L2 F2
F' R D' B' R' F2 L2
F' R D' B' F2 L2 R'
F' R D' B' F2 R' L2
U' R F R2 U B' R'
U2 R F R2 U R' B'
B R F U B2 R' F'
U R F B R2 U B2
R2 U' R F U B' R'
F R B R2 U B2 R'
U R B R2 F U B2
U R B F R2 U B2
F' R B' D' L2 R' F2
F' R B' D' L2 F2 R'
F' R B' D' R' L2 F2
F' R B' D' R' F2 L2
F' R B' D' F2 L2 R'
F' R B' D' F2 R' L2
R U' R2 F U B' R'
B' R' L D L' F L'
B' R' L D F L' F
B' R' L2 U B' L U'
R U' F R2 U B' R'
B' R' U L2 B' L U'
F R' U R B' D' R2
F R' U2 F U' R B'
F R' U2 F U' B' R
U' R' D F U B' R'
U2 R' D F U R B'
U2 R' D F U B' R
U' R' D' F U B' R'
F R' D B U B2 R'
F R' D B2 U B R'
U2 R' D' F U R B'
U2 R' D' F U B' R
U' R' D2 F U B' R'
F R' D' B U B2 R'
F R' D' B2 U B R'
U2 R' D2 F U R B'
U2 R' D2 F U B' R
U' R' F U R B' R'
U' R' F U R' B' R'
U' R' F U R2 B' R'
U' R' F U D B' R'
U' R' F U D' B' R'
U' R' F U D2 B' R'
U' R' F U B' R' D
U' R' F U B' R' D'
U' R' F U B' R' D2
U' R' F U B' D R'
U' R' F U B' D' R'
U' R' F U B' D2 R'
U' R' F D U B' R'
F R' D2 B U B2 R'
D2 R' F B U B2 R'
U' R' F D' U B' R'
D' R' F B U B2 R'
U2 R' F U R D B'
U2 R' F U R D' B'
U2 R' F U R D2 B'
U2 R' F U R B' D
U2 R' F U R B' D'
U2 R' F U R B' D2
U2 R' F U R' B' R2
U2 R' F U D R B'
U2 R' F U D B' R
U2 R' F U D' R B'
U2 R' F U D' B' R
U2 R' F U D2 R B'
U2 R' F U D2 B' R
U' R' F D2 U B' R'
U2 R' F U B R B2
U2 R' F U B' R D
U2 R' F U B' R D'
U2 R' F U B' R D2
U2 R' F U B' D R
U2 R' F U B' D' R
U2 R' F U B' D2 R
F R' D2 B2 U B R'
D2 R' F B2 U B R'
D' R' F B2 U B R'
U2 R' F D U R B'
U2 R' F D U B' R
B R' F U B2 R' F'
U2 R' F D' U R B'
U2 R' F D' U B' R
U2 R' F D2 U R B'
U2 R' F D2 U B' R
U2 R' F B U R B2
U2 R' F B U B2 R
U2 R' F B2 U B R
U R' F U D R2 B'
U R' F U D B' R2
D R' F B U B2 R'
U R' F U B' D R2
D R' F B2 U B R'
U R' F U2 F2 U' B'
U R' F D U R2 B'
U R' F D U B' R2
U R' F D2 B2 U B
R2 U2 R F U R B'
R2 U2 R F U B' R
F' R' F2 B U B2 R'
F' R' F2 B2 U B R'
D2 R' B F U B2 R'
D' R' B F U B2 R'
F' R' B F2 U B2 R'
U2 R' B F U R B2
U2 R' B F U B2 R
F R' B U R B2 R'
F R' B U R' B2 R'
F R' B U R2 B2 R'
F R' B U B2 R' D
F R' B U B2 R' D'
F R' B U B2 R' D2
F R' B U B2 D R'
F R' B U B2 D' R'
F R' B U B2 D2 R'
F R' B U' L U2 B2
D R' B F U B2 R'
R U2 R2 F U R B'
R U2 R2 F U B' R
D2 R' B2 F U B R'
D' R' B2 F U B R'
F R' B2 L U B R'
F' R' B2 F2 U B R'
F R' B2 L' U B R'
F R' B2 L2 U B R'
U2 R' B2 F U B R
F R' B2 U B R' D
F R' B2 U B R' D'
F R' B2 U B R' D2
F R' B2 U B D R'
F R' B2 U B D' R'
F R' B2 U B D2 R'
D R' B2 F U B R'
R U2 F R2 U R' B'
B' R2 D' R F' D' L2
B R2 F U B2 R' F'
F R2 B R U B2 R'
F' R2 B' R' D' L2 F2
F' R2 B' R' D' F2 L2
R' D F B U B2 R'
R' D F B2 U B R'
U' D R' F U B' R'
R' D B F U B2 R'
U2 D R' F U R B'
U2 D R' F U B' R
F U R B' D' R2 F2
F U R B' D' F2 R2
U' D F R' U B' R'
R' D B2 F U B R'
U2 D F R' U R2 B'
U2 D F R' U B' R2
B U B2 R' F' D' L2
R' D' F B U B2 R'
R' D' F B2 U B R'
U' D' R' F U B' R'
D' U' R' F U B' R'
D2 U' R' F U B' R'
U2 D' R' F U R B'
U2 D' R' F U B' R
D U' R' F U B' R'
U' D' F R' U B' R'
D' U' F R' U B' R'
D2 U' F R' U B' R'
U2 D' F R' U R2 B'
U2 D' F R' U B' R2
R' D' B F U B2 R'
D U' F R' U B' R'
F' U' R' F2 U B' R'
R' D' B2 F U B R'
F2 U' F' R' U B' R'
F' U' F2 R' U B' R'
U' D2 R' F U B' R'
D' U2 R' F U R B'
D' U2 R' F U B' R
D2 U2 R' F U R B'
D2 U2 R' F U B' R
U2 D2 R' F U R B'
U2 D2 R' F U B' R
D U2 R' F U R B'
D U2 R' F U B' R
U' D2 F R' U B' R'
D' U2 F R' U R2 B'
D' U2 F R' U B' R2
D2 U2 F R' U R2 B'
D2 U2 F R' U B' R2
R' D2 F B U B2 R'
R' D2 F B2 U B R'
U2 D2 F R' U R2 B'
U2 D2 F R' U B' R2
D U2 F R' U R2 B'
D U2 F R' U B' R2
R' D2 B F U B2 R'
R' D2 B2 F U B R'
B U2 F R U B2 R'
U' F R' U R B' R'
U' F R' U R' B' R'
U' F R' U R2 B' R'
U' F R' U D B' R'
U' F R' U D' B' R'
U' F R' U D2 B' R'
U' F R' U B' R' D
U' F R' U B' R' D'
U' F R' U B' R' D2
U' F R' U B' D R'
U' F R' U B' D' R'
U' F R' U B' D2 R'
U' F R' D U B' R'
U' F R' D' U B' R'
U' F R' D2 U B' R'
D' F R' B U B2 R'
D2 F R' B U B2 R'
U2 F R' U R B' R
U2 F R' U R2 D B'
U2 F R' U R2 D' B'
U2 F R' U R2 D2 B'
U2 F R' U R2 B' D
U2 F R' U R2 B' D'
U2 F R' U R2 B' D2
D' F R' B2 U B R'
U2 F R' U B R2 B2
U2 F R' U B' R2 D
U2 F R' U B' R2 D'
U2 F R' U B' R2 D2
D2 F R' B2 U B R'
U2 F R' D B2 U B
U2 F R' B U R2 B2
U2 F R' B U B2 R2
U F R B R2 U B2
U2 F R' B2 U B R2
U F R' U2 F' U' B'
D F R' B U B2 R'
R' F U R B' D' R2
D F R' B2 U B R'
U2 F U R D' F2 B'
U2 F U R D' B' F2
U2 F U R B' D' F2
U2 F U B' D' R F'
R F R2 B U B2 R'
R F R2 B2 U B R'
R' F U2 F U' R B'
R' F U2 F U' B' R
U' F D R' U B' R'
R' F D B U B2 R'
R' F D B2 U B R'
U2 F D R' U R2 B'
U2 F D R' U B' R2
U' F D' R' U B' R'
R' F D' B U B2 R'
R' F D' B2 U B R'
U2 F D' R' U R2 B'
U2 F D' R' U B' R2
U' F D2 R' U B' R'
R' F D2 B U B2 R'
R' F D2 B2 U B R'
U2 F D2 R' U R2 B'
U2 F D2 R' U B' R2
R' F B U R B2 R'
R' F B U R' B2 R'
R' F B U R2 B2 R'
R' F B U B2 R' D
R' F B U B2 R' D'
R' F B U B2 R' D2
R' F B U B2 D R'
R' F B U B2 D' R'
R' F B U B2 D2 R'
R' F B U' L U2 B2
D' F B U B2 R' F'
D2 F B U B2 R' F'
R' F B2 L U B R'
R' F B2 L' U B R'
R' F B2 L2 U B R'
D F B U B2 R' F'
F D R' B U B2 R'
R' F B2 U B R' D
R' F B2 U B R' D'
R' F B2 U B R' D2
R' F B2 U B D R'
R' F B2 U B D' R'
R' F B2 U B D2 R'
F D R' B2 U B R'
R F B R2 U B2 R'
U' F' R' F2 U B' R'
U2 F' R' F2 U R B'
U2 F' R' F2 U B' R
F D B U B2 R' F'
B' D' R F' R2 D' L2
R F' D' F2 B' L2 R'
R F' D' F2 B' R' L2
R F' D' B' L2 R' F2
R F' D' B' L2 F2 R'
R F' D' B' R' L2 F2
R F' D' B' R' F2 L2
R F' D' B' F2 L2 R'
R F' D' B' F2 R' L2
F D' R' B U B2 R'
F D' R' B2 U B R'
R F' B' D' L2 R' F2
R F' B' D' L2 F2 R'
R F' B' D' R' L2 F2
R F' B' D' R' F2 L2
R F' B' D' F2 L2 R'
R F' B' D' F2 R' L2
F D' B U B2 R' F'
F D2 R' B U B2 R'
F D2 R' B2 U B R'
B' D2 F' R' D' L2 F2
B' D2 F' R' D' F2 L2
R2 B R F U B2 R'
F' D2 B2 L U' B R'
F D2 B U B2 R' F'
R B R2 F U B2 R'
B F R U B2 R' F'
R' B F U R B2 R'
R' B F U R' B2 R'
R' B F U R2 B2 R'
R' B F U B2 R' D
R' B F U B2 R' D'
R' B F U B2 R' D2
R' B F U B2 D R'
R' B F U B2 D' R'
R' B F U B2 D2 R'
R' B F U' L U2 B2
D2 B F U B2 R' F'
D' B F U B2 R' F'
F B R U B2 R' F'
B F R' U B2 R' F'
F B R' U B2 R' F'
D B F U B2 R' F'
B F R2 U B2 R' F'
F B R2 U B2 R' F'
R B F R2 U B2 R'
B F U R' F' B2 R'
B F U R' B2 F' R'
B F U F B2 R' F'
B F U F' B2 R' F'
B F U F2 B2 R' F'
F B U R' F' B2 R'
F B U R' B2 F' R'
B F U B2 R' D F'
B F U B2 R' D' F'
B F U B2 R' D2 F'
B F U B2 R' F' D
B F U B2 R' F' D'
B F U B2 R' F' D2
B F U B2 D R' F'
B F U B2 D' R' F'
B F U B2 D2 R' F'
B F U B2 F R' F'
B F U B2 F' R' F'
B F U B2 F2 R' F'
B F U' L U2 F B2
B F U' L U2 B2 F
B2 F U2 L U' B R'
F B U F B2 R' F'
F B U F' B2 R' F'
F B U F2 B2 R' F'
F B U B2 R' D F'
F B U B2 R' D' F'
F B U B2 R' D2 F'
F B U B2 R' F' D
F B U B2 R' F' D'
F B U B2 R' F' D2
F B U B2 D R' F'
F B U B2 D' R' F'
F B U B2 D2 R' F'
F B U B2 F R' F'
F B U B2 F' R' F'
F B U B2 F2 R' F'
F B U' L U2 F B2
F B U' L U2 B2 F
R' B' R' U' R F U
R2 B' R' U' R2 F U
R2 B' R' U' F R2 U
R2 B' R' F' D' L2 F2
R2 B' R' F' D' F2 L2
R B' R' U' R' F U
R B' R' U' F R' U
R2 B' U' R F U R2
B' F' R2 D' L2 R F'
B' F' R2 D' R L2 F'
B' F' R2 D' R F' L2
R B' U' F R2 U R
F' B' R2 D' L2 R F'
F' B' R2 D' R L2 F'
F' B' R2 D' R F' L2
B' F' D' L2 R F' R2
B' F' D' R L2 F' R2
B' F' D' R F' L2 R2
B' F' D' R F' R2 L2
F' B' D' L2 R F' R2
F' B' D' R L2 F' R2
F' B' D' R F' L2 R2
F' B' D' R F' R2 L2
R' B2 L' U B L R'
R' B2 L' U B R' L
R B' F' D' L2 R' F2
R B' F' D' L2 F2 R'
R B' F' D' R' L2 F2
R B' F' D' R' F2 L2
R B' F' D' F2 L2 R'
R B' F' D' F2 R' L2
R' B2 F L U B R'
R' B2 F L' U B R'
R' B2 F L2 U B R'
R' B2 F U B R' D
R' B2 F U B R' D'
R' B2 F U B R' D2
R' B2 F U B D R'
R' B2 F U B D' R'
R' B2 F U B D2 R'
F B2 U2 L U' B R'
