D R U2 F2 B' R'
D R U2 B' R' F2
D R U2 B' F2 R'
R U2 D F2 B' R'
R U2 D B' R' F2
R U2 D B' F2 R'
R U2 B' R' D F2
R U2 B' D R' F2
R U2 B' D F2 R'
R D U2 F2 B' R'
R D U2 B' R' F2
R D U2 B' F2 R'
U2 D F2 B' L' R'
U2 D F2 B' R' L'
U2 D B' F2 L' R'
U2 D B' F2 R' L'
D U2 F2 B' L' R'
D U2 F2 B' R' L'
D U2 B' F2 L' R'
D U2 B' F2 R' L'
D F R F B' L'
D F R B' F L'
D F B' R F L'
B' D F R F L'
U2 B' D F2 L' R'
U2 B' D F2 R' L'
D B' F R F L'
D L F R F L' B'
D' L2 R F B2 U2 R
D L2 R F U2 R F
D' L2 R B2 F U2 R
U' L2 U R F U2 R
F2 L2 U F L' U2 L2
D L2 F U2 R F L'
D' L2 B2 R F U2 R
R U D2 R2 U B' R'
D' R L2 F B2 U2 R
D' R L2 B2 F U2 R
D R L2 F U2 R F
D2 R U R U B' R'
D' R U2 D2 F2 B' R'
D' R U2 D2 B' R' F2
D' R U2 D2 B' F2 R'
D R U2 R F2 B' R'
D R U2 R B' R' F2
D R U2 R B' F2 R'
D R U2 R' F2 B' R'
D R U2 R' B' R' F2
D R U2 R' B' F2 R'
D2 R U2 B' R' D' F2
D R U2 R2 F2 B' R'
D R U2 R2 B' R' F2
D R U2 R2 B' F2 R'
D R U2 F B' R' F
D R U2 F2 R B' R'
D R U2 F2 R' B' R'
D R U2 F2 R2 B' R'
D R U2 F2 D B' R'
D R U2 F2 D' B' R'
D R U2 F2 D2 B' R'
D R U2 F2 B' R' D
D R U2 F2 B' R' D'
D R U2 F2 B' R' D2
D R U2 F2 B' D R'
D R U2 F2 B' D' R'
D R U2 F2 B' D2 R'
D R U2 B' R F2 R2
D R U2 B' R' F2 D
D R U2 B' R' F2 D'
D R U2 B' R' F2 D2
D R U2 B' F R' F
D R U2 B' F2 R' D
D R U2 B' F2 R' D'
D R U2 B' F2 R' D2
D R U2 B' F2 D R'
D R U2 B' F2 D' R'
D R U2 B' F2 D2 R'
U2 R D B' R' F2 L'
F R D F2 D B' L
U2 R D' B2 U2 B R'
D' R D2 U2 F2 B' R'
D' R D2 U2 B' R' F2
D' R D2 U2 B' F2 R'
F R D2 B' L D' F2
F R D2 B' D' L F2
F R D2 B' D' F2 L
D' R F B2 U2 B R
D R F U2 R F B'
D R F U2 R B' F
D R F U2 B' R F
F R F D B' L' F2
R U' L2 U F U2 R
F R F B' D L' F2
D' R F' B2 L' U2 B
F R F' D F2 B' L'
F R F' D B' F2 L'
F R F' B' D F2 L'
U2 R B' R' D F2 L'
U2 R B' D R' F2 L'
D' R B2 U2 B' R' B2
F R B' F D L' F2
F R B' F' D F2 L'
D' R B2 F U2 B R
D' R B2 F' L' U2 B
B' R' F R D F2 L'
D R' D2 B' L2 F R
R U2 R D F2 B' R'
R U2 R D B' R' F2
R U2 R D B' F2 R'
R U2 R B' R' D F2
R U2 R B' D R' F2
R U2 R B' D F2 R'
R U2 R' D F2 B' R'
R U2 R' D B' R' F2
R U2 R' D B' F2 R'
R U2 R' B' R' D F2
R U2 R' B' D R' F2
R U2 R' B' D F2 R'
D' R' B' D2 L2 F R
R U2 R2 D F2 B' R'
R U2 R2 D B' R' F2
R U2 R2 D B' F2 R'
D' R' B2 R2 F' L' U2
R U2 R2 B' R' D F2
R U2 R2 B' D R' F2
R U2 R2 B' D F2 R'
R U2 D R F2 B' R'
R U2 D R B' R' F2
R U2 D R B' F2 R'
R U2 D R' F2 B' R'
R U2 D R' B' R' F2
R U2 D R' B' F2 R'
R U2 D R2 F2 B' R'
R U2 D R2 B' R' F2
R U2 D R2 B' F2 R'
R U2 D F B' R' F
R U2 D F2 R B' R'
R U2 D F2 R' B' R'
R U2 D F2 R2 B' R'
R U2 D F2 D B' R'
R U2 D F2 D' B' R'
R U2 D F2 D2 B' R'
R U2 D F2 B' R' D
R U2 D F2 B' R' D'
R U2 D F2 B' R' D2
R U2 D F2 B' D R'
R U2 D F2 B' D' R'
R U2 D F2 B' D2 R'
R U2 D B' R F2 R2
R U2 D B' R' F2 D
R U2 D B' R' F2 D'
R U2 D B' R' F2 D2
R U2 D B' F R' F
R U2 D B' F2 R' D
R U2 D B' F2 R' D'
R U2 D B' F2 R' D2
R U2 D B' F2 D R'
R U2 D B' F2 D' R'
R U2 D B' F2 D2 R'
R U2 D2 B' D' R' F2
R U2 D2 B' D' F2 R'
R U2 F D F2 B' R'
R U2 F D B' R' F2
R U2 F D B' F2 R'
R U2 F B' R' D F2
R U2 F B' D R' F2
R U2 F B' D F2 R'
R U2 F' D F2 B' R'
R U2 F' D B' R' F2
R U2 F' D B' F2 R'
R U2 F' B' R' D F2
R U2 F' B' D R' F2
R U2 F' B' D F2 R'
R U2 F2 D F2 B' R'
R U2 F2 D B' R' F2
R U2 F2 D B' F2 R'
R U2 F2 B' R' D F2
R U2 F2 B' D R' F2
R U2 F2 B' D F2 R'
R U2 B' R' U L2 U'
R U2 B' R' D F2 D
R U2 B' R' D F2 D'
R U2 B' R' D F2 D2
R U2 B' R' F D F2
R U2 B' R' F' D F2
R U2 B' R' F2 D F2
R U2 B' R2 D R F2
R U2 B' U L2 U' R'
R U2 B' D R F2 R2
R U2 B' D R' F2 D
R U2 B' D R' F2 D'
R U2 B' D R' F2 D2
R U2 B' D F R' F
R U2 B' D F2 R' D
R U2 B' D F2 R' D'
R U2 B' D F2 R' D2
R U2 B' D F2 D R'
R U2 B' D F2 D' R'
R U2 B' D F2 D2 R'
R U2 B' D' R' D2 F2
R U2 B' F R' D F2
R U2 B' F D R' F2
R U2 B' F D F2 R'
R U2 B' F' R' D F2
R U2 B' F' D R' F2
R U2 B' F' D F2 R'
R U2 B' F2 R' D F2
R U2 B' F2 D R' F2
R U2 B' F2 D F2 R'
R D L2 F U2 R F
R2 D R' U2 F2 B' R'
R2 D R' U2 B' R' F2
R2 D R' U2 B' F2 R'
U2 D L F2 L' B' R'
R D U2 R F2 B' R'
R D U2 R B' R' F2
R D U2 R B' F2 R'
R D U2 R' F2 B' R'
R D U2 R' B' R' F2
R D U2 R' B' F2 R'
R D U2 R2 F2 B' R'
R D U2 R2 B' R' F2
R D U2 R2 B' F2 R'
R D U2 F B' R' F
R D U2 F2 R B' R'
R D U2 F2 R' B' R'
R D U2 F2 R2 B' R'
R D U2 F2 D B' R'
R D U2 F2 D' B' R'
R D U2 F2 D2 B' R'
R D U2 F2 B' R' D
R D U2 F2 B' R' D'
R D U2 F2 B' R' D2
R D U2 F2 B' D R'
R D U2 F2 B' D' R'
R D U2 F2 B' D2 R'
R D U2 B' R F2 R2
R D U2 B' R' F2 D
R D U2 B' R' F2 D'
R D U2 B' R' F2 D2
R D U2 B' F R' F
R D U2 B' F2 R' D
R D U2 B' F2 R' D'
R D U2 B' F2 R' D2
R D U2 B' F2 D R'
R D U2 B' F2 D' R'
R D U2 B' F2 D2 R'
R D F U2 R F B'
R D F U2 R B' F
R D F U2 B' R F
U2 D R B' R' F2 L'
U2 D F B' R' F L'
U2 D F2 R B' L' R'
U2 D F2 R B' R' L'
U2 D F2 R' B' L' R'
U2 D F2 R' B' R' L'
U2 D F2 R2 B' L' R'
U2 D F2 R2 B' R' L'
U2 D F2 D B' L' R'
U2 D F2 D B' R' L'
U2 D F2 D' B' L' R'
U2 D F2 D' B' R' L'
U2 D F2 D2 B' L' R'
U2 D F2 D2 B' R' L'
U2 D F2 B' L' R' D
U2 D F2 B' L' R' D'
U2 D F2 B' L' R' D2
U2 D F2 B' L' D R'
U2 D F2 B' L' D' R'
U2 D F2 B' L' D2 R'
U2 D F2 B' R' L' D
U2 D F2 B' R' L' D'
U2 D F2 B' R' L' D2
U2 D F2 B' R' D L'
U2 D F2 B' R' D' L'
U2 D F2 B' R' D2 L'
U2 D F2 B' D L' R'
U2 D F2 B' D R' L'
U2 D F2 B' D' L' R'
U2 D F2 B' D' R' L'
U2 D F2 B' D2 L' R'
U2 D F2 B' D2 R' L'
U2 D F2 B2 L' B R'
U2 D B' L F2 L' R'
U2 D B' L F2 R' L'
U2 D B' L' F2 L' R'
U2 D B' L' F2 R' L'
U2 D B' L2 F2 L' R'
U2 D B' L2 F2 R' L'
U2 D B' R' F2 D2 L2
R D' L2 F B2 U2 R
U2 D B' F R' F L'
U2 D B' F2 L' R' D
U2 D B' F2 L' R' D'
U2 D B' F2 L' R' D2
U2 D B' F2 L' D R'
U2 D B' F2 L' D' R'
U2 D B' F2 L' D2 R'
U2 D B' F2 R' L' D
U2 D B' F2 R' L' D'
U2 D B' F2 R' L' D2
U2 D B' F2 R' D L'
U2 D B' F2 R' D' L'
U2 D B' F2 R' D2 L'
U2 D B' F2 D L' R'
U2 D B' F2 D R' L'
U2 D B' F2 D' L' R'
U2 D B' F2 D' R' L'
U2 D B' F2 D2 L' R'
U2 D B' F2 D2 R' L'
R D' L2 B2 F U2 R
U2 D B2 F2 L' B R'
U2 D' R B2 U2 B R'
R D' F B2 U2 B R
R D' F' B2 L' U2 B
R' D' B' D' L2 F R
R D' B2 U2 B' R' B2
U2 D' B' R' D2 L2 F
R D' B2 F U2 B R
R D' B2 F' L' U2 B
D U2 L F2 L' B' R'
D' U2 R B2 U2 B R'
D U2 R B' R' F2 L'
R D2 U R2 U B' R'
R D2 U2 B' D' R' F2
R D2 U2 B' D' F2 R'
D U2 F B' R' F L'
D U2 F2 R B' L' R'
D U2 F2 R B' R' L'
D U2 F2 R' B' L' R'
D U2 F2 R' B' R' L'
D U2 F2 R2 B' L' R'
D U2 F2 R2 B' R' L'
D U2 F2 D B' L' R'
D U2 F2 D B' R' L'
D U2 F2 D' B' L' R'
D U2 F2 D' B' R' L'
D U2 F2 D2 B' L' R'
D U2 F2 D2 B' R' L'
D U2 F2 B' L' R' D
D U2 F2 B' L' R' D'
D U2 F2 B' L' R' D2
D U2 F2 B' L' D R'
D U2 F2 B' L' D' R'
D U2 F2 B' L' D2 R'
D U2 F2 B' R' L' D
D U2 F2 B' R' L' D'
D U2 F2 B' R' L' D2
D U2 F2 B' R' D L'
D U2 F2 B' R' D' L'
D U2 F2 B' R' D2 L'
D U2 F2 B' D L' R'
D U2 F2 B' D R' L'
D U2 F2 B' D' L' R'
D U2 F2 B' D' R' L'
D U2 F2 B' D2 L' R'
D U2 F2 B' D2 R' L'
D U2 F2 B2 L' B R'
D' U2 B' R' D2 L2 F
D2 U2 B' D' F2 L' R'
D2 U2 B' D' F2 R' L'
D U2 B' L F2 L' R'
D U2 B' L F2 R' L'
D U2 B' L' F2 L' R'
D U2 B' L' F2 R' L'
U2 D2 B' D' F2 L' R'
U2 D2 B' D' F2 R' L'
D U2 B' L2 F2 L' R'
D U2 B' L2 F2 R' L'
D U2 B' R' F2 D2 L2
D U2 B' F R' F L'
D U2 B' F2 L' R' D
D U2 B' F2 L' R' D'
D U2 B' F2 L' R' D2
D U2 B' F2 L' D R'
D U2 B' F2 L' D' R'
D U2 B' F2 L' D2 R'
D U2 B' F2 R' L' D
D U2 B' F2 R' L' D'
D U2 B' F2 R' L' D2
D U2 B' F2 R' D L'
D U2 B' F2 R' D' L'
D U2 B' F2 R' D2 L'
D U2 B' F2 D L' R'
D U2 B' F2 D R' L'
D U2 B' F2 D' L' R'
D U2 B' F2 D' R' L'
D U2 B' F2 D2 L' R'
D U2 B' F2 D2 R' L'
D U2 B2 F2 L' B R'
R' F R D F2 B' L'
R' F R D B' F2 L'
D' F R D2 F2 B' L
D' F R D2 B' L F2
D' F R D2 B' F2 L
R' F R B' D F2 L'
D' F R B' L2 F L'
D F R D2 F B' L
D F R D2 B' F L
D F R F D B' L'
D F R F D' B' L'
D F R F D2 B' L'
D F R F B L' B2
D F R F B' L' D
D F R F B' L' D'
D F R F B' L' D2
D F R F B' D L'
D F R F B' D' L'
D F R F B' D2 L'
D F R F B2 L' B
D F R B F L' B2
D F R B' F L' D
D F R B' F L' D'
D F R B' F L' D2
D F R B' F D L'
D F R B' F D' L'
D F R B' F D2 L'
D F R B2 F L' B
D F R' F R2 B' L'
D F R' F B' L' R2
D F R' F B' R2 L'
D F R' B' R2 F L'
D F R' B' F L' R2
D F R' B' F R2 L'
D F R2 F R' B' L'
D F U R F B' L'
D F U R B' F L'
B' D L F R F L'
D F U B' R F L'
D F U' R F B' L'
D F U' R B' F L'
B' D L' F R F L'
D F U' B' R F L'
D F U2 R F B' L'
D F U2 R B' F L'
B' D L2 F R F L'
D F U2 B' R F L'
R F U2 R D F2 B'
R F U2 R D B' F2
R F U2 R B' D F2
R F U2 D R F2 B'
R F U2 D R B' F2
R F U2 D B' R F2
R F U2 B' R D F2
R F U2 B' D R F2
D' F D2 R F2 B' L
D' F D2 R B' L F2
D' F D2 R B' F2 L
R F D U2 R F2 B'
R F D U2 R B' F2
R F D U2 B' R F2
D' F D2 B' L R F2
D' F D2 B' R L F2
D' F D2 B' R F2 L
D F D2 R F B' L
D F D2 R B' F L
D' F B' L2 R F L'
R' F B' R D F2 L'
D' F B' R L2 F L'
R F D' B2 U2 B R
D F D2 B' R F L
D F B R F L' B2
D F B R F B2 L'
D F B R B2 F L'
D F B' R F L' D
D F B' R F L' D'
D F B' R F L' D2
D F B' R F D L'
D F B' R F D' L'
D F B' R F D2 L'
D F B' R' F L' R2
D F B' R' F R2 L'
D F B' R2 F L' R'
D F B' R2 F R' L'
B' D F R F L' D
B' D F R F L' D'
B' D F R F L' D2
B' D F R F D L'
B' D F R F D' L'
B' D F R F D2 L'
B' D F R' F L' R2
B' D F R' F R2 L'
B' D F R2 F L' R'
B' D F R2 F R' L'
B2 D F B R F L'
B' D F2 L' F' R F
F' D F' B' L' F' R
F' D F2 R D2 B' L
B2 D F2 L' D2 B R'
F' D F2 D2 R B' L
F' D F2 D2 B' L R
F' D F2 D2 B' R L
B2 D F2 D2 L' B R'
B2 D F2 D2 B L' R'
B2 D F2 D2 B R' L'
B2 D B F R F L'
F' D B' F' L' F' R
R F' U2 D F2 R B'
R F' U2 D F2 B' R
R F' U2 D B' F2 R
R F' U2 B' D F2 R
R F' D U2 F2 R B'
R F' D U2 F2 B' R
R F' D U2 B' F2 R
R F' D' B2 L' U2 B
D' F' B2 L' U2 B L
D F2 L' D2 R' B R'
D F2 L' D2 B R' B
F' D' B2 L' U2 B L
B2 D' B2 R U2 B' R'
U2 F2 D B' L' R' F2
U2 F2 D B' L' F2 R'
U2 F2 D B' R' L' F2
D F2 D2 B L' R' B2
D F2 D2 B R' L' B2
D F2 D2 B R' B2 L'
D F2 D2 B' L' D2 R2
U2 F2 B' R' D L' F2
U2 F2 B' D L' R' F2
U2 F2 B' D L' F2 R'
U2 F2 B' D R' L' F2
D F2 B' L' F' R F
F D2 R2 U R' B' L
D F2 B2 L' D2 B R'
D F2 B2 D2 L' B R'
D F2 B2 D2 B L' R'
D F2 B2 D2 B R' L'
F D2 B' L D' R F2
F D2 B' D' L R F2
F D2 B' D' R L F2
F D2 B' D' R F2 L
B' F R F D L' F2
B' F R F' D F2 L'
D B F R F L' B2
D B F R F B2 L'
D B F R B2 F L'
D B' L F R F L'
D' B' L2 F2 L' F' R
D B' L' F R F L'
D B' L2 F R F L'
D' B' R' D2 L2 F R
U2 B' R' D F2 D L2
U2 B' R' D2 L2 D' F2
F2 B' L' F' D R F'
D' B' U2 R B' U2 R'
D' B' U2 B' R U2 R2
U2 B' D L F2 L' R'
U2 B' D L F2 R' L'
U2 B' D L' F2 L' R'
U2 B' D L' F2 R' L'
U2 B' D L2 F2 L' R'
U2 B' D L2 F2 R' L'
U2 B' D R' F2 D2 L2
U2 B' D F R' F L'
D2 B' D' F R F L'
U2 B' D F2 L' R' D
U2 B' D F2 L' R' D'
U2 B' D F2 L' R' D2
U2 B' D F2 L' D R'
U2 B' D F2 L' D' R'
U2 B' D F2 L' D2 R'
U2 B' D F2 R' L' D
U2 B' D F2 R' L' D'
U2 B' D F2 R' L' D2
U2 B' D F2 R' D L'
U2 B' D F2 R' D' L'
U2 B' D F2 R' D2 L'
U2 B' D F2 R' D2 L'
U2 B' D F2 D L' R'
U2 B' D F2 D R' L'
U2 B' D F2 D' L' R'
U2 B' D F2 D' R' L'
U2 B' D F2 D2 L' R'
U2 B' D F2 D2 R' L'
F B' R F D L' F2
F B' R F' D F2 L'
U2 B' D' R' D2 L2 F2
U2 B' D' R' D2 F2 L2
R' B' F R D F2 L'
D' B' F L2 R F L'
D' B' F R L2 F L'
D B' F R F L' D
D B' F R F L' D'
D B' F R F L' D2
D B' F R F D L'
D B' F R F D' L'
D B' F R F D2 L'
D B' F R' F L' R2
D B' F R' F R2 L'
D B' F R2 F L' R'
D B' F R2 F R' L'
B' F' D F' L' F' R
U2 B' F2 R' D L' F2
F' B' D F' L' F' R
U2 B' F2 D L' R' F2
U2 B' F2 D L' F2 R'
U2 B' F2 D R' L' F2
D B' F2 L' F' R F
D' B2 R U2 B' R' B
B' F2 L' F' D R F'
D' B2 R2 F' L' R' U2
D' B2 R2 F' R' L' U2
D' B2 F' L' U2 B L
R B2 D' B2 U2 B' R'
D B2 F2 L' D2 B R'
D B2 F2 D2 L' B R'
D B2 F2 D2 B L' R'
D B2 F2 D2 B R' L'
