U2 L' U' B' R'
U2 L' R' F' U' B'
U2 L' U' R B' R'
U2 L' U' R' B' R'
U2 L' U' R2 B' R'
U2 L' U' D B' R'
U2 L' U' D' B' R'
U2 L' U' D2 B' R'
U2 L' U' B' R' D
U2 L' U' B' R' D'
U2 L' U' B' R' D2
U2 L' U' B' D R'
U2 L' U' B' D' R'
U2 L' U' B' D2 R'
U2 L' D U' B' R'
U2 L' D' U' B' R'
U2 L' D2 U' B' R'
U2 L' F U' B' R'
U2 L' F' U' B' R'
U2 L' F2 U' B' R'
U2 R' L' F' U' B'
U2 D L' U' B' R'
U2 D' L' U' B' R'
D2 U2 L' U' B' R'
U2 D2 L' U' B' R'
D' U2 L' U' B' R'
D U2 L' U' B' R'
B2 U2 L' U' B' R'
B' U2 L' U' B' R'
B U2 L' U' B' R'
L R U2 F L2 U' B
R L U2 F L2 U' B
L' R B' U B2 D2 F2
U2 L' R U' B' D' R2
U2 L' R U2 B U B2
F2 L' R F2 B' U B2
F2 L' R B' F2 U B2
U2 L' R' D F' U' B'
U2 L' R' D' F' U' B'
U2 L' R' D2 F' U' B'
U2 L' R' F' R U' B'
U2 L' R' F' R' U' B'
U2 L' R' F' R2 U' B'
U2 L' R' F' U' D B'
U2 L' R' F' U' D' B'
U2 L' R' F' U' D2 B'
U2 L' R' F' U' B' D
U2 L' R' F' U' B' D'
U2 L' R' F' U' B' D2
U2 L' R' F' D U' B'
U2 L' R' F' D' U' B'
U2 L' R' F' D2 U' B'
U2 L' U L2 F U2 R
U2 L' U F U2 R B'
U2 L' U F U2 B' R
U2 L' U' R D B' R'
U2 L' U' R D' B' R'
U2 L' U' R D2 B' R'
U2 L' U' R B' R' D
U2 L' U' R B' R' D'
U2 L' U' R B' R' D2
U2 L' U' R B' D R'
U2 L' U' R B' D' R'
U2 L' U' R B' D2 R'
U2 L' U' R' D B' R'
U2 L' U' R' D' B' R'
U2 L' U' R' D2 B' R'
U2 L' U' R' B' R' D
U2 L' U' R' B' R' D'
U2 L' U' R' B' R' D2
U2 L' U' R' B' D R'
U2 L' U' R' B' D' R'
U2 L' U' R' B' D2 R'
U2 L' U' R2 D B' R'
U2 L' U' R2 D' B' R'
U2 L' U' R2 D2 B' R'
U2 L' U' R2 B' R' D
U2 L' U' R2 B' R' D'
U2 L' U' R2 B' R' D2
U2 L' U' R2 B' D R'
U2 L' U' R2 B' D' R'
U2 L' U' R2 B' D2 R'
U2 L' U' D R B' R'
U2 L' U' D R' B' R'
U2 L' U' D R2 B' R'
U2 L' U' D B' R' D
U2 L' U' D B' R' D'
U2 L' U' D B' R' D2
U2 L' U' D B' D R'
U2 L' U' D B' D' R'
U2 L' U' D B' D2 R'
U2 L' U' D' R B' R'
U2 L' U' D' R' B' R'
U2 L' U' D' R2 B' R'
U2 L' U' D' B' R' D
U2 L' U' D' B' R' D'
U2 L' U' D' B' R' D2
U2 L' U' D' B' D R'
U2 L' U' D' B' D' R'
U2 L' U' D' B' D2 R'
U2 L' U' D2 R B' R'
U2 L' U' D2 R' B' R'
U2 L' U' D2 R2 B' R'
U2 L' U' D2 B' R' D
U2 L' U' D2 B' R' D'
U2 L' U' D2 B' R' D2
U2 L' U' D2 B' D R'
U2 L' U' D2 B' D' R'
U2 L' U' D2 B' D2 R'
U2 L' U' F' B' R' F
U2 L' U' F2 B' R' F2
U2 L' U' B R B2 R'
U2 L' U' B R' B2 R'
U2 L' U' B R2 B2 R'
U2 L' U' B' R2 D R
U2 L' U' B' R2 D' R
U2 L' U' B' R2 D2 R
U2 L' U' B' D R' D
U2 L' U' B' D R' D'
U2 L' U' B' D R' D2
U2 L' U' B' D' R' D
U2 L' U' B' D' R' D'
U2 L' U' B' D' R' D2
U2 L' U' B' D2 R' D
U2 L' U' B' D2 R' D'
U2 L' U' B' D2 R' D2
U2 L' U' B' F' R' F
U2 L' U' B' F2 R' F2
U2 L' D R' F' U' B'
U2 L' D U' R B' R'
U2 L' D U' R' B' R'
U2 L' D U' R2 B' R'
U2 L' D U' B' R' D
U2 L' D U' B' R' D'
U2 L' D U' B' R' D2
U2 L' D U' B' D R'
U2 L' D U' B' D' R'
U2 L' D U' B' D2 R'
U2 L' D F U' B' R'
U2 L' D F' U' B' R'
U2 L' D F2 U' B' R'
U2 L' D' R' F' U' B'
U2 L' D' U' R B' R'
U2 L' D' U' R' B' R'
U2 L' D' U' R2 B' R'
U2 L' D' U' B' R' D
U2 L' D' U' B' R' D'
U2 L' D' U' B' R' D2
U2 L' D' U' B' D R'
U2 L' D' U' B' D' R'
U2 L' D' U' B' D2 R'
U2 L' D' F U' B' R'
U2 L' D' F' U' B' R'
U2 L' D' F2 U' B' R'
R' L' B' U' F' U2 F
L' R' B' U' F' U2 F
U2 L' D2 R' F' U' B'
U2 L' D2 U' R B' R'
U2 L' D2 U' R' B' R'
