L' R U' L U' R'
L R U' L' U' R'
L2 R U' L2 U' R'
R L U' L' U' R'
L2 R U2 R' D F2
L2 R U2 D R' F2
L2 R U2 D F2 R'
L2 R D U2 R' F2
L2 R D U2 F2 R'
L2 R D' B2 L U2
R L' U' L U' R'
R L2 U' L2 U' R'
R L2 U2 R' D F2
R L2 U2 D R' F2
R L2 U2 D F2 R'
R L2 D U2 R' F2
R L2 D U2 F2 R'
R L2 D' B2 L U2
R U' F U' F' R'
R U' F' U' R' F
R U' F' U' F R'
R U' F2 U' R' F2
R U' F2 U' F2 R'
R U2 R' U' R U
R2 U2 R2 D' F2 L'
R U2 R2 D' R F2
L2 D R U2 R' F2
L2 D R U2 F2 R'
L2 D F2 L' D2 B2
L2 D F2 D2 L' B2
L2 D F2 D2 B2 L'
L2 D' R B2 L U2
L2 D' B2 R U2 R'
F2 D R2 U' L' R2
F2 D R2 U' R2 L'
R B2 L U' L' U'
B' L R U' L' U' R'
D2 L R U' L' U' R'
D' L R U' L' U' R'
B2 L R U' L' U' R'
D L R U' L' U' R'
B L R U' L' U' R'
L2 R U D2 R2 U R
L' R U' L U' R' D
L' R U' L U' R' D'
L' R U' L U' R' D2
L' R U' L U' D R'
L' R U' L U' D' R'
L' R U' L U' D2 R'
L' R U' L D U' R'
L' R U' L D' U' R'
L' R U' L D2 U' R'
L' R U' L F U' R'
L' R U' L F' U' R'
L' R U' L F2 U' R'
L R U' L' U' R' D
L R U' L' U' R' D'
L R U' L' U' R' D2
L R U' L' U' D R'
L R U' L' U' D' R'
L R U' L' U' D2 R'
L R U' L' D U' R'
L R U' L' D' U' R'
L R U' L' D2 U' R'
L R U' L' F U' R'
L R U' L' F' U' R'
L R U' L' F2 U' R'
L2 R U' L2 U' R' D
L2 R U' L2 U' R' D'
L2 R U' L2 U' R' D2
L2 R U' L2 U' D R'
L2 R U' L2 U' D' R'
L2 R U' L2 U' D2 R'
L2 R U' L2 D U' R'
L2 R U' L2 D' U' R'
L2 R U' L2 D2 U' R'
L2 R U' L2 F U' R'
L' R U' D L U' R'
L2 R U' L2 F' U' R'
L2 R U' L2 F2 U' R'
L' R U' D' L U' R'
R L U' L' U' R' D
R L U' L' U' R' D'
R L U' L' U' R' D2
R L U' L' U' D R'
R L U' L' U' D' R'
R L U' L' U' D2 R'
R L U' L' D U' R'
L' R U' D2 L U' R'
R L U' L' D' U' R'
R L U' L' D2 U' R'
R L U' L' F U' R'
R L U' L' F' U' R'
R L U' L' F2 U' R'
L' R U' F L U' R'
L' R U' F' L U' R'
L R U' D L' U' R'
L R U' D' L' U' R'
L' R U' F2 L U' R'
L R U' D2 L' U' R'
L2 R U' F L2 U' R'
R L U' D L' U' R'
L R U' F U' R' F'
L2 R U' F' L2 U' R'
R L U' D' L' U' R'
L2 R U' F2 L2 U' R'
R L U' D2 L' U' R'
R L U' F U' R' F'
L' R U2 R' U L U'
L2 R U2 R' U L2 U'
L2 R U2 R' D F2 D
L2 R U2 R' D F2 D'
L2 R U2 R' D F2 D2
L R U2 R' U L' U'
L2 R U2 R' F D F2
L2 R U2 R' F' D F2
L2 R U2 R' F2 D F2
L2 R U2 R2 D R F2
L2 R U2 D R F2 R2
L2 R U2 D R' F2 D
L2 R U2 D R' F2 D'
L2 R U2 D R' F2 D2
L2 R U2 D F R' F
L2 R U2 D F2 R' D
L2 R U2 D F2 R' D'
L2 R U2 D F2 R' D2
L2 R U2 D F2 D R'
L2 R U2 D F2 D' R'
L2 R U2 D F2 D2 R'
L2 R U2 D' R' D2 F2
R L U2 R' U L' U'
L2 R U2 F R' D F2
L2 R U2 F D R' F2
L2 R U2 F D F2 R'
L2 R U2 F' R' D F2
L2 R U2 F' D R' F2
L2 R U2 F' D F2 R'
L2 R U2 F2 R' D F2
L R U2 F2 R' D' F2
L2 R U2 F2 D R' F2
L2 R U2 F2 D F2 R'
R L U2 F2 R' D' F2
L2 R D L U2 R' F2
L2 R D L U2 F2 R'
L2 R D L' U2 R' F2
L2 R D L' U2 F2 R'
L2 R D L2 U2 R' F2
L2 R D L2 U2 F2 R'
L' R D U' L U' R'
L R D U' L' U' R'
L2 R D U2 R F2 R2
L2 R D U2 R' F2 D
L2 R D U2 R' F2 D'
L2 R D U2 R' F2 D2
L2 R D U2 F R' F
L2 R D U2 F2 R' D
L2 R D U2 F2 R' D'
L2 R D U2 F2 R' D2
L2 R D U2 F2 D R'
L2 R D U2 F2 D' R'
L2 R D U2 F2 D2 R'
R L D U' L' U' R'
L2 R D B2 L U2 F2
L2 R D' L B2 L U2
L2 R D' L' B2 L U2
L2 R D' L2 B2 L U2
L' R D' U' L U' R'
L R D' U' L' U' R'
