F' D' F' R U' F'
B' L R' F2 U' B L
B' L D B R' U' R'
F' L D' F' R U' F'
B' L F2 R' U' B L
B' L F2 D B R' U'
B' L F2 B R' U' B
B' L B R' F2 U' B
B' L B F2 R' U' B
F' L' D' F' R U' F'
D' L' F' R U' F' R
D' L' F2 U' R F' B
D' L' F2 U' R B F'
F' L2 D' F' R U' F'
B' R' L F2 U' B L
B R' U B D L2 R2
B R' U B D R2 L2
F2 R' U' B U' R' U
B R' U2 F2 B' U' B2
F2 R' D L' U' F B
F2 R' D L' U' B F
B R' U2 B' F2 U' B2
F R' D2 F L' U' B
B' R' F2 L U' B L
F2 R' B' L B U' B
F2 R2 D' R U' F' B
F2 R2 D' R U' B F'
R' D L' U' F B R2
R' D L' U' B R2 F
R' D L' U' B F R2
R D L' U' R2 F B
R D L' U' R2 B F
F2 U B U R' U B
F2 U' R' D' B R F'
F2 U' R' B R D' F2
F2 U' B U' R' U B
F2 U2 B R' B' U B2
B' D L B R' U' R'
R' F D2 F L' U' B
R F D2 F L' U' B2
D' F' R U L2 U2 F'
D' F' R U' D2 F' R2
D' F' R U' F' D2 R2
D' F' R D F2 U' F
D' F' R D2 U' F' R2
F' D' L F' R U' F'
F' D' L' F' R U' F'
F' D' L2 F' R U' F'
L' F' D' F' R U' F'
L2 F' D' F' R U' F'
L F' D' F' R U' F'
F' D' F' L R U' F'
F' D' F' L' R U' F'
F' D' F' L2 R U' F'
F' D' F' R L U' F'
F' D' F' R L' U' F'
F' D' F' R L2 U' F'
F' D' F' R U' D F'
F' D' F' R U' D' F'
F' D' F' R U' D2 F'
F' D' F' R U' F' D
F' D' F' R U' F' D'
F' D' F' R U' F' D2
F' D' F' R D U' F'
F' D' F' R D' U' F'
F' D' F' R D2 U' F'
F2 D' F' R F U' F2
F D' F' R F2 U' F
R' F2 U' B U' R' U
R' F2 D L' U' F B
R' F2 D L' U' B F
R2 F2 D' R U' F' B
R2 F2 D' R U' B F'
R' F2 B' L B U' B
F D2 F L' U F U2
U2 B R' U D B R2
U2 B R' U B D R2
U2 B R' U2 F2 U' B
U2 B R' D U B R2
U2 B R' D2 B2 U B'
R' B' L F2 B U' B
R' B' L B F2 U' B
F2 B' L R' U' B L
F2 B' L D B R' U'
F2 B' L B R' U' B
F2 B' R' L U' B L
R' B' F2 L B U' B
F2 B' D L B R' U'
F2 B' D2 L B U' B2
B' F2 L R' U' B L
B' F2 L D B R' U'
B' F2 L B R' U' B
B' F2 R' L U' B L
B' F2 D L B R' U'
B' F2 D2 L B U' B2
