U L F U R F2 U
F' L' R U D2 R2 F'
F' L' R U' L2 B U2
F' L' R U' B L2 U2
F' L' R D2 U R2 F'
F' L' R' U D2 F' R2
F' L' R' U F' D2 R2
F' L' R' U' L2 U2 F'
F' L' R' D' B2 U F'
F' L' R' D2 U F' R2
F' L' D' R' B2 U F'
F' L' D' B2 R' U F'
F' L' D2 R' U F' R'
R U L F B R U2
R U L B F R U2
F' R L' U D2 R2 F'
F' R L' U' L2 B U2
F' R L' U' B L2 U2
F' R L' D2 U R2 F'
B2 R U R2 F' L' B'
L U' R U' B L F
F' R' L' U D2 F' R2
F' R' L' U F' D2 R2
F' R' L' U' L2 U2 F'
F' R' L' D' B2 U F'
F' R' L' D2 U F' R2
F' R' B2 L' U F' R'
B2 R2 B U' R F' B
B2 R2 B U' R B F'
L2 F' L' R' U F' R
L2 F' R' L' U F' R
L F' U L' U L F
L F2 U F L' R U
L F2 U F R L' U
R2 B U' R F' B R'
R2 B U' R B F' R'
F D2 B2 R U' R2 F'
B2 F' L' R U R2 F'
B2 F' L' R2 U R F'
B2 F' R L' U R2 F'
B2 F' R2 L' U R F'
F' B2 L' R U R2 F'
F' B2 L' R2 U R F'
F' B2 R L' U R2 F'
F' B2 R2 L' U R F'
