B' L2 D R' F' B2
B' L2 D R' B2 F'
B' R2 U' L2 R F'
B' R2 U' R L2 F'
B' R2 U' R F' L2
L2 D B' R' F' B'
L2 D B' R' B' F'
L2 B D B2 R' F'
L2 B' D R' F' B2
L2 B' D R' B2 F'
B' L R2 U' L R F'
B' L R2 U' R L F'
B' L R2 U' R F' L
U' L R2 F U' L F
B L U' R2 U' L F
B L U2 L D F B2
B L U2 L D B2 F
B L U2 L F D B2
B L U2 D L F B2
B L U2 D L B2 F
B' L D L R' F' B2
B' L D L R' B2 F'
B' L D R' L F' B2
B' L D R' L B2 F'
B' L D R' F' L B2
U2 L D F L R B2
U2 L D F L B2 R
U2 L D F R L B2
B L D U2 L F B2
B L D U2 L B2 F
B L D' F2 U2 L F
U2 L F L D R B2
U2 L F L D B2 R
U' L F R2 U' L F
U2 L F D L R B2
U2 L F D L B2 R
U2 L F D R L B2
B' L' R2 U' L' R F'
B' L' R2 U' R L' F'
L2 R' F' U R' F' U'
L2 R' F' B' D' R' B
B' L' D L' R' F' B2
B' L' D L' R' B2 F'
B' L' D R' L' F' B2
B' L' D R' L' B2 F'
B' L' D R' B2 L' F'
L2 R' B' D' F' R' B
L2 R' B' F' D' R' B
B' L2 R' F' U R' U'
R' L2 F' U R' F' U'
R' L2 F' B' D' R' B
R' L2 B' D' F' R' B
R' L2 B' F' D' R' B
B' L2 D R' F' B2 D
B' L2 D R' F' B2 D'
B' L2 D R' F' B2 D2
B' L2 D R' B2 D F'
B' L2 D R' B2 D' F'
B' L2 D R' B2 D2 F'
B' L2 D R' B2 F' D
B' L2 D R' B2 F' D'
B' L2 D R' B2 F' D2
B' L2 D R2 B2 R F'
B' L2 D F R' F' B2
B' L2 D F R' B2 F'
B' L2 D F' R' F' B2
B' L2 D F' R' B2 F'
B' L2 D F2 R' F' B2
B' L2 D F2 R' B2 F'
F' L2 D B' R' F' B'
F' L2 D B' R' B' F'
F2 L2 D B' R' F' B'
F2 L2 D B' R' B' F'
B' L2 D' R' D2 F' B2
B' L2 D' R' D2 B2 F'
F L2 D B' R' F' B'
F L2 D B' R' B' F'
B' L2 D2 R' D' F' B2
B' L2 D2 R' D' B2 F'
B' L2 D2 R' F' D' B2
B' L2 F D R' F' B2
B' L2 F D R' B2 F'
B' L2 F' D R' F' B2
B' L2 F' D R' B2 F'
B' L2 F2 D R' F' B2
B' L2 F2 D R' B2 F'
L2 U R' F' L' R' U'
L2 U R' F' R' L' U'
F' L2 B D B2 R' F'
B2 L2 B D R' F' B2
B2 L2 B D R' B2 F'
F2 L2 B D B2 R' F'
F L2 B D B2 R' F'
F' L2 B' D R' F' B2
F' L2 B' D R' B2 F'
F2 L2 B' D R' F' B2
F2 L2 B' D R' B2 F'
B2 L2 B' D B2 R' F'
F L2 B' D R' F' B2
F L2 B' D R' B2 F'
B' L2 B2 D B2 R' F'
R2 U' L2 R D F' R
R2 U' R L2 D F' R
L U' R2 U' L F R
B' R' L2 F' U R' U'
L U2 L D F R B2
L U2 L D F B2 R
L U2 L D B2 F R
L U2 L F D R B2
L U2 L F D B2 R
B' R' F' L2 U R' U'
B' R' F' U R' U' L2
U R' F' L' R' U' L'
U R' F' R' L' U' L'
L U2 D L F R B2
L U2 D L F B2 R
L U2 D L B2 F R
