B' L' D' L2 B2 R' F'
D' L2 R D' R2 F' B
D' L2 R D' R2 B F'
D' L2 R' D' F' B R2
D' L2 R' D' B F' R2
D' L2 R' F' D' B R2
D' R L2 D' R2 F' B
D' R L2 D' R2 B F'
D' R' L2 D' F' B R2
D' R' L2 D' B F' R2
D' R' L2 F' D' B R2
D2 R' D L2 F' R' B
D2 R' D F' L2 R' B
D2 R' D F' R' L2 B
D2 R' D F' R' B L2
B R' D2 B2 U' F' R2
D' R' F' L2 D' B R2
D2 R' F' R' D L2 B2
D2 R' F' R' D B2 L2
D' R' B2 U F' B' L2
D' R' B2 U B' L2 F'
D' R' B2 U B' F' L2
L' D' L2 B2 R' F' B
L' D' L2 B2 R' B F'
L2 D' R F' B U2 L2
L2 D' R B F' U2 L2
L2 D' R' U2 L2 F' B
L2 D' R' U2 L2 B F'
L2 D' R' U2 F' L2 B
L2 D' R' U2 F' B L2
L2 D' R' U2 B L2 F'
L2 D' R' U2 B F' L2
L D' B2 L2 R' F' B
L D' B2 L2 R' B F'
L D' B2 R' L2 F' B
L D' B2 R' L2 B F'
L D' B2 R' F' L2 B
L D' B2 R' F' B L2
L D' B2 R' B L2 F'
L D' B2 R' B F' L2
F2 D' R' B2 U F' B'
F2 D' R' B2 U B' F'
F2 D' B2 R' U F' B
F2 D' B2 R' U B F'
B' D2 B2 R' U' F' R'
D' B2 R' U L2 F' B
D' B2 R' U L2 B F'
D' B2 R' U F' L2 B
D' B2 R' U F' B L2
D' B2 R' U B L2 F'
D' B2 R' U B F' L2
