B' L U L' F U B'
B' L F' U L' F U
D L2 B' U' F R B
F R U B' L U2 L'
F R U' B' L U2 B
F U' B' L U' R U'
F U2 R U B' L U2
U2 F U' B' L F U2
L2 F B R' D L2 B2
L2 F B R' D B2 L2
L2 B F R' D L2 B2
L2 B F R' D B2 L2
U B' L D F U2 L'
B' F' L U L2 F2 U
B' F' L U F2 L2 U
B' F' L U2 D' L2 B2
B' F' L U2 D' B2 L2
B' F' L D R2 F2 U2
B' F' L D F2 R2 U2
B' F' L D' U2 L2 B2
B' F' L D' U2 B2 L2
F' B' L U L2 F2 U
F' B' L U F2 L2 U
F' B' L U2 D' L2 B2
F' B' L U2 D' B2 L2
F' B' L D R2 F2 U2
F' B' L D F2 R2 U2
F' B' L D' U2 L2 B2
F' B' L D' U2 B2 L2
