U2 L U F B' R'
U2 L U B' R' F
U2 L U B' F R'
U2 D' B' L U F
D' U2 B' L U F
U2 B' L U F B'
U2 B' L U B' F
U2 L R U F B' R'
U2 L R U B' R' F
U2 L R U B' F R'
B' L R' U F' B' L'
B' L R' U B' F' L'
L R U B L U2 B2
U2 L R' U F B' R'
L R U B U2 B2 R'
U2 L R' U B' R' F
U2 L R' U B' F R'
R L U B L U2 B2
R L U B U2 B2 R'
R' L U' F R F2 B'
R' L U' F R B' F2
R' L U' F B' R F2
R2 L U' F R F' B'
R2 L U' F R B' F'
R2 L U' F B' R F'
U2 L R2 U F B' R'
U2 L R2 U B' R' F
U2 L R2 U B' F R'
R' L U' B' F R F2
R2 L U' B' F R F'
U2 L U R F B' R'
U2 L U R B' R' F
U2 L U R B' F R'
U2 L U R' F B' R'
U2 L U R' B' R' F
U2 L U R' B' F R'
U2 L U R2 F B' R'
U2 L U R2 B' R' F
U2 L U R2 B' F R'
U2 L U D F B' R'
U2 L U D B' R' F
U2 L U D B' F R'
U2 L U D' F B' R'
U2 L U D' B' R' F
U2 L U D' B' F R'
U2 L U D2 F B' R'
U2 L U D2 B' R' F
U2 L U D2 B' F R'
U2 L U F R B' R'
U2 L U F R' B' R'
U2 L U F R2 B' R'
U2 L U F D B' R'
U2 L U F D' B' R'
U2 L U F D2 B' R'
U2 L U F B' R' D
U2 L U F B' R' D'
U2 L U F B' R' D2
U2 L U F B' D R'
U2 L U F B' D' R'
U2 L U F B' D2 R'
U2 L U F' B' R' F2
U' L U B' L' R' F'
U' L U B' R' L' F'
U2 L U B' R F R2
U2 L U B' R' D F
U2 L U B' R' D' F
U2 L U B' R' D2 F
U2 L U B' R' F D
U2 L U B' R' F D'
U2 L U B' R' F D2
U2 L U B' D R' F
U2 L U B' D F R'
U2 L U B' D' R' F
U2 L U B' D' F R'
U2 L U B' D2 R' F
U2 L U B' D2 F R'
U2 L U B' F R' D
U2 L U B' F R' D'
U2 L U B' F R' D2
U2 L U B' F D R'
U2 L U B' F D' R'
U2 L U B' F D2 R'
U2 L U B' F' R' F2
U2 L D U F B' R'
U2 L D U B' R' F
U2 L D U B' F R'
U2 L D' U F B' R'
U2 L D' U B' R' F
U2 L D' U B' F R'
U2 L D2 U F B' R'
U2 L D2 U B' R' F
U2 L D2 U B' F R'
R' L F2 U' F R B'
R' L F2 U' F B' R
R' L F2 U' B' F R
L R' U' F R F2 B'
L R' U' F R B' F2
L R' U' F B' R F2
L R' U' B' F R F2
L2 R' F L' U' F2 B'
L2 R' F L' U' B' F2
L R' F2 U' F R B'
L R' F2 U' F B' R
L R' F2 U' B' F R
L R2 U' F R F' B'
L R2 U' F R B' F'
L R2 U' F B' R F'
L R2 U' B' F R F'
L2 R2 D' F L' U' B'
R2 L2 D' F L' U' B'
R' L2 F L' U' F2 B'
R' L2 F L' U' B' F2
D2 L2 R' F U' F2 B
D2 L2 R' F U' B F2
D2 L2 F R' U' F' B
D2 L2 F R' U' B F'
U2 R L U F B' R'
U2 R L U B' R' F
U2 R L U B' F R'
U2 R D' B' L U F
U2 R B' L U F B'
U2 R B' L U B' F
B' R' L U F' B' L'
B' R' L U B' F' L'
U2 R' L U F B' R'
U2 R' L U B' R' F
U2 R' L U B' F R'
D2 R' L2 F U' F2 B
D2 R' L2 F U' B F2
B' R' U L F' B' L'
B' R' U L B' F' L'
L U' F B' R D' F2
B' R' U L2 F' L' B'
B' R' U F' L B' L2
D2 R' U' F' B D' R2
D2 R' U' B D' F' R2
D2 R' U' B F' D' R2
D' R' U2 B' L U F'
D2 R' U2 B' U F' B2
D2 R' U2 B' U B2 F'
L U' B' F R D' F2
R' U2 L U F' B' R'
R' U2 L U B' F' R'
U2 R' D' B' L U F
U2 R' B' L U F B'
U2 R' B' L U B' F
R' U2 D' B' L U F'
U2 R2 L U F B' R'
U2 R2 L U B' R' F
U2 R2 L U B' F R'
R' U2 B' L U F' B'
R' U2 B' L U B' F'
U2 R2 D' B' L U F
U2 R2 B' L U F B'
U2 R2 B' L U B' F
R' D' U2 B' L U F'
U2 D' R B' L U F
U2 D' R' B' L U F
U2 D' R2 B' L U F
U' D' B' L R' U L'
D' U' B' L R' U L'
U' D' B' R' L U L'
D' U' B' R' L U L'
U2 D' B' L R U F
U2 D' B' L R' U F
U2 D' B' L R2 U F
U2 D' B' L U D F
U2 D' B' L U D' F
U2 D' B' L U D2 F
U2 D' B' L U F D
U2 D' B' L U F D'
U2 D' B' L U F D2
U2 D' B' L D U F
U2 D' B' L D' U F
U2 D' B' L D2 U F
U2 D' B' R L U F
U2 D' B' R' L U F
U2 D' B' R2 L U F
U2 D' B' D L U F
U2 D' B' D' L U F
U2 D' B' D2 L U F
D' U2 R B' L U F
D' U2 R' B' L U F
F' U2 L U F B' R'
F' U2 L U B' R' F
F' U2 L U B' F R'
D' U2 R2 B' L U F
F2 U2 L U F B' R'
F2 U2 L U B' R' F
F2 U2 L U B' F R'
B' U2 L B U' F B2
B' U2 L B U' B2 F
F U2 L U F B' R'
F U2 L U B' R' F
F U2 L U B' F R'
D' U2 B' L R U F
D' U2 B' L R' U F
D' U2 B' L R2 U F
D' U2 B' L U D F
D' U2 B' L U D' F
D' U2 B' L U D2 F
D' U2 B' L U F D
D' U2 B' L U F D'
D' U2 B' L U F D2
D' U2 B' L D U F
D' U2 B' L D' U F
D' U2 B' L D2 U F
D' U2 B' R L U F
D' U2 B' R' L U F
D' U2 B' R2 L U F
D' U2 B' D L U F
D' U2 B' D' L U F
D' U2 B' D2 L U F
F' U2 D' B' L U F
F2 U2 D' B' L U F
L2 F L' R' U' F' B'
L2 F L' R' U' B' F'
F U2 D' B' L U F
B' U2 B L U' F B'
B' U2 B L U' B' F
L2 F R' L' U' F' B'
L2 F R' L' U' B' F'
F' U2 B' L U F B'
F' U2 B' L U B' F
F2 U2 B' L U F B'
F2 U2 B' L U B' F
F U2 B' L U F B'
F U2 B' L U B' F
D' F U2 B' L U F
D' F' U2 B' L U F
F' D' U2 B' L U F
F2 D' U2 B' L U F
F D' U2 B' L U F
D' F2 U2 B' L U F
B' D2 R' U F' L' B
B' D2 R' U F' B L'
B' D2 R' U B F' L'
U2 B L B2 U F B
U2 B L B2 U B F
U' B' L R' U B' L'
D' B' L R' U F' L'
U2 B' L R U F B'
U2 B' L R U B' F
U2 B' L R' U F B'
U2 B' L R' U B' F
U2 B' L R2 U F B'
U2 B' L R2 U B' F
U2 B' L U D F B'
U2 B' L U D B' F
U2 B' L U D' F B'
U2 B' L U D' B' F
U2 B' L U D2 F B'
U2 B' L U D2 B' F
U2 B' L U F D B'
U2 B' L U F D' B'
U2 B' L U F D2 B'
U2 B' L U F B' D
U2 B' L U F B' D'
U2 B' L U F B' D2
U2 B' L U B' D F
U2 B' L U B' D' F
U2 B' L U B' D2 F
U2 B' L U B' F D
U2 B' L U B' F D'
U2 B' L U B' F D2
U2 B' L D U F B'
U2 B' L D U B' F
U2 B' L D' U F B'
U2 B' L D' U B' F
U2 B' L D2 U F B'
U2 B' L D2 U B' F
U2 B' L' U' F B' U2
U2 B' L' U' B' F U2
U' B' R' L U B' L'
U2 B' R L U F B'
U2 B' R L U B' F
D' B' R' L U F' L'
D2 B' R' U F' L' B
D2 B' R' U F' B L'
D2 B' R' U B F' L'
U2 B' R' L U F B'
U2 B' R' L U B' F
U2 B' R2 L U F B'
U2 B' R2 L U B' F
U2 B2 L B U F B2
U2 B2 L B U B2 F
