B2 L U2 F2 B' U'
B2 L U2 B' F2 U'
R' L F2 B' L' U'
R' L B' F2 L' U'
L2 R' F2 L' B' U'
L R' F2 B' L' U'
L R' B' F2 L' U'
B2 L' F L2 B' U
R' L2 F2 L' B' U'
L U2 R' F2 B' U'
L U2 R' B' F2 U'
L U2 F2 R' B' U'
L' D2 F B2 L U
L' D2 B2 F L U
L2 D2 B2 L F U
L' F U2 R' F U'
L' F U2 F R' U'
R' F2 L B' L2 U'
R' F2 L' U2 F U
U2 F2 D2 R' B U'
U2 L R' B' L' F2 U'
F2 L R' B' U2 R U
U L R' F2 B' U' F2
U L R' B' F2 U' F2
U L U R' F2 B' U'
U L U R' B' F2 U'
U L U F2 R' B' U'
U' L U' R' F2 B' U'
U' L U' R' B' F2 U'
U' L U' F2 R' B' U'
B2 L U2 D B' U' R2
F' L U2 F' R' B' U'
B2 L U2 F2 D B' U'
B2 L U2 F2 D' B' U'
B2 L U2 F2 D2 B' U'
B2 L U2 F2 B' U' D
B2 L U2 F2 B' U' D'
B2 L U2 F2 B' U' D2
B2 L U2 F2 B' D U'
B2 L U2 F2 B' D' U'
B2 L U2 F2 B' D2 U'
B2 L U2 B' U' D R2
B2 L U2 B' D U' R2
B2 L U2 B' F2 U' D
B2 L U2 B' F2 U' D'
B2 L U2 B' F2 U' D2
B2 L U2 B' F2 D U'
B2 L U2 B' F2 D' U'
B2 L U2 B' F2 D2 U'
B2 L D U2 B' U' R2
R' L F2 D B' L' U'
B2 L D2 B2 U2 B U'
R' L F2 D' B' L' U'
R' L F2 D2 B' L' U'
R' L F2 B L' B2 U'
R' L F2 B' L' U' D
R' L F2 B' L' U' D'
R' L F2 B' L' U' D2
R' L F2 B' L' D U'
R' L F2 B' L' D' U'
R' L F2 B' L' D2 U'
R' L F2 B' D L' U'
R' L F2 B' D' L' U'
R' L F2 B' D2 L' U'
R' L F2 B2 L' B U'
B2 L F U2 F B' U'
B2 L F U2 B' F U'
R' L B F2 L' B2 U'
R' L B' L F2 L' U'
R' L B' L' F2 L' U'
R' L B' L2 F2 L' U'
B2 L F' U2 F' B' U'
B2 L F' U2 B' F' U'
R2 L B' R F2 L' U'
R' L B' F2 L' U' D
R' L B' F2 L' U' D'
R' L B' F2 L' U' D2
R' L B' F2 L' D U'
R' L B' F2 L' D' U'
R' L B' F2 L' D2 U'
R' L B' F2 D L' U'
R' L B' F2 D' L' U'
R' L B' F2 D2 L' U'
U L F2 R' B' U' F2
R' L B2 F2 L' B U'
B2 L B U D L2 R2
B2 L B U D R2 L2
B2 L B U2 F2 B2 U'
B2 L B U2 B2 F2 U'
B2 L B D U L2 R2
B2 L B D U R2 L2
B2 L B D2 F2 B2 U
B2 L B D2 B2 F2 U
B L B' R' F2 L' U'
B2 L B2 U2 F2 B U'
B2 L B2 U2 B F2 U'
F2 L' R' U2 R F U
R' L' F2 L' U2 F' U
L' R' F2 L' U2 F' U
L2 R' F2 L' D B' U'
L2 R' F2 L' D' B' U'
L2 R' F2 L' D2 B' U'
L2 R' F2 L' B' U' D
L2 R' F2 L' B' U' D'
L2 R' F2 L' B' U' D2
L2 R' F2 L' B' D U'
L2 R' F2 L' B' D' U'
L2 R' F2 L' B' D2 U'
L2 R' F2 D L' B' U'
L2 R' F2 D' L' B' U'
L R' F2 D B' L' U'
L2 R' F2 D2 L' B' U'
L R' F2 D' B' L' U'
L2 R' F2 B L' B' U'
L R' F2 D2 B' L' U'
L R' F2 B L' B2 U'
L2 R' F2 B' L' B' U'
L R' F2 B' L' U' D
L R' F2 B' L' U' D'
L R' F2 B' L' U' D2
L R' F2 B' L' D U'
L R' F2 B' L' D' U'
L R' F2 B' L' D2 U'
L2 R' F2 B2 L' B' U'
L R' F2 B' D L' U'
L R' F2 B' D' L' U'
L R' F2 B' D2 L' U'
L R' F2 B2 L' B U'
L2 R' B F2 L' B' U'
L R' B F2 L' B2 U'
L R' B' L F2 L' U'
L R' B' L' F2 L' U'
L R' B' L2 F2 L' U'
B' L' D2 F L' B2 U
B' L' D2 F B2 L' U
B' L' D2 B2 F L' U
L2 R' B' F2 L' B' U'
L R' B' F2 L' U' D
L R' B' F2 L' U' D'
L R' B' F2 L' U' D2
L R' B' F2 L' D U'
L R' B' F2 L' D' U'
L R' B' F2 L' D2 U'
L R' B' F2 D L' U'
L R' B' F2 D' L' U'
L R' B' F2 D2 L' U'
B' L' F L2 B' L U
B2 L' F L2 D B' U
B2 L' F L2 D' B' U
B2 L' F L2 D2 B' U
B2 L' F L2 B' U D
B2 L' F L2 B' U D'
B2 L' F L2 B' U D2
B2 L' F L2 B' D U
B2 L' F L2 B' D' U
B2 L' F L2 B' D2 U
F' L' F U2 R' F2 U'
F' L' F U2 F2 R' U'
F2 L' F U2 F' R' U'
F' L' F D2 B2 L U
B L' F U2 F R U'
F L' F U2 R' F' U'
B2 L' F B L2 B' U
B2 L' F B' L2 B' U
L2 R' B2 F2 L' B' U'
L R' B2 F2 L' B U'
B2 L' F B2 L2 B' U
B2 L' B F L2 B' U
B2 L' B' F L2 B' U
B2 L' B2 F L2 B' U
R' L2 F2 L' D B' U'
R' L2 F2 L' D' B' U'
R' L2 F2 L' D2 B' U'
R' L2 F2 L' B' U' D
R' L2 F2 L' B' U' D'
R' L2 F2 L' B' U' D2
R' L2 F2 L' B' D U'
R' L2 F2 L' B' D' U'
R' L2 F2 L' B' D2 U'
R' L2 F2 D L' B' U'
R' L2 F2 D' L' B' U'
R' L2 F2 D2 L' B' U'
R' L2 F2 B L' B' U'
R' L2 F2 B' L' B' U'
R' L2 F2 B2 L' B' U'
R' L2 B F2 L' B' U'
B2 L2 U2 F2 R B U'
L R2 B' R F2 L' U'
R' L2 B' F2 L' B' U'
R' L2 B2 F2 L' B' U'
L U R' F2 B' U' F2
L U R' B' F2 U' F2
F L2 B2 L F B U
F L2 B2 L B F U
L U F2 R' B' U' F2
D2 R F' R' B2 L U
F2 R B2 L R2 B' U'
F2 R B2 L B' R2 U'
F2 R B2 R2 L B' U'
F2 R' L B' U2 R U
U2 R' L B' L' F2 U'
F2 R' L' U2 R F U
U R' L F2 B' U' F2
U R' L B' F2 U' F2
F2 R' U2 D2 R F' U
U2 R' D F U' L' R2
U2 R' D F U' R2 L'
D2 R' D2 F2 L' B U'
D2 R' D2 F2 B L' U'
D2 R' D2 B F2 L' U'
F2 R' D2 U2 R F' U
U2 R' F D F U' L'
L' U2 R F2 R2 B U'
U2 R' F2 L B' L' U'
L2 U2 R F2 B R2 U'
L2 U2 R B R2 F2 U'
L2 U2 R B F2 R2 U'
U R' F2 L B' U' F2
U2 R' F2 D' B' U' L
L U2 R F2 R2 B' U'
L U2 R F2 B' R2 U'
L' U2 R' F2 U2 F' U
L U2 R B' R2 F2 U'
L U2 R B' F2 R2 U'
D2 R' B U2 B R U
L2 U2 R' F2 U2 F U
L U2 R' D B' U' R2
L U2 R' F2 D B' U'
L U2 R' F2 D' B' U'
L U2 R' F2 D2 B' U'
L U2 R' F2 B' U' D
L U2 R' F2 B' U' D'
L U2 R' F2 B' U' D2
L U2 R' F2 B' D U'
L U2 R' F2 B' D' U'
L U2 R' F2 B' D2 U'
L U2 R' B' U' D R2
L U2 R' B' D U' R2
L U2 R' B' F2 U' D
L U2 R' B' F2 U' D'
L U2 R' B' F2 U' D2
L U2 R' B' F2 D U'
L U2 R' B' F2 D' U'
L U2 R' B' F2 D2 U'
L U2 R2 B' R F2 U'
R' U2 D2 R F' B2 U
R' U2 D2 R B2 F' U
R' U2 D2 B2 R F' U
L U2 F R' F B' U'
L U2 F R' B' F U'
L' U2 F2 R2 B R U'
L2 U2 F2 R B R2 U'
L2 U2 F2 R' U2 F' U
L U2 F2 R B' R2 U'
L U2 F2 R' D B' U'
L U2 F2 R' D' B' U'
L U2 F2 R' D2 B' U'
L U2 F2 R' B' U' D
L U2 F2 R' B' U' D'
L U2 F2 R' B' U' D2
L U2 F2 R' B' D U'
L U2 F2 R' B' D' U'
L U2 F2 R' B' D2 U'
L U2 F2 R2 B' R U'
L U2 F2 D R' B' U'
L U2 F2 D' R' B' U'
L U2 F2 D2 R' B' U'
U2 R2 F2 U2 L' F U
L' D F U2 R' U' R'
L' D F D B2 L U
L' D F B2 L U R2
U2 D R' F U' L' R'
U2 D R' F U' R' L'
L2 D B2 L F U R2
U2 D F R' U' L' R'
U2 D F R' U' R' L'
L' D B2 F L U R2
L' D' F D' B2 L U
L2 D2 L F B2 L U
L2 D2 L B2 F L U
L' D2 L' B2 L F U
L D2 L B2 L F U
R' D2 R F' B2 L U
R' D2 R B2 L F' U
R' D2 R B2 F' L U
L D2 L2 F B2 L U
L D2 L2 B2 F L U
R D2 R' B2 L2 F U
D2 U2 R' D' B U' R2
D2 U2 R' D2 F2 B U'
D2 U2 R' D2 B F2 U'
D2 U2 R' B U2 B U
U2 D2 R' D' B U' R2
U2 D2 R' D2 F2 B U'
U2 D2 R' D2 B F2 U'
R' D2 U2 R F' B2 U
R' D2 U2 R B2 F' U
U2 D2 R' B U2 B U
D U2 R' F U' L' R'
D U2 R' F U' R' L'
R' D2 U2 B2 R F' U
L' D2 F L B2 L U
L' D2 F L' B2 L U
L' D2 F L2 B2 L U
L' D2 F B2 L U D
L' D2 F B2 L U D'
L' D2 F B2 L U D2
L' D2 F B2 L D U
L' D2 F B2 L D' U
L' D2 F B2 L D2 U
L' D2 F B2 D L U
L' D2 F B2 D' L U
L' D2 F B2 D2 L U
D U2 F R' U' L' R'
D U2 F R' U' R' L'
L2 D2 F B2 L F U
L' D2 F' B2 L F2 U
L2 D2 F' B2 L F U
L' D2 F2 B2 L F' U
L2 D2 F2 B2 L F U
F U2 R' D F U' L'
L2 D2 B2 L D F U
L2 D2 B2 L D' F U
L2 D2 B2 L D2 F U
L2 D2 B2 L F U D
L2 D2 B2 L F U D'
L2 D2 B2 L F U D2
L2 D2 B2 L F D U
L2 D2 B2 L F D' U
L2 D2 B2 L F D2 U
L' D2 B2 D F L U
L' D2 B2 D' F L U
L' D2 B2 D2 F L U
L' D2 B2 F L U D
L' D2 B2 F L U D'
L' D2 B2 F L U D2
L' D2 B2 F L D U
L' D2 B2 F L D' U
L' D2 B2 F L D2 U
L' D2 B2 F D L U
L' D2 B2 F D' L U
L' D2 B2 F D2 L U
L' D2 B2 F' L F2 U
L' D2 B2 F2 L F' U
L2 D2 B2 D L F U
L2 D2 B2 D' L F U
L2 D2 B2 D2 L F U
L2 D2 B2 F L F U
L2 D2 B2 F' L F U
L2 D2 B2 F2 L F U
L D2 B2 L U2 B U'
F U2 D R' F U' L'
F U2 D F R' U' L'
L' F L B2 L B' U
F' U2 D2 F' R' B U'
L' F L' U2 R' F' U'
F U2 D2 R' F B U'
F U2 D2 R' B F U'
F U2 D2 F R' B U'
L' F L2 B2 L B U
F' U2 F' D2 R' B U'
F U2 F D2 R' B U'
U2 F R' D F U' L'
L' F U2 R F R2 U'
B2 D L F U L' R2
B2 D L F U R2 L'
L' F U2 R' D F U'
L' F U2 R' D' F U'
L' F U2 R' D2 F U'
L' F U2 R' F U' D
L' F U2 R' F U' D'
L' F U2 R' F U' D2
L' F U2 R' F D U'
L' F U2 R' F D' U'
L' F U2 R' F D2 U'
L' F U2 D R' F U'
L' F U2 D F R' U'
L' F U2 D' R' F U'
L' F U2 D' F R' U'
L' F U2 D2 R' F U'
L' F U2 D2 F R' U'
L' F U2 F R' U' D
L' F U2 F R' U' D'
L' F U2 F R' U' D2
L' F U2 F R' D U'
L' F U2 F R' D' U'
L' F U2 F R' D2 U'
L' F U2 F D R' U'
L' F U2 F D' R' U'
L' F U2 F D2 R' U'
L' F U2 F' R' F2 U'
D F U2 R' U' L' R'
D F U2 R' U' R' L'
L' F D U2 R' F U'
L' F D U2 F R' U'
U2 F D R' F U' L'
L F U2 R' F B' U'
L F U2 R' B' F U'
U2 F D F R' U' L'
L F U2 F R' B' U'
L' F D' U2 R' F U'
L' F D' U2 F R' U'
D F D B2 L U L2
L' F D2 U2 R' F U'
L' F D2 U2 F R' U'
U2 F D2 R' F B U'
U2 F D2 R' B F U'
U2 F D2 F R' B U'
L' F B U2 F R U'
L' F B' L2 B' L U
L' F B2 L2 B' L' U
D F B2 L U L2 R2
D F B2 L U R2 L2
R' F' L F' B' L' U'
R' F' L B' F' L' U'
B2 D F L U L2 R2
B2 D F L U R2 L2
R' F' L2 F' L' B' U'
F D U2 R' F U' L'
F D U2 F R' U' L'
