R F2 U L' B'
D' L R F2 U B'
L' R F2 U L' B'
L R F2 U L' B'
L2 R F2 U L' B'
R L F2 U L' B'
R L' F2 U L' B'
R L2 F2 U L' B'
D' R L F2 U B'
D' R F2 L U B'
R U' D R F' U2
R D U' R F' U2
R F L' F U L'
R F D' L' F U
F D' L' F2 U F'
R F2 U L' D B'
R F2 U L' D' B'
R F2 U L' D2 B'
R F2 U L' B' D
R F2 U L' B' D'
R F2 U L' B' D2
R F2 U D L' B'
R F2 U D' L' B'
R F2 U D2 L' B'
R F2 U B L' B'
R F2 U B' L' B'
R F2 U B2 L' B'
R F2 D U L' B'
R F2 D' U L' B'
R F2 D2 U L' B'
D2 L R U D L B'
D' L R U D' B' L2
D' L R U B' D' L2
D2 L R D U L B'
D' L R D' U B' L2
D' L R F2 U D B'
D' L R F2 U D' B'
D' L R F2 U D2 B'
D' L R F2 U B' D
D' L R F2 U B' D'
D' L R F2 U B' D2
D' L R F2 D U B'
D' L R F2 D' U B'
D' L R F2 D2 U B'
L' R U' D R F' U2
D' L R' F2 R2 U B'
L2 R U' D R F' U2
L R U' D R F' U2
R L U' D R F' U2
D' L R2 F2 R' U B'
L' R D U' R F' U2
L2 R D U' R F' U2
L R D U' R F' U2
R L D U' R F' U2
D2 L D R U L B'
L' R F L' F U L'
L R F L' F U L'
L2 R F L' F U L'
R L F L' F U L'
L' R F D' L' F U
D' L D' R U B' L2
L R F D' L' F U
L2 R F D' L' F U
R L F D' L' F U
L' R F2 U L' D B'
L' R F2 U L' D' B'
L' R F2 U L' D2 B'
L' R F2 U L' B' D
L' R F2 U L' B' D'
L' R F2 U L' B' D2
L' R F2 U D L' B'
L' R F2 U D' L' B'
L' R F2 U D2 L' B'
L' R F2 U B L' B'
L' R F2 U B' L' B'
L' R F2 U B2 L' B'
L R F2 U L' D B'
L R F2 U L' D' B'
L R F2 U L' D2 B'
L R F2 U L' B' D
L R F2 U L' B' D'
L R F2 U L' B' D2
L R F2 U D L' B'
L2 R F2 U L' D B'
L2 R F2 U L' D' B'
L2 R F2 U L' D2 B'
L2 R F2 U L' B' D
L2 R F2 U L' B' D'
L2 R F2 U L' B' D2
L R F2 U D' L' B'
L R F2 U D2 L' B'
L' R F2 D U L' B'
L2 R F2 U D L' B'
L R F2 U B L' B'
L2 R F2 U D' L' B'
L R F2 U B' L' B'
L2 R F2 U D2 L' B'
L R F2 U B2 L' B'
L2 R F2 U B L' B'
L2 R F2 U B' L' B'
L2 R F2 U B2 L' B'
L' R F2 D' U L' B'
R L F2 U L' D B'
R L F2 U L' D' B'
R L F2 U L' D2 B'
R L F2 U L' B' D
R L F2 U L' B' D'
R L F2 U L' B' D2
R L F2 U D L' B'
R L F2 U D' L' B'
R L F2 U D2 L' B'
R L F2 U B L' B'
R L F2 U B' L' B'
R L F2 U B2 L' B'
L' R F2 D2 U L' B'
L R F2 D U L' B'
L2 R F2 D U L' B'
L R F2 D' U L' B'
L2 R F2 D' U L' B'
R L F2 D U L' B'
L R F2 D2 U L' B'
L2 R F2 D2 U L' B'
R L F2 D' U L' B'
R L F2 D2 U L' B'
R L' U' D R F' U2
D' L' R U D' L2 B'
D' L' R D' U L2 B'
D' L' R F2 U' F' U2
R L' D U' R F' U2
D' L' R' F2 R2 U B
R L' F L' F U L'
R L' F D' L' F U
R L' F2 U L' D B'
R L' F2 U L' D' B'
R L' F2 U L' D2 B'
R L' F2 U L' B' D
R L' F2 U L' B' D'
R L' F2 U L' B' D2
R L' F2 U D L' B'
R L' F2 U D' L' B'
R L' F2 U D2 L' B'
R L' F2 U B L' B'
R L' F2 U B' L' B'
R L' F2 U B2 L' B'
R L' F2 D U L' B'
R L' F2 D' U L' B'
R L' F2 D2 U L' B'
D' L' D' R U L2 B'
F L' F D' F2 R U
F L' F' R U' R U2
F L' F' R F2 U L'
F L' F' D' R F2 U
F L' F' D2 R U L2
R L2 U' D R F' U2
R L2 D U' R F' U2
D' L2 R F2 L' U B'
R L2 F L' F U L'
R L2 F D' L' F U
R L2 F2 U L' D B'
R L2 F2 U L' D' B'
R L2 F2 U L' D2 B'
R L2 F2 U L' B' D
R L2 F2 U L' B' D'
R L2 F2 U L' B' D2
R L2 F2 U D L' B'
R L2 F2 U D' L' B'
R L2 F2 U D2 L' B'
R L2 F2 U B L' B'
R L2 F2 U B' L' B'
R L2 F2 U B2 L' B'
R L2 F2 D U L' B'
R L2 F2 D' U L' B'
R L2 F2 D2 U L' B'
R2 U D R' U B R
R' U D' F2 B2 L B'
D2 R L U D L B'
R' U D' B2 L F2 B'
R' U D' B2 L B' F2
D' R L U D' B' L2
D' R L U B' D' L2
R' U D' B2 F2 L B'
D2 R L D U L B'
D' R L D' U B' L2
D' R L F2 U D B'
D' R L F2 U D' B'
D' R L F2 U D2 B'
D' R L F2 U B' D
D' R L F2 U B' D'
D' R L F2 U B' D2
D' R L F2 D U B'
D' R L F2 D' U B'
D' R L F2 D2 U B'
D' R L' U D' L2 B'
D' R L' D' U L2 B'
D' R L' F2 U' F' U2
D' R L2 F2 L' U B'
D2 R U L D L B'
D' R U L D' B' L2
D' R U L B' D' L2
D' R U L' D' L2 B'
F' R U R U2 R' F'
F' R U' R B U2 B'
D R U' D F' U2 L2
D R U' D' R2 U2 B
D R U' D' F' R2 U2
D R U' F' U' B2 U'
D R U' F' U2 D L2
D R U' F' D U2 L2
D R U' F' D' R2 U2
D2 R U2 B R' U' L2
D R U2 R2 B2 U' B'
D2 R D L F2 U B'
D R U2 B2 R2 U' B
D R U2 B2 U F' U2
D2 R D F2 L U B'
D R D U' F' U2 L2
R' U B2 D' L F2 B'
R' U B2 D' L B' F2
R' U B2 D' F2 L B'
D R D F2 U L2 B'
D R D' U' R2 U2 B
D R D' U' F' R2 U2
D R D2 F2 L2 U B'
D R D2 F2 U' F U2
D' R F D F L' U
D' R F' L F' U B'
D R F D2 F2 U B2
D' R F2 L U D B'
D' R F2 L U D' B'
D' R F2 L U D2 B'
D' R F2 L U B' D
D' R F2 L U B' D'
D' R F2 L U B' D2
D' R F2 L D U B'
D' R F2 L D' U B'
D' R F2 L D2 U B'
D' R F2 L' U' F U2
D R F' U2 B2 U' B2
D' R F2 U L B' L'
D R F2 U D L2 B'
R U' R F U L' U
R U' R F' U' R U'
D R F2 D U L2 B'
B2 R F2 B2 U L' B'
U R F2 U L' R' B'
U R F2 U R' L' B'
B R F2 B' U L' B'
R' U' D R' B2 U2 B'
R U' R2 D R' U2 B
B R B' F2 U L' B'
R U' D R D F' U2
R U' D R D' F' U2
R U' D R D2 F' U2
R U' D R F' U2 D
R U' D R F' U2 D'
R U' D R F' U2 D2
R U' D R F' D U2
R U' D R F' D' U2
R U' D R F' D2 U2
B2 R B2 F2 U L' B'
D' R' L F2 R2 U B'
D' R' L' F2 R2 U B
F' R' U D B2 L F
R U' F' U' R B U'
U' R' D R' B2 U2 B'
F' R' D U B2 L F
D' R' F2 L R2 U B'
D' R' F2 R2 L U B'
D' R2 L F2 R' U B'
U' R2 U D R' U B
U' R2 D U R' U B
R D L U' R F' U2
U' R2 F U L' R' U
U' R2 F U R' L' U
R D L' U' R F' U2
D' R2 F2 L R' U B'
R D L2 U' R F' U2
D' R2 F2 R' L U B'
D' R2 F2 D2 R' U B
R2 D R' F2 U L' B
