R F' U F2 R U
F L R U' L' F' U2
F L' R U' L F' U2
F L' R U' F' L U2
U' L' R' U' F' L' B
U' L' R' U' F' B L'
U' L' R' U' B F' L'
F L' B2 R U R2 B
F L2 R U D2 R2 B
F L2 R U' L2 F' U2
F L2 R U' F' L2 U2
F L2 R D2 U R2 B
U' L2 R' B' U' F' B2
U' L2 R' B' U' B2 F'
U' L2 B' R' U' F' B
U' L2 B' R' U' B F'
F R L U' L' F' U2
R' U F L U F B
R' U F L U B F
F R L' U' L F' U2
F R L' U' F' L U2
F R L2 U D2 R2 B
F R L2 U' L2 F' U2
F R L2 U' F' L2 U2
F R L2 D2 U R2 B
F R U B2 D' R2 B
F R U' F' U' F U'
F R U2 R2 U' B R2
B' R F' U F2 R U
F' R F' U F' R U
B2 R F' U F2 R U
R2 U' L2 B' R' U' F'
B R F' U F2 R U
F R F' U F U F'
U' R' L' U' F' L' B
U' R' L' U' F' B L'
U' R' L' U' B F' L'
U' R' L2 B' U' F' B2
U' R' L2 B' U' B2 F'
U' R' U' F' D' L2 B
U' R' U' F' D' B L2
U' R' U' F' B D' L2
U' R' U' B F' D' L2
U' R' U2 F U F2 B
U' R' U2 F U B F2
L' U' B2 R' F' L' B
L' U' B2 R' F' B L'
L' U' B2 R' B F' L'
U R' F L U F B
U R' F L U B F
R D F' U F2 R U
F' U R2 F2 R U B
D' U F L' U' B' U2
D2 U F L U F B'
D2 U F L U B' F
F2 U F' R U' F' U2
F' U F2 R U' F' U2
R D' F' U F2 R U
U D' F L' U' B' U2
U D2 F L U F B'
U D2 F L U B' F
R D2 F' U F2 R U
D' F L' R U' L U2
D' F L' R B2 U R'
U F L R' U F B
U F L R' U B F
D' F L' B2 R U R2
D' F R L' U' L U2
D' F R L' B2 U R'
U F R' L U F B
U F R' L U B F
D' F U L' R U L
D' F U R L' U L
U F U2 R' U' F' B
U F U2 R' U' B F'
U F D2 L U F B'
U F D2 L U B' F
U2 F B' R' U B R
R F' R U F2 R U
R F' R' U F2 R U
D' F' U F2 L' R U
D' F' U F2 R L' U
R F' R2 U F2 R U
R F' U R F2 R U
R F' U R' F2 R U
R F' U R2 F2 R U
R F' U F2 R U D
R F' U F2 R U D'
R F' U F2 R U D2
R F' U F2 R D U
R F' U F2 R D' U
R F' U F2 R D2 U
R F' U F2 D R U
R F' U F2 D' R U
R F' U F2 D2 R U
R F' U' L' U' D' L2
R F' U' L' U2 F2 U
R F' U' L' D' U' L2
R F' U' L' D2 B2 U'
R F' U' D' L' U' L'
R F' U' D2 L' B2 U'
R F' U' D2 B2 L' U'
R F' D R2 U' L' U'
R F' D' U' L' U' L'
R F' D2 U' L' B2 U'
R F' D2 U' B2 L' U'
R F' B U F2 R U
R F' B' U F2 R U
R F' B2 U F2 R U
R2 F2 U F' L' R U
R2 F2 U F' R L' U
R B F' U F2 R U
D B' U F L U F
U2 B' U' R' F U B
U2 B' U' F R' U B
U2 B' F R' U B R
R B' F' U F2 R U
L' B2 U R' B L F
L' B2 U' R' F' L' B
L' B2 U' R' F' B L'
L' B2 U' R' B F' L'
R B2 F' U F2 R U
