B L2 U' R' U' L
B' L U L2 D2 F2 R
B' L U' L B2 R' U2
B' L U' B2 U2 L2 R'
B' L U' B2 U2 R' L2
L2 R' U2 D L F B'
L2 R' U2 D L B' F
D2 L' R' D R' F' B
D2 L' R' D R' B F'
L2 R' D U2 L F B'
L2 R' D U2 L B' F
D2 L' R2 F' U R U'
D L' D R2 F' D2 B2
D L' D F2 R2 F' B
D L' D F2 R2 B F'
B' L' D' B2 D' F2 R
B' L' D2 F2 D R B2
B' L' D2 F2 D B2 R
R' L2 U2 D L F B'
R' L2 U2 D L B' F
L2 R2 U2 D L F' B'
L2 R2 U2 D L B' F'
L2 R2 U2 D F' L B'
R2 L2 U2 D L F' B'
R2 L2 U2 D L B' F'
R2 L2 U2 D F' L B'
L2 R2 U2 F' D L B'
R2 L2 U2 F' D L B'
R' L2 D U2 L F B'
R' L2 D U2 L B' F
L2 R2 D U2 L F' B'
L2 R2 D U2 L B' F'
R2 L2 D U2 L F' B'
R2 L2 D U2 L B' F'
L2 R2 D U2 F' L B'
R2 L2 D U2 F' L B'
B L2 R U' R2 U' L
B L2 R U2 L D B2
B L2 R U2 D L B2
B L2 R D U2 L B2
B L2 R D' F2 U2 L
D2 L2 R2 D' L F' B'
D2 L2 R2 D' L B' F'
D2 L2 R2 D' F' L B'
B L2 R2 U' R U' L
B L2 U' R' U' L D
B L2 U' R' U' L D'
B L2 U' R' U' L D2
B L2 U' R' U' D L
B L2 U' R' U' D' L
B L2 U' R' U' D2 L
B L2 U' R' D U' L
B L2 U' R' D' U' L
B L2 U' R' D2 U' L
B L2 U' D R' U' L
B L2 U' D' R' U' L
B L2 U' D2 R' U' L
B L2 U2 L U R' U'
B L2 D U' R' U' L
B L2 D' U' R' U' L
F2 L2 D' B R F' U2
B L2 D2 U' R' U' L
B L2 F U' R' U' L
B L2 F' U' R' U' L
B L2 F2 U' R' U' L
F2 L2 B R U' R2 U'
F2 L2 B R U2 D B2
F2 L2 B R D U2 B2
F2 L2 B R D' F2 U2
B' L2 B2 R' U L' U
B R L2 U' R2 U' L
B R L2 U2 L D B2
B R L2 U2 D L B2
B R L2 D U2 L B2
B R L2 D' F2 U2 L
D2 R' L' D R' F' B
D2 R' L' D R' B F'
D2 R' D L' R' F' B
D2 R' D L' R' B F'
D2 R' D R' L' F' B
D2 R' D R' L' B F'
D2 R' D R' B L' F'
L' U2 L' B U' R' U'
L' U2 D L' F B U2
L' U2 D L' B F U2
L2 U2 D L B' D2 F2
L' U2 D B L' F U2
D2 R2 L' F' U R U'
D2 R2 L2 D' L F' B'
D2 R2 L2 D' L B' F'
D2 R2 L2 D' F' L B'
B R2 L2 U' R U' L
L' U2 B L' U' R' U'
D2 R2 D' L F' B' L2
D2 R2 D' L B' L2 F'
D2 R2 D' L B' F' L2
D2 R2 D' L' F' D2 B2
L2 D L B' D2 F2 R
L2 D R' U2 L F B'
L2 D R' U2 L B' F
L2 D R2 U2 L F' B'
L2 D R2 U2 L B' F'
L2 D R2 U2 F' L B'
L' D U2 L' F B U2
L' D U2 L' B F U2
L2 D U2 L B' D2 F2
L' D U2 B L' F U2
L' D B L' F U2 L
L2 D B U2 L B' L
L2 D B U2 B' L B'
B U D' B2 L U L2
L2 D' R' U2 L F B
L2 D' R' U2 L B F
L' D' R2 F2 R F B
L' D' R2 F2 R B F
L' D' F' R2 F' R B
B2 U' L2 U2 F L B'
B U' R' U L2 U2 L
B U' R' U' D2 L' R2
B U' R' U' D2 R2 L'
B U' R' D2 U' L' R2
B U' R' D2 U' R2 L'
L2 D' B2 R' B' U2 B2
B U' D2 R' U' L' R'
B U' D2 R' U' R' L'
B2 U' B' L2 U2 L B'
B' D L2 F2 R U' L
B' D' L R2 B2 U L2
B' D' L B2 R2 U L2
B' D' L' D' R2 F2 B2
B' D' L' D' R2 B2 F2
B' D' L' D' F2 R2 B2
B' D' L' D' F2 B2 R2
B' D' L' D' B2 R2 F2
B' D' L' D' B2 F2 R2
B' D' R2 L B2 U L2
B D' U B2 L U L2
L' F2 R2 D' F' R' B
L' F2 R2 F' D' R' B
B' D2 L U L2 R2 F2
B' D2 L U L2 F2 R2
B' D2 L U R2 L2 F2
B' D2 L U R2 F2 L2
B' D2 L U F2 L2 R2
B' D2 L U F2 R2 L2
B' D2 L' R2 F2 D' B2
B' D2 L' F2 R2 D' B2
B' D2 R2 L' F2 D' B2
L' B L' U' R' U' L
B D2 U' R' U' L' R'
B D2 U' R' U' R' L'
U' B L2 U' R' U' L
U2 B L2 U' R' U' L
U B L2 U' R' U' L
L2 B U' R' B' U' L
L2 B U' D' R' B U'
L2 B U2 B' D L B'
F2 B L2 R U' R2 U'
F2 B L2 R U2 D B2
F2 B L2 R D U2 B2
F2 B L2 R D' F2 U2
F2 B R L2 U' R2 U'
F2 B R L2 U2 D B2
F2 B R L2 D U2 B2
F2 B R L2 D' F2 U2
L2 B D' U' R' B U'
L2 B2 R' B' U' R' U'
B F2 L2 R U' R2 U'
B F2 L2 R U2 D B2
B F2 L2 R D U2 B2
B F2 L2 R D' F2 U2
B F2 R L2 U' R2 U'
B F2 R L2 U2 D B2
B F2 R L2 D U2 B2
B F2 R L2 D' F2 U2
