F U' L' F
F L U' L2 F
L' U' F L' R
L' U' F R L'
F U' L' D F
F U' L' D' F
F U' L' D2 F
F U' L' F D
F U' L' F D'
F U' L' F D2
B' F U' L' F
F B U' L' F
B F U' L' F
B2 F U' L' F
F B' U' L' F
F B2 U' L' F
F L U B' U2 L2
F L U' L2 D F
F L U' L2 D' F
F L U' L2 D2 F
F L U' L2 F D
F L U' L2 F D'
F L U' L2 F D'
F L U' L2 F D2
F L U' F L2 F
F L U' F' L2 F
F L U' F2 L2 F
B' L' U' F L' R
B' L' U' F R L'
B2 L' U' F L' R
B2 L' U' F R L'
B L' U' F L' R
B L' U' F R L'
F2 L' F' U' L' F2
F' L' F2 U' L' F'
L' U' R F L' R
L' U' R F R L'
L' U' R' F L' R
L' U' R' F R L'
L' U' R2 F L' R
L' U' R2 F R L'
L' U' F L' R D
L' U' F L' R D'
L' U' F L' R D2
L' U' F L' D R
L' U' F L' D' R
L' U' F L' D2 R
L' U' F R L' D
L' U' F R L' D'
L' U' F R L' D2
L' U' F R D L'
L' U' F R D' L'
L' U' F R D2 L'
L' U' F D L' R
L' U' F D R L'
L' U' F D' L' R
L' U' F D' R L'
L' U' F D2 L' R
L' U' F D2 R L'
F U R U2 L' F
F U R' U2 L' F
F U R2 U2 L' F
F U B U2 L' F
F U B U2 L' F
F U B' U2 L' F
F U B2 U2 L' F
F U' L F L2 F
F U' L F' L2 F
F U' L F2 L2 F
F U' L' R F R'
F U' L' R2 F R2
F U' L' D F D
F U' L' D F D'
F U' L' D F D'
F U' L' D F D2
F U' L' D' F D
F U' L' D' F D'
F U' L' D' F D2
F U' L' D2 F D
F U' L' D2 F D'
F U' L' D2 F D2
F U' L' F2 D F'
F U' L' F2 D' F'
F U' L' F2 D2 F'
F U' L2 D L F
F U' L2 D' L F
F U' L2 D2 L F
F U' L2 F L F
F U' L2 F' L F
F U' L2 F2 L F
F U' R L' F R'
F U' R2 L' F R2
F U' F' L' F L'
F U' B' L' F B
F U' B' L' B F
F U' B2 L' F B2
F U' B2 L' B2 F
F U2 R U L' F
F U2 R' U L' F
F U2 R2 U L' F
D' F L B' L U'
R2 F R2 U' L' F
R F R' U' L' F
R F R' U' L' F
D' F B' L B' U'
F D' B' L U' L2
L' B U' F L' R
L' B U' F R L'
B' F L U' L2 F
B2 F L U' L2 F
B F L U' L2 F
F B L U' L2 F
B' F U' L' D F
B' F U' L' D' F
B' F U' L' D2 F
B' F U' L' F D
B' F U' L' F D'
B' F U' L' F D2
B2 F U' L' D F
B2 F U' L' D' F
B2 F U' L' D2 F
B2 F U' L' F D
B2 F U' L' F D'
B2 F U' L' F D2
B F U' L' D F
B F U' L' D' F
B F U' L' D2 F
B F U' L' F D
B F U' L' F D'
B F U' L' F D2
F B U' L' D F
F B U' L' D' F
F B U' L' D2 F
F B U' L' F D
F B U' L' F D'
F B U' L' F D2
L' B' U' F L' R
L' B' U' F R L'
F B' L U' L2 F
D' B' F L B' U'
F B' U' L' D F
F B' U' L' D' F
F B' U' L' D2 F
F B' U' L' F D
F B' U' L' F D'
F B' U' L' F D2
L' B2 U' F L' R
L' B2 U' F R L'
F B2 L U' L2 F
F B2 U' L' D F
F B2 U' L' D' F
F B2 U' L' D2 F
F B2 U' L' F D
F B2 U' L' F D'
F B2 U' L' F D2
F L U R U2 L2 F
F L U R B' U2 L2
F L U R' U2 L2 F
F L U R' B' U2 L2
F L U R2 U2 L2 F
F L U R2 B' U2 L2
F L U D2 R2 B' U2
F L U D2 B' R2 U2
F L U B' R U2 L2
F L U B' R' U2 L2
F L U B' R2 U2 L2
F L U B' U2 L2 D
F L U B' U2 L2 D'
F L U B' U2 L2 D2
F L U B' D2 R2 U2
F L U' L D L F
F L U' L D' L F
F L U' L D2 L F
F L U' L F L F
F L U' L F' L F
F L U' L F2 L F
F L U' L2 R F R'
F L U' L2 R2 F R2
F L U' L2 D F D
F L U' L2 D F D'
F L U' L2 D F D2
F L U' L2 D' F D
F L U' L2 D' F D'
F L U' L2 D' F D2
F L U' L2 D2 F D
F L U' L2 D2 F D'
F L U' L2 D2 F D2
F L U' L2 F2 D F'
F L U' L2 F2 D' F'
F L U' L2 F2 D2 F'
F L U' R L2 F R'
F L U' R2 L2 F R2
F L U' F L2 D F
F L U' F L2 D' F
F L U' F L2 D2 F
F L U' F L2 F D
F L U' F L2 F D'
F L U' F L2 F D2
F L U' F' L2 D F
F L U' F' L2 D' F
F L U' F' L2 D2 F
F L U' F' L2 F D
F L U' F' L2 F D'
F L U' F' L2 F D2
F L U' F2 L2 D F
F L U' F2 L2 D' F
F L U' F2 L2 D2 F
F L U' F2 L2 F D
F L U' F2 L2 F D'
F L U' F2 L2 F D2
F L U2 R U L2 F
F L U2 R' U L2 F
F L U2 R2 U L2 F
F L U2 F U L2 F
F L U2 F' U L2 F
F L U2 F2 U L2 F
F L D' L2 B2 U' F
F L D' B2 U B U2
F L D2 U R2 B' U2
F L D2 U B' R2 U2
F2 L F' L2 U' F L
F2 L F' U B' U2 L'
F2 L F' U' L2 F L
F' L F2 L2 U' F L
F' L F2 U B' U2 L'
F' L F2 U' L2 F L
F L B U B2 U2 L2
F L B U' L2 D2 F2
D' L B' L U2 B' U
D' L B' L' F L2 U'
F L B' U' L2 D F2
F L B2 U B U2 L2
B' L' U' R F L' R
B' L' U' R F R L'
B' L' U' R' F L' R
B' L' U' R' F R L'
B2 L' U' R F L' R
B2 L' U' R F R L'
B' L' U' R2 F L' R
B' L' U' R2 F R L'
B2 L' U' R' F L' R
B2 L' U' R' F R L'
B L' U' R F L' R
B L' U' R F R L'
B2 L' U' R2 F L' R
B2 L' U' R2 F R L'
B L' U' R' F L' R
B L' U' R' F R L'
B' L' U' F L' R D
B' L' U' F L' R D'
B' L' U' F L' R D2
B' L' U' F L' D R
B' L' U' F L' D' R
B' L' U' F L' D2 R
B' L' U' F R L' D
B' L' U' F R L' D'
B' L' U' F R L' D2
B' L' U' F R D L'
B' L' U' F R D' L'
B' L' U' F R D2 L'
B L' U' R2 F L' R
B L' U' R2 F R L'
B' L' U' F D L' R
B' L' U' F D R L'
B' L' U' F D' L' R
B' L' U' F D' R L'
B' L' U' F D2 L' R
B' L' U' F D2 R L'
B2 L' U' F L' R D
B2 L' U' F L' R D'
B2 L' U' F L' R D2
B2 L' U' F L' D R
B2 L' U' F L' D' R
B2 L' U' F L' D2 R
B2 L' U' F R L' D
B2 L' U' F R L' D'
B2 L' U' F R L' D2
B2 L' U' F R D L'
B2 L' U' F R D' L'
B2 L' U' F R D2 L'
B2 L' U' F D L' R
B2 L' U' F D R L'
B2 L' U' F D' L' R
B2 L' U' F D' R L'
B2 L' U' F D2 L' R
B2 L' U' F D2 R L'
B L' U' F L' R D
B L' U' F L' R D'
B L' U' F L' R D2
B L' U' F L' D R
B L' U' F L' D' R
B L' U' F L' D2 R
B L' U' F R L' D
B L' U' F R L' D'
B L' U' F R L' D2
B L' U' F R D L'
B L' U' F R D' L'
B L' U' F R D2 L'
F L' U' F U' F' U
B L' U' F D L' R
B L' U' F D R L'
B L' U' F D' L' R
B L' U' F D' R L'
B L' U' F D2 L' R
B L' U' F D2 R L'
F L' U' F2 D' L2 F'
F L' U' F2 D' F' L2
F L' D L U' L' F
F L' D L2 U' L2 F
F2 L' D F' U' L' F2
F L' D' L U' L' F
F L' D' L2 U' L2 F
F2 L' D' F' U' L' F2
F L' D2 L U' L' F
F L' D2 L2 U' L2 F
F2 L' D2 F' U' L' F2
U' L' F L' U' B' U
F2 L' F' L U' L2 F2
F2 L' F' L U' F2 L2
F2 L' F' L2 U' L F2
F2 L' F' L2 U' F2 L
F2 L' F' U' L F2 L2
F2 L' F' U' L' F2 D
F2 L' F' U' L' F2 D'
F2 L' F' U' L' F2 D2
F2 L' F' U' L2 F2 L
F2 L' F' D' L2 U' L
F2 L' F' B U' L' F2
F' L' F2 L U' L2 F'
F' L' F2 L U' F' L2
F2 L' F' B' U' L' F2
F2 L' F' B2 U' L' F2
F' L' F2 L2 U' L F'
F' L' F2 L2 U' F' L
F' L' F2 U' L F' L2
F' L' F2 U' L' D F'
F' L' F2 U' L' D' F'
F' L' F2 U' L' D2 F'
F' L' F2 U' L' F' D
F' L' F2 U' L' F' D'
F' L' F2 U' L' F' D2
F' L' F2 U' L2 F' L
F' L' F2 U' D L' F'
F' L' F2 U' D' L' F'
F' L' F2 U' D2 L' F'
F' L' F2 D U' L' F'
F' L' F2 D' U' L' F'
F' L' F2 D2 U' L' F'
F' L' F2 B U' L' F'
F' L' F2 B' U' L' F'
F' L' F2 B2 U' L' F'
F L' B L U' L' F
B' L' B U' F L' R
B' L' B U' F R L'
F L' B L2 U' L2 F
B2 L' B U' F L' R
B2 L' B U' F R L'
B L' B U' F L' R
B L' B U' F R L'
F' L' B F2 U' L' F'
F2 L' B F' U' L' F2
F L' B' L U' L' F
B' L' B' U' F L' R
B' L' B' U' F R L'
F L' B' L2 U' L2 F
B2 L' B' U' F L' R
B2 L' B' U' F R L'
B L' B' U' F L' R
B L' B' U' F R L'
F' L' B' F2 U' L' F'
F2 L' B' F' U' L' F2
F L' B2 L U' L' F
B' L' B2 U' F L' R
B' L' B2 U' F R L'
F L' B2 L2 U' L2 F
B2 L' B2 U' F L' R
B2 L' B2 U' F R L'
B L' B2 U' F L' R
B L' B2 U' F R L'
F' L' B2 F2 U' L' F'
F2 L' B2 F' U' L' F2
F L2 U' F' L D F2
F L2 U2 R' U L F'
F L2 U2 R' U F' L
F L2 D L' U' L2 F
F L2 D L2 U' L' F
F L2 D' L' U' L2 F
F L2 D' L2 U' L' F
F L2 D2 L' U' L2 F
F L2 D2 L2 U' L' F
F2 L2 F' L U' F L2
L' U R U2 F L' R
L' U R U2 F R L'
R' U R F U' L' F
F' L2 F2 L U' F L2
L' U R' U2 F L' R
L' U R' U2 F R L'
L' U R2 U2 F L' R
L' U R2 U2 F R L'
R U R' F U' L' F
R2 U R2 F U' L' F
R2 U F R2 U' L' F
R U F R' U' L' F
U' R U F U' L' F
U R U' F U' L' F
U2 R U2 F U' L' F
L' U B' U2 R' F L'
L' U B' U2 F L' R'
L' U B' U2 F R' L'
L' U' L F L' R F
L' U' L F R L' F
B' R F R' U' L' F
B2 R F R' U' L' F
B R F R' U' L' F
R' U' R F U' L' F
L' U' R F L' R D
L' U' R F L' R D'
