U2 R U' L2 R'
U2 R U' R' L2
D L F2 L' U R
F2 L' U L' D2 R2
F2 L' U' L U2 L2
F2 L' B2 U L' R'
F2 L' B2 U R' L'
U2 L2 U L2 R U'
U2 L2 U R L2 U'
U L2 U R U' R'
U' R U' L2 D F2
U2 R U' L2 R' D
U2 R U' L2 R' D'
U2 R U' L2 R' D2
U2 R U' L2 D R'
U2 R U' L2 D' R'
U2 R U' L2 D2 R'
U2 R U' R' L2 D
U2 R U' R' L2 D'
U2 R U' R' L2 D2
U2 R F U' L2 R'
U2 R F U' R' L2
U2 R F' U' L2 R'
U2 R F' U' R' L2
U2 R F2 U' L2 R'
U2 R F2 U' R' L2
U' R B U' L2 F
R U2 R' U L2 R
R U2 R' U R L2
D U F2 L' U F2
U D F2 L' U F2
U2 D' B2 R U' R'
B2 U2 R U' L2 R'
B2 U2 R U' R' L2
B' U2 R U' L2 R'
B' U2 R U' R' L2
B U2 R U' L2 R'
B U2 R U' R' L2
D' U2 B2 R U' R'
L F2 L' U L2 R
L F2 L' U R L2
D F2 L' U' L U2
U F2 L' U L' F2
D F2 L' B2 U R'
U' B R U' L2 F
U2 B R U' L2 R'
U2 B R U' R' L2
U2 B' R U' L2 R'
U2 B' R U' R' L2
U2 B2 R U' L2 R'
U2 B2 R U' R' L2
U2 L U L' R U' L2
U2 L U R L' U' L2
U L U R U' L R'
U L U R U' R' L
U' L U' R U' L R'
U' L U' R U' R' L
D2 L D' F2 L' U R
D' L D2 F2 L' U R
B' L F2 L' U L2 R
B' L F2 L' U R L2
D L F2 L' U R D
D L F2 L' U R D'
D L F2 L' U R D2
D L F2 L' U D R
D L F2 L' U D' R
D L F2 L' U D2 R
B2 L F2 L' U L2 R
B2 L F2 L' U R L2
D L F2 L' D U R
D L F2 L' D' U R
D L F2 L' D2 U R
D L F2 L' B U R
D L F2 L' B' U R
D L F2 L' B2 U R
F2 L F2 L2 U L' R
F2 L F2 L2 U R L'
B L F2 L' U L2 R
B L F2 L' U R L2
L' R B2 L U' L2 R'
L' R B2 L U' R' L2
U L F2 L' U L2 F2
U L F2 L' U F2 L2
D L F2 D L' U R
D L F2 D' L' U R
D L F2 D2 L' U R
D L F2 B L' U R
D L F2 B' L' U R
D L F2 B2 L' U R
D L B F2 L' U R
D L B' F2 L' U R
D L B2 F2 L' U R
D' L' R B2 L U' R'
F' L' U L' D2 R2 B'
F' L' U L' D2 B' R2
F' L' U L' B' D2 R2
U2 L' U L R U' L2
F2 L' U L' R D2 R2
F2 L' U L' R' D2 R2
F2 L' U L' R2 D2 R2
F2 L' U L' U2 L2 U2
F2 L' U L' D2 R2 D
F2 L' U L' D2 R2 D'
F2 L' U L' D2 R2 D2
F2 L' U R L' D2 R2
U2 L' U R L U' L2
F2 L' U R' L' D2 R2
F2 L' U R2 L' D2 R2
F2 L' U D L' D2 R2
F2 L' U D' L' D2 R2
U L' U R U' L' R'
U L' U R U' R' L'
F2 L' U D2 L' D2 R2
F' L' U B' L' B' R'
F' L' U B2 L' R' B'
F' L' U B2 R' L' B'
F2 L' U B2 L' R' B2
F2 L' U B2 R' L' B2
F2 L' U B2 R' B2 L'
F2 L' U' L R U2 L2
F2 L' U' L R' U2 L2
F2 L' U' L R2 U2 L2
F2 L' U' L U2 L2 D
F2 L' U' L U2 L2 D'
F2 L' U' L U2 L2 D2
F2 L' U' L D2 R2 U2
U' L' U' R U' L' R'
U' L' U' R U' R' L'
F2 L' U' R L U2 L2
F2 L' U' R' L U2 L2
F2 L' U' R2 L U2 L2
F2 L' U' D L U2 L2
F2 L' U' D' L U2 L2
F2 L' U' D2 L U2 L2
D' L' U2 R B2 U' R'
D' L' U2 B2 R U' R2
F2 L' U2 B2 U' L' R'
F2 L' U2 B2 U' R' L'
F2 L' D U L' D2 R2
F2 L' D U' L U2 L2
F2 L' D B2 U L' R'
F2 L' D B2 U R' L'
F2 L' D' U L' D2 R2
F2 L' D' U' L U2 L2
F2 L' D' B2 U L' R'
F2 L' D' B2 U R' L'
F2 L' D2 U L' D2 R2
F2 L' D2 U' L U2 L2
F2 L' D2 B2 U L' R'
F2 L' D2 B2 U R' L'
R L' B2 L U' L2 R'
R L' B2 L U' R' L2
U L' F' U F L' B'
D L' F2 L' U D2 R2
D L' F2 L' U' L2 U2
D L' F2 L' D' B2 U
D L' F2 L' D2 U R2
U L' F2 L' U F2 L'
F2 L' F2 U' L R U2
F2 L' F2 U' R L U2
D L' F2 B2 L' U R'
F' L' B2 U L' R' B'
F' L' B2 U R' L' B'
F2 L' B2 U L' R' D
F2 L' B2 U L' R' D'
F2 L' B2 U L' R' D2
F2 L' B2 U L' D R'
F2 L' B2 U L' D' R'
F2 L' B2 U L' D2 R'
F2 L' B2 U R' L' D
F2 L' B2 U R' L' D'
F2 L' B2 U R' L' D2
F2 L' B2 U R' D L'
F2 L' B2 U R' D' L'
F2 L' B2 U R' D2 L'
F2 L' B2 U D L' R'
F2 L' B2 U D R' L'
F2 L' B2 U D' L' R'
F2 L' B2 U D' R' L'
F2 L' B2 U D2 L' R'
F2 L' B2 U D2 R' L'
F2 L' B2 D U L' R'
F2 L' B2 D U R' L'
F2 L' B2 D' U L' R'
F2 L' B2 D' U R' L'
F2 L' B2 D2 U L' R'
F2 L' B2 D2 U R' L'
D L' B2 F2 L' U R'
U2 L2 R' D R F2 B2
U2 L2 R' D R B2 F2
U2 L2 R' D B2 R F2
U L2 R' U R2 U' R2
U L2 R' D B2 D' R2
U L2 R2 U R' U' R
U2 L2 U L2 R U' D
U2 L2 U L2 R U' D'
U2 L2 U L2 R U' D2
U2 L2 U L2 R D U'
U2 L2 U L2 R D' U'
U2 L2 U L2 R D2 U'
U2 L2 U L2 D R U'
U2 L2 U L2 D' R U'
U2 L2 U L2 D2 R U'
U2 L2 U R L2 U' D
U2 L2 U R L2 U' D'
U2 L2 U R L2 U' D2
U2 L2 U R L2 D U'
U2 L2 U R L2 D' U'
U2 L2 U R L2 D2 U'
U2 L2 U R U' D F2
U2 L2 U R D U' F2
U2 L2 U D R U' F2
U L2 U R U' R' D
U L2 U R U' R' D'
U L2 U R U' R' D2
U L2 U R U' D R'
U L2 U R U' D' R'
U L2 U R U' D2 R'
U L2 U R D U' R'
U L2 U R D' U' R'
U L2 U R D2 U' R'
U L2 U R F U' R'
U L2 U R F' U' R'
U L2 U R F2 U' R'
U L2 U D R U' R'
U L2 U D' R U' R'
U L2 U D2 R U' R'
U2 L2 D U R U' F2
U2 L2 D F2 U' L' U
U L2 D U R U' R'
F2 L2 D' L B2 U L'
D2 L2 D' F2 L' B2 U
D2 L2 D' F2 B2 L' U
D2 L2 D' B2 F2 L' U
U L2 D' U R U' R'
F2 L2 D2 L U L' R2
