B' L2 D' L' F2 R B
B' R F2 L' U' L2 B
B' R F2 L' U' B L2
U2 R F2 L' U' B' L
F' R2 B U' R' U2 B
F2 U2 L' R2 U B' L
F2 U2 R2 L' U B' L
D2 F D L' F2 R B
B' D R2 D2 L F2 B'
B' D R2 D2 L B' F2
B' D R2 D2 F2 L B'
B D R' F' B2 L U2
B D R' B2 L F' U2
B D R' B2 F' L U2
B' D B2 R' F' U2 R'
B' D' L' F2 L2 R B
B' D' L' F2 R L2 B
B' D' L' F2 R B L2
B2 D' L' F2 R B L
B' D' L2 U2 L' F2 B'
B' D' L2 U2 L' B' F2
B D' L2 R' F' U2 F'
B D' R' L2 F' U2 F'
B D' R' F' L2 U2 F'
R F2 L' U' B' L B2
R F2 L' B' U' L B2
R F2 B' L' U' L2 B2
R F2 B' L' U' B2 L2
R2 B D2 B2 U L B'
R B' F2 L' U' L2 B2
R B' F2 L' U' B2 L2
