B' L2 R' F U
B' L2 F R' U
B' R' L2 F U
B' L2 R F R2 U
B' L2 R' D F U
B' L2 R' D' F U
B' L2 R' D2 F U
B' L2 R' F U D
B' L2 R' F U D'
B' L2 R' F U D2
B' L2 R' F D U
B' L2 R' F D' U
B' L2 R' F D2 U
B' L2 D R' F U
B' L2 D F R' U
B' L2 D' R' F U
B' L2 D' F R' U
B' L2 D2 R' F U
B' L2 D2 F R' U
B' L2 F R' U D
B' L2 F R' U D'
B' L2 F R' U D2
B' L2 F R' D U
B' L2 F R' D' U
B' L2 F R' D2 U
B' L2 F D R' U
B' L2 F D' R' U
B' L2 F D2 R' U
B' L2 F' R' F2 U
B' R L2 F R2 U
B' R' L2 D F U
B' R' L2 D' F U
B' R' L2 D2 F U
B' R' L2 F U D
B' R' L2 F U D'
B' R' L2 F U D2
B' R' L2 F D U
B' R' L2 F D' U
B' R' L2 F D' U
B' R' L2 F D2 U
B' R' F L2 F U
B' R' F' L2 F U
B' R' F2 L2 F U
B2 U2 L2 B R' U
B2 U2 B L2 R' U
B2 U2 B R' L2 U
B' F L2 R' F U
B' F L2 F R' U
B' F R' L2 F U
R' B' L2 R' F U
R' B' L2 F R' U
R2 B' L2 R' F U
U2 B' L2 F R U
R2 B' L2 F R' U
R' B' R' L2 F U
R2 B' R' L2 F U
R B' L2 R' F U
R B' L2 F R' U
F' B' L2 R' F U
F' B' L2 F R' U
B' F' L2 R' F U
B' F' L2 F R' U
F2 B' L2 R' F U
R B' R' L2 F U
F2 B' L2 F R' U
F' B' R' L2 F U
B' F' R' L2 F U
F B' L2 R' F U
F B' L2 F R' U
F2 B' R' L2 F U
F B' R' L2 F U
B' F2 L2 R' F U
B' F2 L2 F R' U
B' F2 R' L2 F U
B' L R' D L F U
B' L R' D' L F U
B' L R' D2 L F U
B' L R' F L F U
B' L R' F' L F U
B' L R' F2 L F U
B2 L U2 L B R' U
B' L D L R' F U
B' L D L F R' U
B' L D R' L F U
B' L D' L R' F U
B' L D' L F R' U
B' L D' R' L F U
B' L D2 L R' F U
B' L D2 L F R' U
B' L D2 R' L F U
B' L F L R' F U
B' L F L F R' U
B' L F R' L F U
B' L F' L R' F U
B' L F' L F R' U
B' L F' R' L F U
B' L F2 L R' F U
B' L F2 L F R' U
B' L F2 R' L F U
U' L B2 R' U' F R
B2 L' U2 L' B R' U
B2 L' U2 B L' R' U
B2 L' U2 B R' L' U
B' L2 R D' F U F
B' L2 R F R2 U D
B' L2 R F R2 U D'
B' L2 R F R2 U D2
B' L2 R F R2 D U
B' L2 R F R2 D' U
B' L2 R F R2 D2 U
B' L2 R F U D' F2
B' L2 R F D' U F2
B' L2 R F' R2 F2 U
B' L2 R' D F U D
B' L2 R' D F U D'
B' L2 R' D F U D2
B' L2 R' D F D U
B' L2 R' D F D' U
B' L2 R' D F D2 U
B' L2 R' D' F U D
B' L2 R' D' F U D'
B' L2 R' D' F U D2
B' L2 R' D' F D U
B' L2 R' D' F D' U
B' L2 R' D' F D2 U
B' L2 R' D2 F U D
B' L2 R' D2 F U D'
B' L2 R' D2 F U D2
B' L2 R' D2 F D U
B' L2 R' D2 F D' U
B' L2 R' D2 F D2 U
B' L2 R' F' U D' L2
B' L2 R' F' D' U L2
B' L2 R' F2 D F' U
B' L2 R' F2 D' F' U
B' L2 R' F2 D2 F' U
B' L2 R2 D R F U
B' L2 R2 D' R F U
B' L2 R2 D2 R F U
B' L2 D R F R2 U
B' L2 D R' D F U
B' L2 D R' D' F U
B' L2 D R' D2 F U
B' L2 D R' F U D
B' L2 D R' F U D'
B' L2 D R' F U D2
B' L2 D R' F D U
B' L2 D R' F D' U
B' L2 D R' F D2 U
B' L2 D F R' U D
B' L2 D F R' U D'
B' L2 D F R' U D2
B' L2 D F R' D U
B' L2 D F R' D' U
B' L2 D F R' D2 U
B' L2 D F D R' U
B' L2 D F D' R' U
B' L2 D F D2 R' U
B' L2 D F' R' F2 U
B' L2 D' R F R2 U
B' L2 D' R' D F U
B' L2 D' R' D' F U
B' L2 D' R' D2 F U
B' L2 D' R' F U D
B' L2 D' R' F U D'
B' L2 D' R' F U D2
B' L2 D' R' F D U
B' L2 D' R' F D' U
B' L2 D' R' F D2 U
B' L2 D' F R' U D
B' L2 D' F R' U D'
B' L2 D' F R' U D2
B' L2 D' F R' D U
B' L2 D' F R' D' U
B' L2 D' F R' D2 U
B' L2 D' F D R' U
B' L2 D' F D' R' U
B' L2 D' F D2 R' U
B' L2 D' F' R' F2 U
B' L2 D2 R F R2 U
B' L2 D2 R' D F U
B' L2 D2 R' D' F U
B' L2 D2 R' D2 F U
B' L2 D2 R' F U D
B' L2 D2 R' F U D'
B' L2 D2 R' F U D2
B' L2 D2 R' F D U
B' L2 D2 R' F D' U
B' L2 D2 R' F D2 U
B' L2 D2 F R' U D
B' L2 D2 F R' U D'
B' L2 D2 F R' U D2
B' L2 D2 F R' D U
B' L2 D2 F R' D' U
B' L2 D2 F R' D2 U
B' L2 D2 F D R' U
B' L2 D2 F D' R' U
B' L2 D2 F D2 R' U
B' L2 D2 F' R' F2 U
B' L2 F R U D' F2
