L2 R B U2 R B
L R B U2 R B2
L R B U2 B2 R
R L B U2 R B2
R L B U2 B2 R
R L B U2 B2 R
D2 L2 R F' B U2
D2 L2 R B F' U2
R L2 B U2 R B
D2 R L2 F' B U2
D2 R L2 B F' U2
D2 R F' L2 B U2
D2 R F' B L2 U2
D2 R B L2 F' U2
D2 R B F' L2 U2
U2 R2 B2 L F B'
U2 R2 B2 L B' F
R' D2 L2 F' R' B
R' D2 F' L2 R' B
R' D2 F' R' L2 B
R' D2 F' R' B L2
R' F' R' B2 L B'
R' F' D2 L2 R' B
R' F' D2 R' L2 B
R' F' D2 R' B L2
R F2 L' F B U2
R F2 L' B F U2
R F2 B L' F U2
R B L U2 R B'
R B L U2 B' R
R B L2 U2 R B
R B F2 L' F U2
U2 L R U2 R F B'
U2 L R U2 R B' F
U2 L R U2 B' R F
D2 L R F' L B U2
B' L R B U2 R B2
B' L R B U2 B2 R
B2 L R B U2 R B2
B2 L R B U2 B2 R
B L R B U2 R B2
B L R B U2 B2 R
F' L R' F' R' B' L'
F2 L R' F' R' B' L2
U2 L R2 F B2 L B
R2 L U2 R' B U2 B2
U2 L R2 B' D2 F L'
L2 R U2 R2 F' R' B
L R U2 R2 F' R' B'
U2 L R2 B2 F L B
R L U2 R2 F' R' B'
L R U2 B' R D2 F2
L R U2 B' D2 R F2
R L U2 B' R D2 F2
R L U2 B' D2 R F2
L2 R D B U2 R B
L R D B U2 R B2
L R D B U2 B2 R
R L D B U2 R B2
R L D B U2 B2 R
L2 R D' B U2 R B
L R D' B U2 R B2
L R D' B U2 B2 R
R L D' B U2 R B2
R L D' B U2 B2 R
R' L D2 F' R' B' L2
L R D2 B U2 R B2
L R D2 B U2 B2 R
L2 R D2 B U2 R B
R L D2 B U2 R B2
R L D2 B U2 B2 R
L' R F U2 R2 F' R
L' R F D2 B U2 R'
R' L F' R' B2 L B
R' L F' D2 R' B' L2
L' R F2 L' F' B U2
L' R F2 L' B F' U2
L2 R F2 L' B U2 B2
L' R F2 B L' F' U2
L R F2 B L' U2 B2
L2 R F2 B L' U2 B'
U2 L F R2 D2 B' L
L' R B L' U2 R B
R L F2 B L' U2 B2
L' R B L2 U2 R B'
L' R B L2 U2 B' R
L R B L U2 R B2
L R B L U2 B2 R
L R B L' U2 R B2
L R B L' U2 B2 R
L2 R B L' U2 R B'
R L B L U2 R B2
L2 R B L' U2 B' R
R L B L U2 B2 R
L R B L2 U2 R B2
