D R U L B R'
R U2 F' U' L B
L R U F' U' F B
L R U F' U' B F
R L U F' U' F B
R L U F' U' B F
R' L U' B R2 U B
L' R U2 F' U' L2 B
L' R U2 F' U' B L2
F2 L D R F2 B R'
F2 L D R B R' F2
F2 L D R B F2 R'
F L D R F' B R'
F L D R B F' R'
F2 L D F2 R B R'
L' R F' U' B L2 F
L R B U F' U' F
R L B U F' U' F
R' L B' D' R2 F2 B
R' L B' D' R2 B F2
L R' U' B R2 U B
D L' R U L2 B R'
D L' R U B L2 R'
D L' R U B R' L2
R L' U2 F' U' L2 B
R L' U2 F' U' B L2
F2 L' R F' U' L2 B
F2 L' R F' U' B L2
R L' F' U' B L2 F
R' L' B R2 U L2 B
R' L' B R2 U B L2
L' R' B R2 U L2 B
L' R' B R2 U B L2
L2 R' B R2 U L' B
L2 R' B R2 U B L'
L R' B' D' R2 F2 B
L R' B' D' R2 B F2
D L2 R U L' B R'
D L2 R U B L' R'
D L2 R U B R' L'
R' L2 B R2 U L' B
R' L2 B R2 U B L'
R U L U F' U' B
R U L B U F' U'
D R L' U L2 B R'
D R L' U B L2 R'
D R L' U B R' L2
F2 R L' F' U' L2 B
F2 R L' F' U' B L2
D R L2 U L' B R'
D R L2 U B L' R'
D R L2 U B R' L'
D2 R U L B D' R2
D' R U L D2 B R'
D2 R U D' L B R'
D R U L B R' D
D R U L B R' D'
D R U L B R' D2
D R U L B D R'
D R U L B D' R'
D R U L B D2 R'
D' R U D2 L B R'
D R U L' B L2 R'
D R U L' B R' L2
D R U L2 B L' R'
D R U L2 B R' L'
R U F' U' F L B
B' R U2 F' U' L' B
B' R U2 F' U' B L'
D2 R D' U L B R'
D' R D2 U L B R'
D R F U L B R'
F' R F' L' U' L2 B
F' R F' L' U' B L2
D' R F' U L B R
D R F' U L B R'
D R F2 U L B R'
L U' R' B L R2 U
L U' R' B R2 L U
B2 R' U B R2 U B
B2 R' F' U B R2 U
B' R' B R2 U L B
R U2 D F' U' L B
R U2 D' F' U' L B
R U2 D2 F' U' L B
R U2 F' U' L D B
R U2 F' U' L D' B
R U2 F' U' L D2 B
R U2 F' U' L B D
R U2 F' U' L B D'
R U2 F' U' L B D2
R U2 F' U' L' B L2
R U2 F' U' L2 B L'
R U2 F' U' D L B
R U2 F' U' D' L B
R U2 F' U' D2 L B
R U2 F' D U' L B
R U2 F' D' U' L B
R U2 F' D2 U' L B
L2 D R U L' B R'
L2 D R U B L' R'
L2 D R U B R' L'
L' D R F2 U B R'
R D U2 F' U' L B
R D' U2 F' U' L B
R D2 U2 F' U' L B
R F U L D B R2
R F U L B D R2
R F U D L B R2
F D L R F' B R'
F D L R B F' R'
R F U2 F2 U' L B
L F D R F' B R'
L F D R B F' R'
R F D U L B R2
F D R L F' B R'
F D R L B F' R'
F D R F' L B R'
R F' L' U' B L2 F
R F' U' L' B L2 F
B D' R F' U B R
R F2 L2 B' U L' B2
R F2 L2 B' U B2 L'
R F2 U L D' B R'
R F2 U2 F U' L B
R' B R2 U B' L B2
R' B' R2 B2 U B' L
R' B' D' R2 F2 B L
R' B' D' R2 B L F2
R' B' D' R2 B F2 L
R B' U2 F' U' L' B2
R B' U2 F' U' B2 L'
