L' R U D2 R2 B'
L' R U D2 B' R2
L' R U B' D2 R2
L' R U' L2 F U2
L2 R U' L' F U2
L' R D' B2 U B
L' R D2 U R2 B'
L' R D2 U B' R2
R L' U D2 R2 B'
R L' U D2 B' R2
R L' U B' D2 R2
R L' U' L2 F U2
B2 L' R U R2 B'
B2 L' R U B' R2
R L' D' B2 U B
R L' D2 U R2 B'
R L' D2 U B' R2
R L2 U' L' F U2
B2 R L' U R2 B'
B2 R L' U B' R2
R U B2 D' R' B
L' D' R B2 U B
L' D2 R U R B'
L' D2 R U B' R
L F U F' R U
R B2 L' U R' B'
L' R U R D2 R2 B'
L' R U R D2 B' R2
L' R U R B' D2 R2
L' R U R' D2 R2 B'
L' R U R' D2 B' R2
B2 L R U' F U2 R2
L' R U R' B' D2 R2
L' R U R2 D2 R2 B'
L' R U R2 D2 B' R2
L' R U R2 B' D2 R2
L' R U D B' D R2
L' R U D2 R B' R
L' R U D2 R2 D B'
L' R U D2 R2 D' B'
L' R U D2 R2 D2 B'
L' R U D2 R2 B' D
L' R U D2 R2 B' D'
L' R U D2 R2 B' D2
L' R U D2 B R2 B2
L' R U D2 B' R2 D
L' R U D2 B' R2 D'
L' R U D2 B' R2 D2
L' R U B' R D2 R2
L' R U B' R' D2 R2
L' R U B' R2 D2 R2
L' R U B' U2 L2 U2
L' R U B' D2 R2 D
L' R U B' D2 R2 D'
L' R U B' D2 R2 D2
L' R U B2 D2 B R2
L' R U' L2 D F U2
L' R U' L2 D' F U2
L' R U' L2 D2 F U2
L' R U' L2 F U2 D
L' R U' L2 F U2 D'
L' R U' L2 F U2 D2
L' R U' L2 F D U2
L' R U' L2 F D' U2
L' R U' L2 F D2 U2
L2 R U' L' D F U2
L2 R U' L' D' F U2
L2 R U' L' D2 F U2
L2 R U' L' F U2 D
L2 R U' L' F U2 D'
L2 R U' L' F U2 D2
L2 R U' L' F D U2
L2 R U' L' F D' U2
L2 R U' L' F D2 U2
L' R U' F L2 F U2
L' R U' F' L2 F U2
L' R U' F2 L2 F U2
L R U' F U' F' U'
R L U' F U' F' U'
L' R U2 D F2 U' B'
U' L U L' R U B'
U' L U R L' U B'
U L U R U L' B
U L U R U B L'
L' R D U B' D R2
L' R D U2 F2 U' B'
L' R D' B2 L U B
L' R D' B2 L' U B
L' R D' B2 L2 U B
L' R D' B2 U D B
L' R D' B2 U D' B
L' R D' B2 U D2 B
L' R D' B2 U B D
L' R D' B2 U B D'
L' R D' B2 U B D2
L' R D' B2 D U B
L' R D' B2 D' U B
L' R D' B2 D2 U B
L' R D2 U R B' R
L' R D2 U R2 D B'
L' R D2 U R2 D' B'
L' R D2 U R2 D2 B'
L' R D2 U R2 B' D
L' R D2 U R2 B' D'
L' R D2 U R2 B' D2
L' R D2 U B R2 B2
L' R D2 U B' R2 D
L' R D2 U B' R2 D'
L' R D2 U B' R2 D2
L' R D2 B U R2 B2
L' R D2 B U B2 R2
L' R D2 B2 U B R2
F2 L D R2 F U2 F
F2 L D F R2 U2 F
R' L F U F' R2 U
R2 L F U F' R' U
L R F U F' U F
R L F U F' U F
F2 L D' F B2 U2 L2
F2 L D' B2 U2 L2 B'
F2 L D' B2 F U2 L2
L' R B L U B2 R'
D2 L F U F' R U
D' L F U F' R U
D L F U F' R U
F2 L F U' L2 B' U'
F L F U F2 R U
L' R B U B2 D2 R2
L' R B U' L2 U2 B2
L2 R B U' L' F U2
L2 R B' U' L' F U2
L' R B' D' B2 U B2
L' R B2 U D2 B R2
L' R B2 U B D2 R2
L' R B2 U' L2 U2 B
L2 R B2 U' L' F U2
L' R B2 D' B2 U B'
L' R B2 D2 U B R2
R L' U R D2 R2 B'
R L' U R D2 B' R2
R L' U R B' D2 R2
R L' U R' D2 R2 B'
R L' U R' D2 B' R2
R L' U R' B' D2 R2
R L' U R2 D2 R2 B'
R L' U R2 D2 B' R2
R L' U R2 B' D2 R2
R L' U D B' D R2
R L' U D2 R B' R
R L' U D2 R2 D B'
R L' U D2 R2 D' B'
R L' U D2 R2 D2 B'
R L' U D2 R2 B' D
R L' U D2 R2 B' D'
R L' U D2 R2 B' D2
R L' U D2 B R2 B2
R L' U D2 B' R2 D
R L' U D2 B' R2 D'
R L' U D2 B' R2 D2
R L' U B' R D2 R2
R L' U B' R' D2 R2
R L' U B' R2 D2 R2
R L' U B' U2 L2 U2
R L' U B' D2 R2 D
R L' U B' D2 R2 D'
R L' U B' D2 R2 D2
R L' U B2 D2 B R2
R L' U' L2 D F U2
R L' U' L2 D' F U2
R L' U' L2 D2 F U2
R L' U' L2 F U2 D
R L' U' L2 F U2 D'
R L' U' L2 F U2 D2
R L' U' L2 F D U2
R L' U' L2 F D' U2
R L' U' L2 F D2 U2
R L' U' F L2 F U2
R L' U' F' L2 F U2
R L' U' F2 L2 F U2
D2 L' R U D2 R2 B'
D2 L' R U D2 B' R2
D2 L' R U B' D2 R2
D' L' R U D2 R2 B'
D' L' R U D2 B' R2
D2 L' R U' L2 F U2
D' L' R U B' D2 R2
D' L' R U' L2 F U2
R L' U2 D F2 U' B'
D L' R U D2 R2 B'
D L' R U D2 B' R2
B2 L' R U R B' R
B2 L' R U R2 D B'
B2 L' R U R2 D' B'
B2 L' R U R2 D2 B'
B2 L' R U R2 B' D
B2 L' R U R2 B' D'
B2 L' R U R2 B' D2
D L' R U B' D2 R2
B2 L' R U B R2 B2
D L' R U' L2 F U2
B2 L' R U B' R2 D
B2 L' R U B' R2 D'
B2 L' R U B' R2 D2
D2 L' R D' B2 U B
D2 L' R D2 U R2 B'
D2 L' R D2 U B' R2
D' L' R D' B2 U B
B L' R U B R' B2
D' L' R D2 U R2 B'
D' L' R D2 U B' R2
B2 L' R D B2 U B
D L' R D' B2 U B
D L' R D2 U R2 B'
D L' R D2 U B' R2
B' L' R B U B2 R'
B2 L' R B U R2 B2
B2 L' R B U B2 R2
B' L' R B2 U B R'
B L' R B U R' B2
B2 L' R B2 U B R2
R L' D U B' D R2
R L' D U2 F2 U' B'
R2 L' D' R' B2 U B
R' L' D' B2 U F2 B
R' L' D' B2 U B F2
L' R' D' B2 U F2 B
L' R' D' B2 U B F2
R L' D' B2 L U B
R L' D' B2 L' U B
R L' D' B2 L2 U B
R L' D' B2 U D B
R L' D' B2 U D' B
R L' D' B2 U D2 B
R L' D' B2 U B D
R L' D' B2 U B D'
R L' D' B2 U B D2
R L' D' B2 D U B
R L' D' B2 D' U B
R L' D' B2 D2 U B
R2 L' D2 R' U R' B'
B2 L' U R' D' F2 B'
B2 L' U R' D' B' F2
B2 L' U R' B' D' F2
R L' D2 U R B' R
R L' D2 U R2 D B'
R L' D2 U R2 D' B'
R L' D2 U R2 D2 B'
R L' D2 U R2 B' D
R L' D2 U R2 B' D'
R L' D2 U R2 B' D2
R L' D2 U B R2 B2
R L' D2 U B' R2 D
R L' D2 U B' R2 D'
R L' D2 U B' R2 D2
R L' D2 B U R2 B2
R L' D2 B U B2 R2
R L' D2 B2 U B R2
L R' F U F' R2 U
B2 L' D R U R2 B'
B2 L' D R U B' R2
D2 L' D' R B2 U B
D' L' D' R B2 U B
R L' B L U B2 R'
B2 L' D' R U R2 B'
B2 L' D' R U B' R2
D L' D' R B2 U B
R L' B U B2 D2 R2
R L' B U' L2 U2 B2
D2 L' D2 R U R B'
D2 L' D2 R U B' R
D' L' D2 R U R B'
D' L' D2 R U B' R
B2 L' D2 R U R2 B'
B2 L' D2 R U B' R2
D L' D2 R U R B'
D L' D2 R U B' R
R L' B' D' B2 U B2
F2 L' D2 B2 U' B R2
R L' B2 U D2 B R2
R L' B2 U B D2 R2
R L' B2 U' L2 U2 B
R L' B2 D' B2 U B'
R L' B2 D2 U B R2
R L2 U' L' D F U2
R L2 U' L' D' F U2
R L2 U' L' D2 F U2
R L2 U' L' F U2 D
R L2 U' L' F U2 D'
R L2 U' L' F U2 D2
R L2 U' L' F D U2
R L2 U' L' F D' U2
R L2 U' L' F D2 U2
B' L' B R U B2 R'
B L' B R U R2 B2
B L' B R U B2 R2
L' R2 D' R' B2 U B
D2 L2 R U' L' F U2
D' L2 R U' L' F U2
L' R2 D2 R' U R' B'
D L2 R U' L' F U2
L R2 F U F' R' U
R L2 B U' L' F U2
R L2 B' U' L' F U2
R L2 B2 U' L' F U2
B2 L2 D2 R U R2 B
L U L2 R U B' L2
L U R L2 U B' L2
R U R B2 D' R' B
R U R' B2 D' R' B
R U R2 B2 D' R' B
R U D B2 D' R' B
B2 R L U' F U2 R2
D2 R L' U D2 R2 B'
D2 R L' U D2 B' R2
D2 R L' U B' D2 R2
D2 R L' U' L2 F U2
D' R L' U D2 R2 B'
D' R L' U D2 B' R2
D' R L' U B' D2 R2
R U D' B2 D' R' B
D' R L' U' L2 F U2
B2 R L' U R B' R
B2 R L' U R2 D B'
B2 R L' U R2 D' B'
B2 R L' U R2 D2 B'
B2 R L' U R2 B' D
B2 R L' U R2 B' D'
B2 R L' U R2 B' D2
D2 R L' D' B2 U B
B2 R L' U B R2 B2
B2 R L' U B' R2 D
B2 R L' U B' R2 D'
B2 R L' U B' R2 D2
D2 R L' D2 U R2 B'
D2 R L' D2 U B' R2
D' R L' D' B2 U B
D' R L' D2 U R2 B'
D' R L' D2 U B' R2
D R L' U D2 R2 B'
D R L' U D2 B' R2
B2 R L' D B2 U B
D R L' U B' D2 R2
D R L' U' L2 F U2
B R L' U B R' B2
B' R L' B U B2 R'
D R L' D' B2 U B
D R L' D2 U R2 B'
D R L' D2 U B' R2
B' R L' B2 U B R'
D2 R L2 U' L' F U2
B2 R L' B U R2 B2
