F' L' R U' F B
F' L' R U' B F
F' R L' U' F B
F' R L' U' B F
F' U2 L' U F B'
F' U2 L' U B' F
L' F' R U' F2 B
L' F' R U' B F2
D2 F' R U' F' B
D2 F' R U' B F'
F' D2 R U' F' B
F' D2 R U' B F'
F' L R U B' U2 B2
F' L R U' B D2 F2
F' L R' U F' B' U2
F' L R' U B' F' U2
L' R U' F B' R' B2
L' R U' B' R' F B2
L' R U' B' R' B2 F
L' R U' B' F R' B2
D2 L F' R U' F' B
D2 L F' R U' B F'
R L' U' F B' R' B2
R L' U' B' R' F B2
R L' U' B' R' B2 F
R L' U' B' F R' B2
F' L' R U' D F B
F' L' R U' D B F
F' L' R U' D' F B
F' L' R U' D' B F
F' L' R U' D2 F B
F' L' R U' D2 B F
F' L' R U' F D B
F' L' R U' F D' B
F' L' R U' F D2 B
F' L' R U' F B D
F' L' R U' F B D'
F' L' R U' F B D2
F' L' R U' B D F
F' L' R U' B D' F
F' L' R U' B D2 F
F' L' R U' B F D
F' L' R U' B F D'
F' L' R U' B F D2
U2 L' R U F R B'
U2 L' R U F B' R
F2 L' R U' F B R
U2 L' R U B' F R
F2 L' R U' B F R
F' L' R D U' F B
F' L' R D U' B F
F' L' R D' U' F B
F' L' R D' U' B F
F' L' R D2 U' F B
F' L' R D2 U' B F
F L' R F2 U' F' B
F L' R F2 U' B F'
F' L' R' U F' U2 F2
F' L' R' U' F D2 B2
U2 L' R2 B U F B2
U2 L' R2 B U B2 F
U2 L' U F D R2 B'
U2 L' U F D B' R2
U2 L' U F B' D R2
U2 L' U B' F D R2
U2 L' U2 F' U' F2 B'
U2 L' U2 F' U' B' F2
F' L' D R U' F B
F' L' D R U' B F
F' L' D' R U' F B
F' L' D' R U' B F
F' L' D2 R U' F B
F' L' D2 R U' B F
D2 L' F' R U' F' B
D2 L' F' R U' B F'
D2 L2 F' R U' F' B
D2 L2 F' R U' B F'
F' R L U B' U2 B2
F' R L U' B D2 F2
F' R L' U' D F B
F' R L' U' D B F
F' R L' U' D' F B
F' R L' U' D' B F
F' R L' U' D2 F B
F' R L' U' D2 B F
F' R L' U' F D B
F' R L' U' F D' B
F' R L' U' F D2 B
F' R L' U' F B D
F' R L' U' F B D'
F' R L' U' F B D2
F' R L' U' B D F
F' R L' U' B D' F
F' R L' U' B D2 F
F' R L' U' B F D
F' R L' U' B F D'
F' R L' U' B F D2
F' R L' D U' F B
F' R L' D U' B F
U2 R L' U F R B'
U2 R L' U F B' R
F' R L' D' U' F B
F' R L' D' U' B F
U2 R L' U B' F R
F2 R L' U' F B R
F2 R L' U' B F R
F' R L' D2 U' F B
F' R L' D2 U' B F
F R L' F2 U' F' B
F R L' F2 U' B F'
R U F' L' U2 F B
R U F' L' U2 B F
F' R U' L' F L B
D2 R U' F' B' R' B2
F' R U' B L' F L
D2 R U' B' F' R' B2
F' R U2 L' U F B
F' R U2 L' U B F
F2 R D F L' U' B
F2 R F L' U' F B
F2 R F L' U' B F
F R F2 L' U' F B
F R F2 L' U' B F
F' R' L U F' B' U2
F' R' L U B' F' U2
F' R' L' U F' U2 F2
F' R' L' U' F D2 B2
R U' B U2 L B' U2
R U2 L' B' U F B2
R U2 L' B' U B2 F
U2 R2 L' B U F B2
U2 R2 L' B U B2 F
D' R2 U2 B R' U B
U2 R2 B L' U F B'
U2 R2 B L' U B' F
L' D F' R U' F2 B
L' D F' R U' B F2
F' U F' U L' U F
L' D' F' R U' F2 B
L' D' F' R U' B F2
F' U2 L U' F B' U2
F' U2 L U' B' F U2
F' U2 L' R U F B'
F' U2 L' R U B' F
F' U2 L' R' U F B'
F' U2 L' R' U B' F
F' U2 L' R2 U F B'
F' U2 L' R2 U B' F
F' U2 L' U D F B'
F' U2 L' U D B' F
F' U2 L' U D' F B'
F' U2 L' U D' B' F
F' U2 L' U D2 F B'
F' U2 L' U D2 B' F
F' U2 L' U F D B'
F' U2 L' U F D' B'
F' U2 L' U F D2 B'
F' U2 L' U F B' D
F' U2 L' U F B' D'
F' U2 L' U F B' D2
F' U2 L' U B' D F
F' U2 L' U B' D' F
F' U2 L' U B' D2 F
F' U2 L' U B' F D
F' U2 L' U B' F D'
F' U2 L' U B' F D2
F' U2 L' D U F B'
F' U2 L' D U B' F
F' U2 L' D' U F B'
F' U2 L' D' U B' F
F2 U2 L' U F B' R'
F2 U2 L' U B' R' F
F2 U2 L' U B' F R'
F' U2 L' D2 U F B'
F' U2 L' D2 U B' F
L' D2 F' R U' F2 B
L' D2 F' R U' B F2
F' U2 R L' U F B'
F' U2 R L' U B' F
F' U2 R' L' U F B'
F' U2 R' L' U B' F
F' U2 R2 L' U F B'
F' U2 R2 L' U B' F
D F L' R F2 U' B
D F L' F2 R U' B
D2 F R F2 U' F B
D2 F R F2 U' B F
L' F R F2 U' F2 B
L' F R F2 U' B F2
D F R L' F2 U' B
F2 D R F L' U' B
D2 F' L R U' F' B
D2 F' L R U' B F'
L' F' L R U' F2 B
L' F' L R U' B F2
L2 F' L R U' F B
L2 F' L R U' B F
D2 F' L' R U' F' B
D2 F' L' R U' B F'
L' F' L' R U' F2 B
L' F' L' R U' B F2
D2 F' L2 R U' F' B
D2 F' L2 R U' B F'
F2 D F L' R U' B
L' F' L2 R U' F2 B
L' F' L2 R U' B F2
F2 D F R L' U' B
D2 F' R L U' F' B
D2 F' R L U' B F'
D2 F' R L' U' F' B
D2 F' R L' U' B F'
D2 F' R L2 U' F' B
D2 F' R L2 U' B F'
L' F' R L U' F2 B
L' F' R L U' B F2
L' F' R L' U' F2 B
L' F' R L' U' B F2
D2 F' R U' D F' B
D2 F' R U' D B F'
D2 F' R U' D' F' B
D2 F' R U' D' B F'
D2 F' R U' D2 F' B
D2 F' R U' D2 B F'
D2 F' R U' F' D B
D2 F' R U' F' D' B
D2 F' R U' F' D2 B
D2 F' R U' F' B D
D2 F' R U' F' B D'
D2 F' R U' F' B D2
D2 F' R U' B D F'
D2 F' R U' B D' F'
D2 F' R U' B D2 F'
D2 F' R U' B F' D
D2 F' R U' B F' D'
D2 F' R U' B F' D2
L' F' R L2 U' F2 B
L' F' R L2 U' B F2
D2 F' R D U' F' B
D2 F' R D U' B F'
D2 F' R D' U' F' B
D2 F' R D' U' B F'
L' F' R U' F2 D B
L' F' R U' F2 D' B
L' F' R U' F2 D2 B
L' F' R U' F2 B D
L' F' R U' F2 B D'
L' F' R U' F2 B D2
L' F' R U' B F2 D
L' F' R U' B F2 D'
L' F' R U' B F2 D2
D2 F' R D2 U' F' B
D2 F' R D2 U' B F'
L' F' R D' L2 U' B
L2 F' R L U' F B
L2 F' R L U' B F
L F' L2 R U' F B
L F' L2 R U' B F
D2 F' R' U F' B U2
D2 F' R' U B F' U2
L' F' R' U F' U2 F'
L F' R L2 U' F B
L F' R L2 U' B F
L F' R U B' U2 B2
L F' R U' B D2 F2
D F' R' U2 R2 U B
L F' R' U F' B' U2
L F' R' U B' F' U2
D F' R2 U2 R' U B
L' F' U2 L' U F2 B'
L' F' U2 L' U B' F2
D F' U2 L' R U B'
D F' U2 R L' U B'
U F' U2 L' U F L
D' F' D' R U' F' B
D' F' D' R U' B F'
L' F' D' L2 R U' B
L' F' D' R L2 U' B
D2 F2 R F U' F2 B
D2 F2 R F U' B F2
F' D2 L R U' F' B
F' D2 L R U' B F'
F' D2 L' R U' F' B
F' D2 L' R U' B F'
F' D2 L2 R U' F' B
F' D2 L2 R U' B F'
F' D2 R L U' F' B
F' D2 R L U' B F'
F' D2 R L' U' F' B
F' D2 R L' U' B F'
F' D2 R L2 U' F' B
F' D2 R L2 U' B F'
F' D2 R U' D F' B
F' D2 R U' D B F'
F' D2 R U' D' F' B
F' D2 R U' D' B F'
F' D2 R U' D2 F' B
F' D2 R U' D2 B F'
F' D2 R U' F' D B
F' D2 R U' F' D' B
F' D2 R U' F' D2 B
F' D2 R U' F' B D
F' D2 R U' F' B D'
F' D2 R U' F' B D2
F' D2 R U' B D F'
F' D2 R U' B D' F'
F' D2 R U' B D2 F'
F' D2 R U' B F' D
F' D2 R U' B F' D'
F' D2 R U' B F' D2
F' D2 R D U' F' B
F' D2 R D U' B F'
F' D2 R D' U' F' B
F' D2 R D' U' B F'
F' D2 R D2 U' F' B
F' D2 R D2 U' B F'
F2 D2 R F U' F2 B
F2 D2 R F U' B F2
F' D2 R' U F' B U2
F' D2 R' U B F' U2
F2 D2 F R U' F' B
F2 D2 F R U' B F'
