U2 B R U L U
U L U B R F U2
U L' U B R U2 B2
U L' U' B' D2 F2 L'
F2 L2 D' L B' D2 F2
R2 U F R2 F2 L' B'
U2 R U R U F' B
U2 R U R U B F'
B R U L' U R' B'
B R U' R U' B R2
B R F U' R U' R2
B R F U2 R' D B2
B R F' U L' U R'
R U' R U' F' B R2
R U' R U' B F' R2
B R F2 U2 D R' B
B R F2 D U2 R' B
L' U2 B R U L U
L2 U2 B R U L U
L U2 B R U L U
U2 D B R U L U
F' U' L' U' B U2 L
U2 D' B R U L U
D' U2 B R U L U
B2 U2 R B' U' R' U'
D2 U2 B R U L U
U2 D2 B R U L U
D U2 B R U L U
R2 F R U' R F2 L'
F' U2 B U L' U L2
F' U2 B U2 L D' B2
B2 U2 B' R U' R2 U'
B2 U2 B' R U2 D B2
B2 U2 B' R D U2 B2
B2 U2 B' R D' F2 U2
B' U2 B2 D' R F' U2
R F U' R U' F' R2
F2 D' L B' L2 D2 F2
F2 D' L B2 L2 F B
F2 D' L B2 L2 B F
F2 D' L' U2 F B U2
F2 D' L' U2 B F U2
U2 F' B U L F U
R2 F' B2 L R2 D' B2
R2 F' B2 R2 L D' B2
U F2 L' D R2 F' B'
U F2 L' D R2 B' F'
F2 D' B' L B' L2 F
U F2 D L' R2 F' B'
U F2 D L' R2 B' F'
U F2 D R2 L' F' B'
U F2 D R2 L' B' F'
U2 F2 B U L U L2
U2 F2 B U2 L' D' B2
U' B R U B' U B2
U' B R U2 B D' R2
B' D2 F2 L2 D' L B'
U2 B R U L U D
U2 B R U L U D'
U2 B R U L U D2
U2 B R U L D U
U2 B R U L D' U
U2 B R U L D2 U
U2 B R U D L U
U2 B R U D' L U
U2 B R U D2 L U
B' D2 F2 D' L B' L2
U2 B R D U L U
U2 B R D' U L U
U2 B R D2 U L U
U2 B R F U L U
U2 B R F' U L U
U2 B R F2 U L U
U2 B U L U' R U2
U2 B U L F2 U L'
U2 B U F2 L U L2
U2 B D R U L U
U2 B D' R U L U
U2 B D2 R U L U
U2 B F' U L F U
U2 B F2 U L U L2
U2 B F2 U2 L' D' B2
U2 B' R B2 U' R2 U'
U2 B' R B2 U2 D B2
U2 B' R B2 D U2 B2
U2 B' R B2 D' F2 U2
U2 B2 R B' U L U
B2 F2 L2 D' F L B'
B2 F2 L2 F L D' B2
F2 B2 L2 D' F L B'
F2 B2 L2 F L D' B2
U2 B2 D' R F' B' U2
U2 B2 D' R B' F' U2
U2 B2 D' B' R F' U2
R2 B2 F' L R2 D' B2
R2 B2 F' R2 L D' B2
