D' L' R B R F2
U2 L' D' R2 F2 B'
U2 L' D' R2 B' F2
U2 L' D' F2 R2 B'
U2 L' D' F2 B' R2
U2 L' D' B' R2 F2
U2 L' D' B' F2 R2
D L' D2 F2 R B
D' L' F2 R B R
D L2 B2 R' F' U2
D' R L' B R F2
D' R B L' R F2
D' R B R L' F2
U R2 B2 U L' B'
L' D' R B R F2
U2 D' L' R2 F2 B'
U2 D' L' R2 B' F2
U2 D' L' F2 R2 B'
U2 D' L' F2 B' R2
U2 D' L' B' R2 F2
U2 D' L' B' F2 R2
L' D' F2 R B R
U2 D' R2 L' F2 B'
U2 D' R2 L' B' F2
D' U2 L' R2 F2 B'
D' U2 L' R2 B' F2
D' U2 L' F2 R2 B'
D' U2 L' F2 B' R2
D' U2 L' B' R2 F2
D' U2 L' B' F2 R2
D' U2 R2 L' F2 B'
D' U2 R2 L' B' F2
R B2 R U B' L'
U B2 R2 U L' B'
D' L R B L2 R F2
D' L R B R L2 F2
D' L R B R F2 L2
D' L R' F2 L2 R' B'
D' L R' F2 R' L2 B'
L' R U' B2 R U B'
U2 L R2 B2 U L2 B'
L' R B U' B R U
D' L F2 L2 R B R
D' L F2 R L2 B R
D' L F2 R B L2 R
D' L F2 R B R L2
L R B2 R U B' L2
R L B2 R U B' L2
U2 L B2 R2 U L2 B'
R L' U' B2 R U B'
D L' R D2 F2 B R
D L' R D2 B F2 R
D' L' R B R F2 D
D' L' R B R F2 D'
D' L' R B R F2 D2
D' L' R B R' F2 R2
D' L' R B R2 F2 R'
D' L' R B' R F2 B2
D' L' R B' R B2 F2
D' L' R B2 R F2 B'
D' L' R B2 R B' F2
D' L' R2 F2 R' B R
U2 L' U' R2 B2 U B
B L' U' B L R2 U
B L' U' B R2 L U
D L' U2 L' B2 U2 B
D L' U2 B2 L' U2 B'
B' L' D' R F2 B R'
B' L' D' R B R' F2
B' L' D' R B F2 R'
U2 L' D' R B' R F2
U2 L' D' R' F2 R' B'
U2 L' D' R2 F2 D B'
U2 L' D' R2 F2 D' B'
U2 L' D' R2 F2 D2 B'
U2 L' D' R2 F2 B' D
U2 L' D' R2 F2 B' D'
U2 L' D' R2 F2 B' D2
U2 L' D' R2 B' F2 D
U2 L' D' R2 B' F2 D'
U2 L' D' R2 B' F2 D2
U2 L' D' F R2 F B'
U2 L' D' F R2 B' F
U2 L' D' F B' R2 F
B' L' D' F2 R B R'
R L' B U' B R U
U2 L' D' F2 R B' R
U2 L' D' F2 R2 D B'
U2 L' D' F2 R2 D' B'
U2 L' D' F2 R2 D2 B'
U2 L' D' F2 R2 B' D
U2 L' D' F2 R2 B' D'
U2 L' D' F2 R2 B' D2
U2 L' D' F2 B R2 B2
U2 L' D' F2 B' R2 D
U2 L' D' F2 B' R2 D'
U2 L' D' F2 B' R2 D2
U2 L' D' B R2 F2 B2
U2 L' D' B R2 B2 F2
U2 L' D' B F2 R2 B2
U2 L' D' B' R' F2 R'
U2 L' D' B' R2 F2 D
U2 L' D' B' R2 F2 D'
U2 L' D' B' R2 F2 D2
U2 L' D' B' F R2 F
U2 L' D' B' F2 R2 D
U2 L' D' B' F2 R2 D'
U2 L' D' B' F2 R2 D2
D L' D2 R F2 B R
D L' D2 R B F2 R
D L' D2 F2 R D B
D L' D2 F2 R D' B
D L' D2 F2 R D2 B
D L' D2 F2 R B D
D L' D2 F2 R B D'
D L' D2 F2 R B D2
D L' D2 F2 D R B
D L' D2 F2 D' R B
D L' D2 F2 D2 R B
D L' D2 F2 B R B
D L' D2 F2 B' R B
D L' D2 F2 B2 R B
U2 L' D2 B' D R2 F2
U2 L' D2 B' D F2 R2
D L' D2 B F2 R B
D L' D2 B' F2 R B
D' L' F R B R F
D L' D2 B2 F2 R B
U2 L' F D' R2 F2 B'
U2 L' F D' R2 B' F2
U2 L' F D' F2 R2 B'
U2 L' F D' F2 B' R2
U2 L' F D' B' R2 F2
U2 L' F D' B' F2 R2
U2 L' F' D' R2 F2 B'
U2 L' F' D' R2 B' F2
U2 L' F' D' F2 R2 B'
U2 L' F' D' F2 B' R2
U2 L' F' D' B' R2 F2
U2 L' F' D' B' F2 R2
D' L' F2 R D B R
D' L' F2 R D' B R
D' L' F2 R D2 B R
D' L' F2 R B R D
D' L' F2 R B R D'
D' L' F2 R B R D2
D' L' F2 R B D R
D' L' F2 R B D' R
D' L' F2 R B D2 R
D' L' F2 R B' R B2
D' L' F2 R B2 R B'
D L' F2 R D2 F2 B
D L' F2 R D2 B F2
D' L' F2 B R B R
D' L' F2 B' R B R
U2 L' F2 D' R2 F2 B'
U2 L' F2 D' R2 B' F2
U2 L' F2 D' F2 R2 B'
U2 L' F2 D' F2 B' R2
D' L' F2 B2 R B R
U2 L' F2 D' B' R2 F2
U2 L' F2 D' B' F2 R2
D L' F2 D2 R F2 B
D L' F2 D2 R B F2
D' L' B R B R F2
D' L' B F2 R B R
D' L' B' R B R F2
U2 L' B' U' R2 B' U
U2 L' B' U' B' R2 U
D' L' B' F2 R B R
D' L' B2 R B R F2
D' L' B2 F2 R B R
D2 L2 R F2 U' L B
D L2 R B2 R' U2 B'
D L2 R' F' B2 R' U2
B2 L2 R2 U D2 L B'
D L2 R' B2 F' R' U2
D' L2 R2 F2 D2 L B'
B2 L2 R2 D2 U L B'
D L2 R2 B2 R' U2 B
D' L2 U2 L F2 R2 B
D L2 U2 L' B' L2 F
L2 R2 B2 U' R' U2 B
R2 L2 B2 U' R' U2 B
D L2 D2 L F2 R B
R2 U L' R D' R2 B
R2 U L' R' D' B R2
D L2 F B2 R' F' U2
D' L2 F2 L R B R
R2 U R L' D' R2 B
D2 L2 F2 R U' L B
D' L2 F2 R L B R
D L2 F' B2 R' F' U2
D' L2 F2 R2 D2 L B'
R2 U R D' L' R2 B
R2 U R D' R2 L' B
R2 U R D' R2 B L'
R2 U R' L' D' B R2
D L2 F2 B2 R' F' U2
R2 U R' D' L' B R2
R2 U R' D' B L' R2
R2 U R' D' B R2 L'
D L2 B2 R' D F' U2
D L2 B2 R' D' F' U2
D L2 B2 R' D2 F' U2
D L2 B2 R' F' U2 D
D L2 B2 R' F' U2 D'
D L2 B2 R' F' U2 D2
D L2 B2 R' F' D U2
D L2 B2 R' F' D' U2
D L2 B2 R' F' D2 U2
D L2 B2 D R' F' U2
D L2 B2 D' R' F' U2
D L2 B2 D2 R' F' U2
D L2 B2 F R' F' U2
D L2 B2 F' R' F' U2
D L2 B2 F2 R' F' U2
D' R L B L2 R F2
D' R L B R L2 F2
D' R L B R F2 L2
D' R L' B R F2 D
D' R L' B R F2 D'
D' R L' B R F2 D2
D' R L' B R' F2 R2
D' R L' B R2 F2 R'
D' R L' B' R F2 B2
D' R L' B' R B2 F2
D' R L' B2 R F2 B'
D' R L' B2 R B' F2
D R L' D2 F2 B R
D R L' D2 B F2 R
D2 R L2 F2 U' L B
D' R U L' B R F2
D R L2 B2 R' U2 B'
D' R U B L' R F2
D' R U B R L' F2
D' R U' L' B R F2
F2 R U B2 R U B'
D' R U' B L' R F2
D' R U' B R L' F2
D' R U2 L' B R F2
D' R U2 B L' R F2
D' R U2 B R L' F2
D2 R D L' F2 B R2
D2 R D L' B R2 F2
D2 R D L' B F2 R2
D2 R D B L' R2 F2
D2 R D B L' F2 R2
D2 R D B R2 L' F2
R U B2 R U B' L'
D R D2 L' F2 B R2
D R D2 L' B R2 F2
D R D2 L' B F2 R2
D R D2 B L' R2 F2
D R D2 B L' F2 R2
