R' U B U B'
R' L U L' B U
R' L U B L' U
R' L' U L B U
L' R' U L B U
L R' U L' B U
L2 R' U L2 B U
L R' U B L' U
L2 R' U B L2 U
R' L2 U L2 B U
R' L2 U B L2 U
R' U L B U B'
R' U L' B U B'
R' U L2 B U B'
R' U D B U B'
R' U D' B U B'
R' U D2 B U B'
R' U B U D B'
R' U B U D' B'
R' U B U D2 B'
R' U B U B' D
R' U B U B' D'
R' U B U B' D2
R' U B D U B'
R' U B D' U B'
R' U B D2 U B'
F' R' U B U B'
F2 R' U B U B'
F R' U B U B'
R' D U B U B'
R' D' U B U B'
R' D2 U B U B'
R' F U B U B'
R' F' U B U B'
R' F2 U B U B'
R' L U L B L2 U
R' L U L' D B U
R' L U L' D' B U
R' L U L' D2 B U
R' L U L' B U D
R' L U L' B U D'
R' L U L' B U D2
R' L U L' B D U
R' L U L' B D' U
R' L U L' B D2 U
R' L U D L' B U
R' L U D B L' U
R' L U D' L' B U
R' L U D' B L' U
R' L U D2 L' B U
R' L U D2 B L' U
R' L U B L' U D
R' L U B L' U D'
R' L U B L' U D2
R' L U B L' D U
R' L U B L' D' U
R' L U B L' D2 U
R' L U B D L' U
R' L U B D' L' U
R' L U B D2 L' U
F' L R' U L' B U
R' L U B' L' B2 U
F' L R' U B L' U
F2 L R' U L' B U
D2 L R' U B' L' U
F2 L R' U B L' U
F L R' U L' B U
F L R' U B L' U
R' L D U L' B U
R' L D U B L' U
R' L D' U L' B U
R' L D' U B L' U
R' L D2 U L' B U
R' L D2 U B L' U
L' R' U L D B U
R' L' U L D B U
L' R' U L D' B U
R' L' U L D' B U
L' R' U L D2 B U
R' L' U L D2 B U
L' R' U L B U D
L' R' U L B U D'
L' R' U L B U D2
L' R' U L B D U
L' R' U L B D' U
L' R' U L B D2 U
R' L' U L B U D
R' L' U L B U D'
R' L' U L B U D2
R' L' U L B D U
R' L' U L B D' U
R' L' U L B D2 U
L' R' U L' B L2 U
R' L' U L' B L2 U
L' R' U L2 B L' U
R' L' U L2 B L' U
L R' U L B L2 U
L R' U L' D B U
L R' U L' D' B U
L R' U L' D2 B U
L R' U L' B U D
L R' U L' B U D'
L R' U L' B U D2
L R' U L' B D U
L R' U L' B D' U
L R' U L' B D2 U
L2 R' U L' B L' U
L2 R' U L2 D B U
L2 R' U L2 D' B U
L2 R' U L2 D2 B U
L2 R' U L2 B U D
L2 R' U L2 B U D'
L2 R' U L2 B U D2
L2 R' U L2 B D U
L2 R' U L2 B D' U
L' R' U D L B U
L2 R' U L2 B D2 U
R' L' U D L B U
L' R' U D' L B U
R' L' U D' L B U
L' R' U D2 L B U
R' L' U D2 L B U
L R' U D L' B U
L R' U D B L' U
L R' U D' L' B U
L R' U D' B L' U
L2 R' U D' B U B
L R' U D2 L' B U
L R' U D2 B L' U
L R' U B L' U D
L R' U B L' U D'
L R' U B L' U D2
L R' U B L' D U
L R' U B L' D' U
L R' U B L' D2 U
L2 R' U B L2 U D
L2 R' U B L2 U D'
L2 R' U B L2 U D2
L2 R' U B L2 D U
L2 R' U B L2 D' U
L2 R' U B L2 D2 U
L R' U B D L' U
L R' U B D' L' U
L R' U B D2 L' U
L2 R' U B U D' B2
L2 R' U B D' U B2
L R' U B' L' B2 U
L2 R' U B' L2 B2 U
L2 R' U' D2 R2 F' U'
L2 R' U2 B' D' R2 B2
L2 R' U2 B' D' B2 R2
R' L' D U L B U
L' R' D U L B U
F' L' R' U L B U
F2 L' R' U L B U
L R' D U L' B U
L R' D U B L' U
F L' R' U L B U
L2 R' D F2 U B U
R' L' D' U L B U
L' R' D' U L B U
L R' D' U L' B U
L R' D' U B L' U
L2 R' D' U B U B
R' L' D2 U L B U
L' R' D2 U L B U
L R' D2 U L' B U
L R' D2 U B L' U
L2 R' D2 U' R2 F' U'
R' L' F U L B U
L' R' F U L B U
L2 R' F U L2 B U
L2 R' F U B L2 U
R' L' F' U L B U
L' R' F' U L B U
L2 R' F' U L2 B U
L2 R' F' U B L2 U
R' L' F2 U L B U
L' R' F2 U L B U
L2 R' F2 U L2 B U
L2 R' F2 U B L2 U
R' L2 U L' B L' U
R' L2 U L2 D B U
R' L2 U L2 D' B U
R' L2 U L2 D2 B U
R' L2 U L2 B U D
R' L2 U L2 B U D'
R' L2 U L2 B U D2
R' L2 U L2 B D U
R' L2 U L2 B D' U
R' L2 U L2 B D2 U
R' L2 U D' B U B
R' L2 U B L2 U D
R' L2 U B L2 U D'
R' L2 U B L2 U D2
R' L2 U B L2 D U
R' L2 U B L2 D' U
R' L2 U B L2 D2 U
R' L2 U B U D' B2
R' L2 U B D' U B2
R' L2 U B' L2 B2 U
R' L2 U' D2 R2 F' U'
R' L2 U2 B' D' R2 B2
R' L2 U2 B' D' B2 R2
R' L2 D F2 U B U
R' L2 D' U B U B
R' L2 D2 U' R2 F' U'
F' L2 R' U L2 B U
F' L2 R' U B L2 U
F2 L2 R' U L2 B U
F2 L2 R' U B L2 U
R' L2 F U L2 B U
R' L2 F U B L2 U
F L2 R' U L2 B U
F L2 R' U B L2 U
R' L2 F' U L2 B U
R' L2 F' U B L2 U
R' L2 F2 U L2 B U
R' L2 F2 U B L2 U
R' U L D B U B'
R' U L D' B U B'
R' U L D2 B U B'
R' U L B U D B'
R' U L B U D' B'
R' U L B U D2 B'
R' U L B U B' D
R' U L B U B' D'
R' U L B U B' D2
R' U L B D U B'
R' U L B D' U B'
R' U L B D2 U B'
R' U L' D B U B'
R' U L' D' B U B'
R' U L' D2 B U B'
R' U L' B U D B'
R' U L' B U D' B'
R' U L' B U D2 B'
R' U L' B U B' D
R' U L' B U B' D'
R' U L' B U B' D2
R' U L' B D U B'
R' U L' B D' U B'
R' U L' B D2 U B'
R' U L2 D B U B'
R' U L2 D' B U B'
R' U L2 D2 B U B'
R' U L2 B U D B'
R' U L2 B U D' B'
R' U L2 B U D2 B'
R' U L2 B U B' D
R' U L2 B U B' D'
R' U L2 B U B' D2
R' U L2 B D U B'
R' U L2 B D' U B'
R' U L2 B D2 U B'
R' U D L B U B'
R' U D L' B U B'
R' U D L2 B U B'
R' U D B U D B'
R' U D B U D' B'
R' U D B U D2 B'
R' U D B U B' D
R' U D B U B' D'
R' U D B U B' D2
R' U D B D U B'
R' U D B D' U B'
R' U D B D2 U B'
R' U D' L B U B'
R' U D' L' B U B'
R' U D' L2 B U B'
R' U D' B U D B'
R' U D' B U D' B'
