B L R' D' B' L2
B L R' B' D' L2
B L D' R' B' L2
B2 L D' B' L2 R'
B2 L D' B' R' L2
B2 L B' R' D' L2
B2 L B' D' L2 R'
B2 L B' D' R' L2
B L' R' D' L2 B'
B2 L' D' L2 B' R'
B L' D' L2 R' B'
B L' D' R' L2 B'
B R' L D' B' L2
B R' L B' D' L2
B R' L' D' L2 B'
B D' L2 D' R' B
B D2 R' D L2 B
B D2 R' D B L2
L' B R' D' L2 B'
L B R' B2 D' L2
L' B D' L2 R' B'
L' B D' R' L2 B'
L' B2 D' L2 B' R'
B2 L R D' B' L2 R'
B2 L R D' B' R' L2
B2 L R B' R' D' L2
B2 L R B' D' L2 R'
B2 L R B' D' R' L2
B L R B' R2 D' L2
B L R' U' F2 U B'
B2 L R' D' B' L2 R'
B2 L R' D' B' R' L2
B L R' D B' D2 L2
B L R' D' B L2 B2
B L R' D' B' L2 D
B L R' D' B' L2 D'
B L R' D' B' L2 D2
B L R' D' B2 L2 B
B2 L R' B' R' D' L2
B2 L R' B' D' L2 R'
B2 L R' B' D' R' L2
B L R' B' L D' L2
B L R' B' L' D' L2
B L R' B' L2 D' L2
B L R' B' U' F2 U
B L R' B' D' L2 D
B L R' B' D' L2 D'
B L R' B' D' L2 D2
B L R' B2 D' L2 B
B L R' B2 D' B L2
B2 L R2 D' B' L2 R'
B2 L R2 D' B' R' L2
B L R2 D' R B' L2
B L R2 D' B' L2 R
B L R2 D' B' R L2
B2 L R2 B' R' D' L2
B2 L R2 B' D' L2 R'
B2 L R2 B' D' R' L2
B L R2 B' R D' L2
B L R2 B' D' L2 R
B L R2 B' D' R L2
F2 L U F2 B R' B2
F2 L U B R' F2 B2
F2 L U B R' B2 F2
F2 L U B F2 R' B2
B2 L U' F2 U B' R'
B L U' F2 U R' B'
D' L D L B R' B2
B L D R' B2 L B
B2 L D B' D2 L2 R'
B2 L D B' D2 R' L2
B2 L D' R B' L2 R'
B2 L D' R B' R' L2
B2 L D' R' B' L2 R'
B2 L D' R' B' R' L2
B L D' R B' L2 R2
B L D' R B' R2 L2
B2 L D' R2 B' L2 R'
B2 L D' R2 B' R' L2
B L D' R' B L2 B2
B L D' R' B' L2 D
B L D' R' B' L2 D'
B L D' R' B' L2 D2
B L D' R' B2 L2 B
B L D' R2 B' L2 R
B L D' R2 B' R L2
B' L D' B' L2 D2 R2
B2 L D' B' L2 R' D
B2 L D' B' L2 R' D'
B2 L D' B' L2 R' D2
B2 L D' B' L2 D R'
B2 L D' B' L2 D' R'
B2 L D' B' L2 D2 R'
B2 L D' B' R' L2 D
B2 L D' B' R' L2 D'
B2 L D' B' R' L2 D2
B2 L D' B2 L2 B R'
B L D2 R' D B' L2
L' R B R' D' L2 B'
R' L B R' B2 D' L2
R2 L B R' B2 D' L2
L R B R' B2 D' L2
R L B R' B2 D' L2
L' R B D' L2 R' B'
L' R B D' R' L2 B'
U' L F2 U B R' B2
B L F2 U R' F2 B'
B L F2 U R' B' F2
B L F2 U F2 R' B'
U' L F2 B U R' B2
L' R B2 D' L2 B' R'
F2 L B U R' F2 B2
F2 L B U R' B2 F2
F2 L B U F2 R' B2
U' L B F2 U R' B2
B2 L B' L R' D' L2
B2 L B' L D' L2 R'
B2 L B' L D' R' L2
B2 L B' L' R' D' L2
B2 L B' L' D' L2 R'
B2 L B' L' D' R' L2
B2 L B' L2 R' D' L2
B2 L B' L2 D' L2 R'
B2 L B' L2 D' R' L2
B2 L B' R' L D' L2
B2 L B' R' L' D' L2
B2 L B' R' L2 D' L2
B2 L B' R' U' F2 U
B2 L B' R' D' L2 D
B2 L B' R' D' L2 D'
B2 L B' R' D' L2 D2
B2 L B' R2 D' L2 R
B2 L B' R2 D' R L2
B2 L B' U' F2 U R'
B' L B' D' L2 D2 R2
B2 L B' D' L2 R' D
B2 L B' D' L2 R' D'
B2 L B' D' L2 R' D2
B2 L B' D' L2 D R'
B2 L B' D' L2 D' R'
B2 L B' D' L2 D2 R'
B2 L B' D' R' L2 D
B2 L B' D' R' L2 D'
B2 L B' D' R' L2 D2
B2 L B' D2 R' D L2
B2 L' R D' L2 B' R'
B2 L' R' D' L2 B' R'
B L' R' D' L2 D B'
B L' R' D' L2 D' B'
B L' R' D' L2 D2 B'
B L' R' D' L2 B' D
B L' R' D' L2 B' D'
B L' R' D' L2 B' D2
B L' R' D' B L2 B'
B L' R' D' B' L2 B'
B L' R' D' B2 L2 B'
B L' R' B D' L2 B'
B L' R' B' D' L2 B'
B L' R' B2 D' L2 B'
B2 L' R2 D' L2 B' R'
B L' R2 D' L2 R B'
B L' R2 D' L2 B' R
B L' R2 D' R L2 B'
F2 L' U F2 R2 B R'
R' L' B R' D' L2 B'
L' R' B R' D' L2 B'
B' L' D' L2 D' R2 B'
B' L' D' L2 D' B' R2
B2 L' D' L2 R B' R'
B2 L' D' L2 R' B' R'
B2 L' D' L2 R2 B' R'
B2 L' D' L2 D B' R'
B2 L' D' L2 D' B' R'
B2 L' D' L2 D2 B' R'
B2 L' D' L2 B' R' D
B2 L' D' L2 B' R' D'
B2 L' D' L2 B' R' D2
B2 L' D' L2 B' D R'
B2 L' D' L2 B' D' R'
B2 L' D' L2 B' D2 R'
B2 L' D' R L2 B' R'
R2 L' B R' D' L2 B'
B L' D' L2 R B' R2
B L' D' L2 R' D B'
B L' D' L2 R' D' B'
B L' D' L2 R' D2 B'
B L' D' L2 R' B' D
B L' D' L2 R' B' D'
B L' D' L2 R' B' D2
B L' D' L2 R2 B' R
B L' D' L2 D R' B'
B L' D' L2 D' R' B'
B L' D' L2 D2 R' B'
B2 L' D' R' L2 B' R'
L R' B R' B2 D' L2
R' L' B D' L2 R' B'
R' L' B D' R' L2 B'
B L' D' R L2 B' R2
B2 L' D' R2 L2 B' R'
L' R' B D' L2 R' B'
L' R' B D' R' L2 B'
B L' D' R' L2 D B'
B L' D' R' L2 D' B'
B L' D' R' L2 D2 B'
B L' D' R' L2 B' D
B L' D' R' L2 B' D'
B L' D' R' L2 B' D2
R L' B R' D' L2 B'
B L' D' R' B L2 B'
B L' D' R' B' L2 B'
B L' D' R' B2 L2 B'
B L' D' R2 L2 B' R
R2 L' B D' L2 R' B'
R2 L' B D' R' L2 B'
R L' B D' L2 R' B'
R L' B D' R' L2 B'
B2 L' D' B' L2 R' B'
B2 L' D' B' R' L2 B'
B L' D' B L2 B' R'
B' L' D2 R2 D L2 B'
B L' D2 R' D L2 B'
R' L' B2 D' L2 B' R'
L' R' B2 D' L2 B' R'
R2 L' B2 D' L2 B' R'
R L' B2 D' L2 B' R'
U' L' F2 U R2 B R'
B L' B D' L2 B' R'
B2 L' B' R' D' L2 B'
B2 L' B' D' L2 R' B'
B2 L' B' D' R' L2 B'
B L2 R' D' L' B' L'
L' R2 B R' D' L2 B'
L' R2 B D' L2 R' B'
L' R2 B D' R' L2 B'
L R2 B R' B2 D' L2
D' L2 D B D2 R' B
L' R2 B2 D' L2 B' R'
D' L2 D' R' D2 B R'
B2 L2 D' L' B' L' R'
B2 L2 D' L' B' R' L'
B L2 D' L' R' B' L'
B L2 D' L2 D2 R' B
B L2 D' R' L' B' L'
