L' B' L U' B' R'
R' L' F' B' L U' B'
L' R' F' B' L U' B'
R' L' B' L F' U' B'
L' R' B' L F' U' B'
R' L' B' F' L U' B'
L' R' B' F' L U' B'
F' L' B' L U' B' R'
F2 L' B' L U' B' R'
F L' B' L U' B' R'
R U B R' U L B2
L' U' B' L U' R' B'
L' U2 B' L F U' B'
R U2 B R' F' U B2
U' D F' B' L' R' F
U' D F' B' L' F R'
U' D F' B' R' L' F
U' D B' R' F' L' F
U' D B' F' L' R' F
U' D B' F' L' F R'
U' D B' F' R' L' F
U' D' R F' B' L' R'
D' U' R F' B' L' R'
U' D' R F' B' R' L'
D' U' R F' B' R' L'
U' D' R B' F' L' R'
D' U' R B' F' L' R'
D' U' R B' F' R' L'
U' D' R B' F' R' L'
U' D' R2 B' R' F' L'
D' U' R2 B' R' F' L'
D U' F' B' L' R' F
D U' F' B' L' F R'
D U' F' B' R' L' F
U' D' B' R F' L' R2
U' D' B' R F' R2 L'
D' U' B' R F' L' R2
D' U' B' R F' R2 L'
D U' B' R' F' L' F
D U' B' F' L' R' F
D U' B' F' L' F R'
D U' B' F' R' L' F
L' F B' L U' B' R'
R' F' L' B' L U' B'
U' F' D B' L' R' F
U' F' D B' L' F R'
U' F' D B' R' L' F
U' F' B' L' R' D F2
U' F' B' L' D R' F2
U' F' B' L' D F2 R'
U' F' B' R' L' D F2
L' F' B' L U' B' R'
D2 F2 U' B' R' F' L'
L' F2 B' L U' B' R'
R B L R' F U B2
R B L F R' U B2
R2 B R' B U B L
R B R' L F U B2
R B R' U B L B
L' B' L R' F' U' B'
L' B' L U' R B' R'
L' B' L U' R' B' R'
L' B' L U' R2 B' R'
L' B' L U' D B' R'
L' B' L U' D' B' R'
L' B' L U' D2 B' R'
L' B' L U' B' R' D
L' B' L U' B' R' D'
L' B' L U' B' R' D2
L' B' L U' B' D R'
L' B' L U' B' D' R'
L' B' L U' B' D2 R'
L' B' L D U' B' R'
L' B' L D' U' B' R'
L' B' L D2 U' B' R'
L' B' L F U' B' R'
L' B' L F' U' B' R'
L' B' L F2 U' B' R'
L' B' R' L F' U' B'
U' B' R' F' L' D F2
L' B' R' F' L U' B'
L' B' F L U' B' R'
U' B' F' L' R' D F2
U' B' F' L' D R' F2
U' B' F' L' D F2 R'
U' B' F' R' L' D F2
L' B' F' L U' B' R'
L' B' F2 L U' B' R'
U2 B2 U' B L F R
