L U B U F L'
R2 L U' F' U' F2 L'
R2 L U2 F L' D R2
R2 L U2 F D L' R2
R2 L U2 F D R2 L'
B' L U B2 U F L'
B' L U2 F L' D' R2
B' L U2 F D' L' R2
B' L U2 F D' R2 L'
R2 L F L' D R2 B
R2 L F D L' R2 B
R2 L F D R2 L' B
R2 L F D R2 B L'
B' L F L' D' R2 B
B' L F D' L' R2 B
B' L F D' R2 L' B
B' L F D' R2 B L'
L R2 U' F' U' F2 L'
L R2 U2 F L' D R2
L R2 U2 F D L' R2
L R2 U2 F D R2 L'
D' L' B' U F B2 U
D' L' B' U B2 F U
D2 L' B' U2 L D' R2
D2 L' B' U2 D' L R2
D2 L' B' U2 D' R2 L
D2 L' B' D L2 U2 L'
D2 L' B' D' U2 L R2
D2 L' B' D' U2 R2 L
L R2 F L' D R2 B
L R2 F D L' R2 B
L R2 F D R2 L' B
L R2 F D R2 B L'
B2 L2 U' F U' L' F
L U R' U F L' R
L U R' U F R L'
L2 U F B U L' F
L U F' B U F2 L'
L2 U B U L' F L'
L2 U B U F L' F
L U B R U F L'
L U B R' U F L'
L U B R2 U F L'
L U B U F L' D
L U B U F L' D'
L U B U F L' D2
L U B U F D L'
L U B U F D' L'
L U B U F D2 L'
L2 U B F U L' F
L U B F' U F2 L'
F' R D' F L' B' U2
R2 U' F' L' U R U2
L U2 R2 F L' D R2
L U2 R2 F D L' R2
L U2 R2 F D R2 L'
L U2 F L' U' B U
L U2 F U' B U L'
L U2 B U F B' L'
L U2 B U B' F L'
B2 U D2 B' R' U L
D' U B U2 L B' U'
B2 U F B' R' U L'
B2 U B' R' F U L'
B2 U B' F R' U L'
U D' B U2 L B' U'
L' D2 B' U2 L D' R2
L' D2 B' U2 D' L R2
L' D2 B' U2 D' R2 L
L' D2 B' D L2 U2 L'
L' D2 B' D' U2 L R2
L' D2 B' D' U2 R2 L
L F L' B' D' R2 B
U' F U2 B R U L'
U F B U L' D F2
U F B U2 L U' L2
L F B' L' D' R2 B
U F B' R' B2 U L'
L F B' D' L' R2 B
L F B' D' R2 L' B
L F B' D' R2 B L'
B2 D2 U B' R' U L
U B U F L' D F2
U B U2 D' L B' U'
U B D' U2 L B' U'
U B F U L' D F2
U B F U2 L U' L2
D2 B' L D' F R2 B
D2 B' L F D' R2 B
L' B' U F B2 U L'
U B' R' F B2 U L'
L' B' U B2 F U L'
U B' R' B2 F U L'
D2 B' D L2 U2 L' F
L B' U B2 U F L'
D2 B' D' L F R2 B
L B' U2 F L' D' R2
L B' U2 F D' L' R2
L B' U2 F D' R2 L'
L B' F L' D' R2 B
U B' F R' B2 U L'
L B' F D' L' R2 B
L B' F D' R2 L' B
L B' F D' R2 B L'
D2 B2 U B' R' F' U
L B2 U B' U F L'
