L' F R B U' F'
L' R F B R U' F2
L' R B F R U' F2
F L' R F B U' F2
F L' R B F U' F2
R L' F B R U' F2
R L' B F R U' F2
B' L' F R B U' F'
B2 L' F R B U' F'
B L' F R B U' F'
L2 U R F' L' B' R'
F R L' F B U' F2
F R L' B F U' F2
U' R D F' B L R
U' R D F' B R L
U' R D B L F' R
U' R D B F' L R
U' R D B F' R L
U R D F' L' R B'
U R D F' L' B' R
U R D F' R L' B'
F R D B U' F' R
U' R D' F' B L R'
U' R D' F' B R' L
U' R D' B L F' R'
U' R D' B F' L R'
U' R D' B F' R' L
F R D' B U' F' R'
U' R F' D' B L R'
U' R F' D' B R' L
U' R B D L F' R
U' R B D F' L R
U' R B D F' R L
F R B L' F U' F2
F R B U' D F' R
F R B D U' F' R
L2 U' F R F' B L
L2 U' F R B L F'
L2 U' F R B F' L
D2 R' F' L' B U F
D2 R' F' B L' U F
D2 R' B F' L' U F
R D B U' F' R B
L' D' F L' R B U'
L' D' F R L' B U'
L' D' F R B L' U'
L' F L R B U' F'
D' F L' R B U' R'
L' F L' R B U' F'
L' F L2 R B U' F'
D' F R L' B U' R'
L' F R L B U' F'
L' F R L' B U' F'
L' F R L2 B U' F'
L' F R D B U' F'
L' F R D' B U' F'
D' F R B L' U' R'
L' F R D2 B U' F'
L' F R B L U' F'
L' F R B L' U' F'
L' F R B L2 U' F'
L' F R B U' D F'
L' F R B U' D' F'
L' F R B U' D2 F'
L' F R B U' F' D
L' F R B U' F' D'
L' F R B U' F' D2
L' F R B D U' F'
L' F R B D' U' F'
L' F R B D2 U' F'
L' F B R B U' F'
L' F B' R B U' F'
L' F B2 R B U' F'
R B L' F R U' F2
D B R' F' L' U R
R B U' D F' R B
R B D U' F' R B
L' B F R B U' F'
L' B' F R B U' F'
L' B2 F R B U' F'
