U2 L B' U L' U
U L B' U' B U'
B2 L' U' R' F L
B2 L' U' F L R'
B2 L' U' F R' L
L' U L2 B' U2 L'
L' U' D2 R2 F L
L' U' D2 F L R2
L' U' D2 F R2 L
L' U' F D2 L R2
L' U' F D2 R2 L
D2 R2 D B2 R' F'
L' D F2 U' L F'
L' D F2 U' F' L
L' D2 U' R2 F L
L' D2 U' F L R2
L' D2 U' F R2 L
U L R B' U' B U'
U L R' B' U' B U'
U L R2 B' U' B U'
B L U B' L U2 L2
B2 L U' L2 R' F L
B2 L U' L2 F L R'
B2 L U' L2 F R' L
B2 L U' R' L2 F L
U L U' L2 U' F L2
R2 L D B' U2 B' L'
R2 L D' F2 R B' U2
R2 L D' F2 B' R U2
R2 L D' B' F2 R U2
U L U2 F2 D' L2 F
U2 L D B' U L' U
U L D B' U' B U'
U2 L D' B' U L' U
U L D' B' U' B U'
U2 L D2 B' U L' U
U L D2 B' U' B U'
R' L B' U' R U' L'
R2 L B' U' R2 U' L'
R2 L B' U2 L' D B2
R2 L B' U2 D L' B2
R2 L B' U2 D B2 L'
R2 L B' D U2 L' B2
R2 L B' D U2 B2 L'
R2 L B' D' F2 R U2
U2 L F2 B' U' R U'
U2 L B' U L' U D
U2 L B' U L' U D'
U2 L B' U L' U D2
U2 L B' U L' D U
U2 L B' U L' D' U
U2 L B' U L' D2 U
U2 L B' U D L' U
U2 L B' U D' L' U
U2 L B' U D2 L' U
U L B' R2 U F' U
U2 L B' D U L' U
U2 L B' D' U L' U
U L B' U' D B U'
U L B' U' D' B U'
U L B' U' D2 B U'
U L B' U' B U' D
U L B' U' B U' D'
U L B' U' B U' D2
U L B' U' B D U'
U L B' U' B D' U'
U L B' U' B D2 U'
U2 L B' D2 U L' U
U L B' D U' B U'
U L B' D' U' B U'
U2 L B' F2 U' R U'
U L B' D2 U' B U'
U L B2 D B U2 L2
U L B2 D' R2 U2 F'
U L B2 D' B R2 U2
B2 L' R' F D' L B'
F' L' U L2 B' U2 L'
F2 L' U L2 B' U2 L'
F L' U L2 B' U2 L'
R2 L' F L D B2 R'
B2 L' U' R F L R2
B2 L' U' R F R2 L
B2 L' U' R' D F L
B2 L' U' R' D' F L
B2 L' U' R' D2 F L
B2 L' U' R' F L D
B2 L' U' R' F L D'
B2 L' U' R' F L D2
B2 L' U' R' F D L
B2 L' U' R' F D' L
B2 L' U' R' F D2 L
B2 L' U' R' F' L F2
B2 L' U' R' F2 L F'
F' L' U' D2 R2 F L
F' L' U' D2 F L R2
F' L' U' D2 F R2 L
B2 L' U' D R' F L
F' L' U' F D2 L R2
B2 L' U' D F L R'
F' L' U' F D2 R2 L
B2 L' U' D F R' L
F2 L' U' D2 R2 F L
F2 L' U' D2 F L R2
F2 L' U' D2 F R2 L
B2 L' U' D' R' F L
B2 L' U' D' F L R'
B2 L' U' D' F R' L
B2 L' U' D2 R' F L
B2 L' U' D2 F L R'
B2 L' U' D2 F R' L
F2 L' U' F D2 L R2
F2 L' U' F D2 R2 L
B2 L' U' F L R' D
B2 L' U' F L R' D'
B2 L' U' F L R' D2
B2 L' U' F L D R'
B2 L' U' F L D' R'
B2 L' U' F L D2 R'
B2 L' U' F R' L D
B2 L' U' F R' L D'
B2 L' U' F R' L D2
B2 L' U' F R' D L
B2 L' U' F R' D' L
B2 L' U' F R' D2 L
B2 L' U' F D L R'
B2 L' U' F D R' L
B2 L' U' F D' L R'
B2 L' U' F D' R' L
B2 L' U' F D2 L R'
B2 L' U' F D2 R' L
B2 L' U' F' L R' F2
B2 L' U' F' L F2 R'
F L' U' D2 R2 F L
F L' U' D2 F L R2
F L' U' D2 F R2 L
B2 L' U' F' R' L F2
B2 L' U' F' R' F2 L
B2 L' U' F2 L F' R'
F L' U' F D2 L R2
F L' U' F D2 R2 L
B2 L' D U' R' F L
B2 L' D U' F L R'
B2 L' D U' F R' L
F' L' D F2 U' L F'
F' L' D F2 U' F' L
F2 L' D F2 U' L F'
F2 L' D F2 U' F' L
F L' D F2 U' L F'
F L' D F2 U' F' L
B2 L' D' U' R' F L
B2 L' D' U' F L R'
B2 L' D' U' F R' L
U' L' D' B2 U F B2
U' L' D' B2 U B2 F
F' L' D2 U' R2 F L
F' L' D2 U' F L R2
F' L' D2 U' F R2 L
F2 L' D2 U' R2 F L
F2 L' D2 U' F L R2
F2 L' D2 U' F R2 L
L R' B' U' R U' L'
B2 L' D2 U' R' F L
B2 L' D2 U' F L R'
B2 L' D2 U' F R' L
F L' D2 U' R2 F L
F L' D2 U' F L R2
F L' D2 U' F R2 L
B2 L' F' U' L R' F2
B2 L' F' U' L F2 R'
B2 L' F' U' R' L F2
B2 L' F' U' R' F2 L
B2 L' F' U' F2 L R'
B2 L' F' U' F2 R' L
B2 L' F2 U' L F' R'
B2 L' F2 U' F' L R'
B2 L' F2 U' F' R' L
L R2 D B' U2 B' L'
L R2 D' F2 R B' U2
L R2 D' F2 B' R U2
L R2 D' B' F2 R U2
L' R2 F L D B2 R'
D2 L2 U' F2 L2 R F'
D2 L2 U' F2 R L2 F'
D2 L2 U' F2 R F' L2
U2 L2 D L' F2 B' U2
U2 L2 D L' B' F2 U2
L R2 B' U' R2 U' L'
L R2 B' U2 L' D B2
L R2 B' U2 D L' B2
L R2 B' U2 D B2 L'
L R2 B' D U2 L' B2
L R2 B' D U2 B2 L'
L R2 B' D' F2 R U2
U2 L2 D' L' B' U2 B'
L' U L2 R B' U2 L'
L' U L2 R' B' U2 L'
L' U L2 R2 B' U2 L'
L' U L2 U2 L2 F L
L' U L2 D B' U2 L'
L' U L2 D' B' U2 L'
L' U L2 D2 B' U2 L'
L' U L2 B' R U2 L'
L' U L2 B' R' U2 L'
L' U L2 B' R2 U2 L'
L' U L2 B' U2 L' D
L' U L2 B' U2 L' D'
L' U L2 B' U2 L' D2
L' U L2 B' U2 D L'
L' U L2 B' U2 D' L'
L' U L2 B' U2 D2 L'
L' U L2 B' D U2 L'
L' U L2 B' D' U2 L'
L' U L2 B' D2 U2 L'
R' U R U L B' U2
L' U R L2 B' U2 L'
D2 L2 F2 U' L2 R F'
D2 L2 F2 U' R L2 F'
D2 L2 F2 U' R F' L2
L' U R' L2 B' U2 L'
R U R' U L B' U2
L' U R2 L2 B' U2 L'
R2 U R2 U L B' U2
L' U D2 F L R2 B
L' U D2 F R2 L B
U R L B' U' B U'
L' U F D2 L R2 B
L' U F D2 R2 L B
U2 R U' L R' B' U2
U2 R U' R' L B' U2
L' U B L2 B' U2 L
L' U B' L2 B' R' U2
L' U B2 L2 R' B' U2
L U B' U B U L'
L' U B2 R' L2 B' U2
L' U' L U2 L B' U2
D2 R F' R D B2 R'
L' U' L2 B' U2 L' B
L' U' L2 B' U2 B L'
L' U' R D2 R2 F L
L' U' R D2 F L R2
L' U' R D2 F R2 L
L' U' R F D2 L R2
L' U' R F D2 R2 L
L' U' R' D2 R2 F L
L' U' R' D2 F L R2
L' U' R' D2 F R2 L
L' U' R' F D2 L R2
L' U' R' F D2 R2 L
L' U' R2 D2 R2 F L
L' U' R2 D2 F L R2
L' U' R2 D2 F R2 L
L' U' R2 F D2 L R2
L' U' R2 F D2 R2 L
L' U' D' F L D' R2
L' U' D' F D' L R2
L' U' D' F D' R2 L
L' U' D2 R' F L R'
L' U' D2 R' F R' L
L' U' D2 R2 D F L
L' U' D2 R2 D' F L
L' U' D2 R2 D2 F L
L' U' D2 R2 F L D
L' U' D2 R2 F L D'
L' U' D2 R2 F L D2
L' U' D2 R2 F D L
L' U' D2 R2 F D' L
L' U' D2 R2 F D2 L
L' U' D2 R2 F' L F2
L' U' D2 R2 F2 L F'
L' U' D2 F L R2 D
L' U' D2 F L R2 D'
L' U' D2 F L R2 D2
L' U' D2 F R2 L D
L' U' D2 F R2 L D'
L' U' D2 F R2 L D2
L' U' D2 F R2 D L
L' U' D2 F R2 D' L
L' U' D2 F R2 D2 L
L' U' D2 F' L R2 F2
L' U' D2 F' L F2 R2
L' U' D2 F' R2 L F2
L' U' D2 F' R2 F2 L
L' U' D2 F2 L F' R2
L' U' F L U2 L U2
L' U' F L B2 R' B2
L' U' F R D2 L R2
L' U' F R D2 R2 L
L' U' F R' D2 L R2
L' U' F R' D2 R2 L
L' U' F R2 D2 L R2
L' U' F R2 D2 R2 L
L' U' F U2 L2 U2 L'
B2 R' L' F D' L B'
L' U' F D L D R2
L' U' F D' L D' R2
U R' L B' U' B U'
L' U' F D2 L R2 D
L' U' F D2 L R2 D'
L' U' F D2 L R2 D2
L' U' F D2 R2 L D
L' U' F D2 R2 L D'
L' U' F D2 R2 L D2
L' U' F D2 R2 D L
L' U' F D2 R2 D' L
L' U' F D2 R2 D2 L
L' U' F' L' F2 L2 R
L' U' F' L' F2 R L2
B2 R' U L' R U' F
B2 R' U R L' U' F
B2 R' U D2 R U' F'
L2 U' F2 L2 D R F'
L' U' F2 D2 L F' R2
L' U' F2 D2 F' L R2
L' U' F2 D2 F' R2 L
U2 R' U' L R B' U2
U2 R' U' L B' R U2
U2 R' U' R L B' U2
R' U2 L B' U' R U'
R2 U2 L D B' U2 B'
R2 U2 L D' F2 B' U2
R2 U2 L D' B' F2 U2
B2 R' D2 U R U' F'
R2 U2 L B' U' R2 U'
R2 U2 L B' U2 D B2
R2 U2 L B' D U2 B2
R2 U2 L B' D' F2 U2
L2 U2 L2 D' B2 R' F'
L U2 L2 D' F L B2
L U2 L2 F D' L B2
B2 R' F2 U' L' U F
U R2 L B' U' B U'
U2 R2 U' L R2 B' U2
U2 R2 U' L B' R2 U2
U2 R2 U' R2 L B' U2
D2 R2 D R' F' B2 R'
D2 R2 D R' B2 F' R'
D2 R2 D F B2 R' F'
D2 R2 D F' B2 R' F'
D2 R2 D F2 B2 R' F'
D2 R2 D B2 R' D F'
D2 R2 D B2 R' D' F'
D2 R2 D B2 R' D2 F'
D2 R2 D B2 R' F' D
D2 R2 D B2 R' F' D'
D2 R2 D B2 R' F' D2
D2 R2 D B2 D R' F'
D2 R2 D B2 D' R' F'
D2 R2 D B2 D2 R' F'
D2 R2 D B2 F R' F'
D2 R2 D B2 F' R' F'
D2 R2 D B2 F2 R' F'
D R2 D R F' B2 R'
D R2 D R B2 F' R'
D R2 D R2 B2 R' F'
B2 R2 D B2 D R F'
D R2 D B2 R F' R2
B2 R2 D2 R D' F' B2
B2 R2 D2 R D' B2 F'
B2 R2 D2 R F' D' B2
D2 R2 F D B2 R' F'
D2 R2 F' D B2 R' F'
D2 R2 F2 D B2 R' F'
